SQL ID,Operator Type,Operator Name,Count,Supported,Stages
0,"Exec","Execute CreateDataSourceTableAsSelectCommand",1,false,""
1,"Expr","isnotnull",23,true,"0:5:56:57:1:2:3:40:55:4"
1,"Exec","Sort",18,true,"52:20:29:60:13:128:76:40:8"
1,"Exec","Exchange",17,true,"0:5:56:110:20:57:29:1:60:13:2:76:3:40:55:8:4"
1,"Exec","AQEShuffleRead",15,true,"110:20:93:29:60:13:76:40:8"
1,"Expr","And",13,true,"55:0:56:57"
1,"Expr","sum",13,true,"56:52:110:93:57:76"
1,"Exec","Filter",9,true,"0:5:56:57:1:2:3:55:4"
1,"Exec","Project",7,true,"20:29:60:13:76:40:8"
1,"Exec","SortMergeJoin",7,true,"20:29:60:13:76:40:8"
1,"Exec","ColumnarToRow",6,false,"0:5:1:2:3:4"
1,"Exec","HashAggregate",6,true,"56:110:93:57:76"
1,"Expr","avg",6,true,"110:93:76"
1,"Exec","AdaptiveSparkPlan",5,false,"146:128:52"
1,"Exec","Scan parquet",5,true,"0:1:2:3:4"
1,"Exec","InMemoryTableScan",4,true,"146:55:56:57"
1,"Exec","Window",3,true,"52"
1,"Expr","approx_count_distinct",2,true,"110:93:76"
1,"Expr","count",2,true,"110:93:76"
1,"Expr","CITY_",1,false,"40"
1,"Exec","Execute InsertIntoHadoopFsRelationCommand parquet",1,true,"146"
1,"Exec","Project",1,false,"40"
1,"Exec","Scan parquet",1,false,"5"
1,"Exec","WriteFiles",1,true,"146"
1,"Expr","array",1,true,"40"
1,"Expr","filter",1,true,"40"
1,"Expr","lambdafunction",1,true,"40"
1,"Expr","regexp_extract",1,true,"40"
2,"Exec","Execute CreateDataSourceTableAsSelectCommand",1,false,""
3,"Exec","Exchange",12,true,"0:5:20:29:1:13:2:3:40:158:8:4"
3,"Exec","Sort",11,true,"52:20:29:13:40:8"
3,"Expr","isnotnull",11,true,"0:5:1:2:3:40:4"
3,"Exec","AQEShuffleRead",10,true,"20:29:13:40:8"
3,"Exec","Filter",7,true,"0:5:1:2:3:158:4"
3,"Exec","ColumnarToRow",6,false,"0:5:1:2:3:4"
3,"Exec","Project",5,true,"20:29:13:40:8"
3,"Exec","Scan parquet",5,true,"0:1:2:3:4"
3,"Exec","SortMergeJoin",5,true,"20:29:13:40:8"
3,"Expr","And",4,true,"0"
3,"Exec","AdaptiveSparkPlan",3,false,"184:171:52"
3,"Expr","sum",3,true,"171:158:52"
3,"Exec","HashAggregate",2,true,"171:158"
3,"Exec","InMemoryTableScan",2,true,"184:158"
3,"Expr","approx_count_distinct",2,true,"171:158"
3,"Expr","count",2,true,"171:158"
3,"Expr","CITY_",1,false,"40"
3,"Exec","Execute InsertIntoHadoopFsRelationCommand parquet",1,true,"184"
3,"Exec","Generate",1,true,"158"
3,"Expr","GreaterThan",1,true,"158"
3,"Exec","Project",1,false,"40"
3,"Exec","Scan parquet",1,false,"5"
3,"Exec","Window",1,true,"52"
3,"Exec","WriteFiles",1,true,"184"
3,"Expr","array",1,true,"40"
3,"Expr","explode",1,true,"158"
3,"Expr","filter",1,true,"40"
3,"Expr","lambdafunction",1,true,"40"
3,"Expr","regexp_extract",1,true,"40"
3,"Expr","size",1,true,"158"
4,"Expr","isnotnull",23,true,"0:5:56:57:1:2:3:40:55:4"
4,"Exec","Exchange",18,true,"0:5:202:56:110:20:57:29:1:60:13:2:76:3:40:55:8:4"
4,"Exec","Sort",18,true,"52:20:29:60:13:128:76:40:8"
4,"Exec","AQEShuffleRead",15,true,"110:20:93:29:60:13:76:40:8"
4,"Expr","And",13,true,"55:0:56:57"
4,"Expr","sum",13,true,"56:52:110:93:57:76"
4,"Exec","Filter",9,true,"0:5:56:57:1:2:3:55:4"
4,"Exec","HashAggregate",8,true,"202:56:110:93:57:221:76"
4,"Exec","Project",7,true,"20:29:60:13:76:40:8"
4,"Exec","SortMergeJoin",7,true,"20:29:60:13:76:40:8"
4,"Exec","ColumnarToRow",6,false,"0:5:1:2:3:4"
4,"Expr","avg",6,true,"110:93:76"
4,"Exec","AdaptiveSparkPlan",5,false,"221:128:52"
4,"Exec","Scan parquet",5,true,"0:1:2:3:4"
4,"Exec","InMemoryTableScan",4,true,"202:55:56:57"
4,"Expr","count",4,true,"202:110:93:221:76"
4,"Exec","Window",3,true,"52"
4,"Expr","approx_count_distinct",2,true,"110:93:76"
4,"Expr","CITY_",1,false,"40"
4,"Exec","Project",1,false,"40"
4,"Exec","Scan parquet",1,false,"5"
4,"Expr","array",1,true,"40"
4,"Expr","filter",1,true,"40"
4,"Expr","lambdafunction",1,true,"40"
4,"Expr","regexp_extract",1,true,"40"
5,"Exec","Exchange",13,true,"234:0:5:20:29:1:13:2:3:40:158:8:4"
5,"Exec","Sort",11,true,"52:20:29:13:40:8"
5,"Expr","isnotnull",11,true,"0:5:1:2:3:40:4"
5,"Exec","AQEShuffleRead",10,true,"20:29:13:40:8"
5,"Exec","Filter",7,true,"0:5:1:2:3:158:4"
5,"Exec","ColumnarToRow",6,false,"0:5:1:2:3:4"
5,"Exec","Project",5,true,"20:29:13:40:8"
5,"Exec","Scan parquet",5,true,"0:1:2:3:4"
5,"Exec","SortMergeJoin",5,true,"20:29:13:40:8"
5,"Expr","And",4,true,"0"
5,"Exec","HashAggregate",4,true,"248:234:171:158"
5,"Expr","count",4,true,"248:234:171:158"
5,"Exec","AdaptiveSparkPlan",3,false,"248:171:52"
5,"Expr","sum",3,true,"171:158:52"
5,"Exec","InMemoryTableScan",2,true,"234:158"
5,"Expr","approx_count_distinct",2,true,"171:158"
5,"Expr","CITY_",1,false,"40"
5,"Exec","Generate",1,true,"158"
5,"Expr","GreaterThan",1,true,"158"
5,"Exec","Project",1,false,"40"
5,"Exec","Scan parquet",1,false,"5"
5,"Exec","Window",1,true,"52"
5,"Expr","array",1,true,"40"
5,"Expr","explode",1,true,"158"
5,"Expr","filter",1,true,"40"
5,"Expr","lambdafunction",1,true,"40"
5,"Expr","regexp_extract",1,true,"40"
5,"Expr","size",1,true,"158"
