sqlID,nodeID,SQL Node,Child Node,Child NodeID
1,5,"WholeStageCodegen (10)","Sort",6
1,12,"WholeStageCodegen (9)","Project",13
1,12,"WholeStageCodegen (9)","SortMergeJoin",14
1,15,"WholeStageCodegen (7)","Sort",16
1,19,"WholeStageCodegen (6)","Project",20
1,19,"WholeStageCodegen (6)","SortMergeJoin",21
1,22,"WholeStageCodegen (4)","Sort",23
1,26,"WholeStageCodegen (1)","Filter",27
1,31,"WholeStageCodegen (22)","Sort",32
1,35,"WholeStageCodegen (21)","Project",36
1,35,"WholeStageCodegen (21)","SortMergeJoin",37
1,38,"WholeStageCodegen (19)","Sort",39
1,42,"WholeStageCodegen (18)","Project",43
1,42,"WholeStageCodegen (18)","SortMergeJoin",44
1,45,"WholeStageCodegen (16)","Sort",46
1,49,"WholeStageCodegen (15)","Project",50
1,49,"WholeStageCodegen (15)","SortMergeJoin",51
1,52,"WholeStageCodegen (13)","Sort",53
1,56,"WholeStageCodegen (12)","Project",57
1,56,"WholeStageCodegen (12)","SortMergeJoin",58
1,59,"WholeStageCodegen (10)","Sort",60
1,63,"WholeStageCodegen (9)","Project",64
1,63,"WholeStageCodegen (9)","SortMergeJoin",65
1,66,"WholeStageCodegen (7)","Sort",67
1,70,"WholeStageCodegen (1)","Filter",71
1,70,"WholeStageCodegen (1)","ColumnarToRow",72
1,74,"WholeStageCodegen (8)","Sort",75
1,78,"WholeStageCodegen (2)","Filter",79
1,78,"WholeStageCodegen (2)","ColumnarToRow",80
1,82,"WholeStageCodegen (11)","Sort",83
1,86,"WholeStageCodegen (3)","Filter",87
1,86,"WholeStageCodegen (3)","ColumnarToRow",88
1,90,"WholeStageCodegen (14)","Sort",91
1,94,"WholeStageCodegen (4)","Filter",95
1,94,"WholeStageCodegen (4)","ColumnarToRow",96
1,98,"WholeStageCodegen (17)","Sort",99
1,102,"WholeStageCodegen (5)","Filter",103
1,102,"WholeStageCodegen (5)","ColumnarToRow",104
1,106,"WholeStageCodegen (20)","Sort",107
1,110,"WholeStageCodegen (6)","Filter",111
1,110,"WholeStageCodegen (6)","ColumnarToRow",112
1,114,"WholeStageCodegen (5)","Sort",115
1,118,"WholeStageCodegen (2)","HashAggregate",119
1,118,"WholeStageCodegen (2)","HashAggregate",120
1,118,"WholeStageCodegen (2)","Filter",121
1,125,"WholeStageCodegen (22)","Sort",126
1,127,"WholeStageCodegen (8)","Sort",128
1,127,"WholeStageCodegen (8)","HashAggregate",129
1,132,"WholeStageCodegen (3)","HashAggregate",133
1,132,"WholeStageCodegen (3)","Filter",134
1,138,"WholeStageCodegen (22)","Sort",139
3,8,"WholeStageCodegen (1)","Generate",9
3,8,"WholeStageCodegen (1)","Filter",10
3,14,"WholeStageCodegen (22)","Sort",15
3,18,"WholeStageCodegen (21)","Project",19
3,18,"WholeStageCodegen (21)","SortMergeJoin",20
3,21,"WholeStageCodegen (19)","Sort",22
3,25,"WholeStageCodegen (18)","Project",26
3,25,"WholeStageCodegen (18)","SortMergeJoin",27
3,28,"WholeStageCodegen (16)","Sort",29
3,32,"WholeStageCodegen (15)","Project",33
3,32,"WholeStageCodegen (15)","SortMergeJoin",34
3,35,"WholeStageCodegen (13)","Sort",36
3,39,"WholeStageCodegen (12)","Project",40
3,39,"WholeStageCodegen (12)","SortMergeJoin",41
3,42,"WholeStageCodegen (10)","Sort",43
3,46,"WholeStageCodegen (9)","Project",47
3,46,"WholeStageCodegen (9)","SortMergeJoin",48
3,49,"WholeStageCodegen (7)","Sort",50
3,53,"WholeStageCodegen (1)","Filter",54
3,53,"WholeStageCodegen (1)","ColumnarToRow",55
3,57,"WholeStageCodegen (8)","Sort",58
3,61,"WholeStageCodegen (2)","Filter",62
3,61,"WholeStageCodegen (2)","ColumnarToRow",63
3,65,"WholeStageCodegen (11)","Sort",66
3,69,"WholeStageCodegen (3)","Filter",70
3,69,"WholeStageCodegen (3)","ColumnarToRow",71
3,73,"WholeStageCodegen (14)","Sort",74
3,77,"WholeStageCodegen (4)","Filter",78
3,77,"WholeStageCodegen (4)","ColumnarToRow",79
3,81,"WholeStageCodegen (17)","Sort",82
3,85,"WholeStageCodegen (5)","Filter",86
3,85,"WholeStageCodegen (5)","ColumnarToRow",87
3,89,"WholeStageCodegen (20)","Sort",90
3,93,"WholeStageCodegen (6)","Filter",94
3,93,"WholeStageCodegen (6)","ColumnarToRow",95
4,1,"WholeStageCodegen (2)","HashAggregate",2
4,4,"WholeStageCodegen (1)","HashAggregate",5
4,8,"WholeStageCodegen (10)","Sort",9
4,15,"WholeStageCodegen (9)","Project",16
