jobId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
31,2225,729726,0,11465692,70241,137,5153.1,4775469,29974,258471,10316865,2012031582,4706809700,102825,0,0,0,402653184,71,3189,0,0,0,0,0,0,0,157568926872,4706809700,105804
35,1560,568660,0,23645044,258092,159,15157.1,5628676,88284,1950800,20398631,1341027673,3104935100,257038,0,0,0,683979776,183,3245,0,0,0,0,0,0,0,144786469948,3104935100,95519
29,1496,563781,0,6506156,72872,131,4349.0,3113744,10694,85753,5670012,1300972875,3041430600,49940,0,0,0,402653184,20,3188,0,0,0,0,0,0,0,94172482686,3041430600,66474
38,2127,546232,0,23850848,44731,11,11213.4,13504491,57518,257341,23289564,1095715554,2530921200,1123998,0,0,0,1342308352,127,8244,4917812,4315,611932150,1065173,150951685683,0,151563617833,320193228515,5050711904,222004
32,28,509999,0,309098,26058,6127,11039.2,14227,73,134,290292,7331620,2000000,839,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,39759609,2000000,123
40,1998,479675,0,18018023,145039,10,9018.0,5632372,14313,33002,17359668,988601139,2292923200,206369,0,0,0,637665280,122,8244,10294117,4136,324315720,1058986,83575392541,0,83899708261,118401506733,3444968933,80913
30,25,454228,0,175306,12045,6344,7012.2,12584,77,168,175031,7321220,2000000,830,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,30938651,2000000,118
34,2053,448224,0,19181306,84408,136,9343.1,5254381,70088,615860,16498203,1588169247,3689747500,185463,0,0,0,549762048,162,3245,0,0,0,0,0,0,0,146564906899,3689747500,97584
37,1116,447456,0,9291639,59324,143,8325.8,3419648,39553,311436,8808009,1111567018,2586763600,125998,0,0,0,466653184,93,3245,0,0,0,0,0,0,0,80191371947,2586763600,57250
33,2298,446683,0,13846915,84971,128,6025.6,4515876,38054,297655,11264477,1711929488,3992578200,117852,0,0,0,482653184,86,3245,0,0,0,0,0,0,0,132385453431,3992578200,88825
36,1178,443713,0,9714236,67511,132,8246.4,993012,53296,486463,9059336,1140892455,2654246400,79268,0,0,0,149206016,374,3245,0,0,0,0,0,0,0,2077428568,47542293,7230
24,1044,437509,0,3574586,69391,128,3423.9,2344625,3390,13621,3555945,1071509311,2500000000,31178,0,0,0,402653184,4,3186,0,0,0,0,0,0,0,83691923549,2500000000,52809
28,25,415977,0,198938,21848,5524,7957.5,11387,73,133,198682,5861590,3000000,604,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,21416685,3000000,109
25,25,411411,0,189462,23040,6383,7578.5,13008,79,199,189146,7258020,2000000,380,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,49833972,2000000,136
26,25,410944,0,198053,22229,5645,7922.1,11377,72,144,197793,5799195,3000000,224,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,59104602,3000000,149
27,25,406798,0,163451,17045,5691,6538.0,14967,95,209,163056,5814390,3000000,284,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,87766348,3000000,171
21,1044,393269,0,3503166,71890,138,3355.5,2034569,4498,25947,3471833,1070061027,2500000000,25739,0,0,0,335544320,8,3187,0,0,0,0,0,0,0,58803820840,2500000000,41187
39,1999,379929,0,18912249,35579,11,9460.9,5120491,24185,59757,18832997,999400047,2318832400,217667,0,0,0,637665280,26,8244,10200404,4505,249354147,1056495,58597025579,0,58846379726,83985479601,3468850184,64933
68,1749,376768,317078952133,39815385,291515,0,22764.7,23774941,34713,95626,27776797,467799475,1093663502,344007,1374645321728,0,0,20938555392,93,84262,1996182,5729,2410492585,1421045,593711406777,0,596121899362,495178102831,3911830100,361912
22,25,362572,0,220419,27719,6514,8816.8,13058,78,149,220147,7247620,2000000,541,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,42558886,2000000,133
41,1887,357448,0,22694605,58152,189,12026.8,5053221,8717,27128,22658189,855643557,1985272300,89366,0,0,0,704774144,5,8244,16083248,6343,460036681,1092853,79772256085,0,80232292766,101666881874,3176907165,70562
13,25,349806,0,442344,75273,5555,17693.8,16915,2040,6480,431848,5532207,500000,921,0,0,0,0,5,220100,0,0,0,0,0,0,0,0,0,0
23,25,342390,0,148347,6474,5343,5933.9,11986,76,159,148077,5851990,3000000,219,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,25821391,3000000,115
46,1258,325017,0,33182902,140942,12,26377.5,8064809,9686,73448,15568851,63247521,135435506,90101,0,0,0,1585827712,17,12091,6592015,4446,326264522,1062920,77663316504,0,77989581026,105724059914,2650412767,72764
