sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,1,"Execute InsertIntoHadoopFsRelationCommand",34290,"number of written files",1000,1000,1000,1000,"sum","547"
1,1,"Execute InsertIntoHadoopFsRelationCommand",34291,"written output",23698871201,23698871201,23698871201,23698871201,"size","547"
1,1,"Execute InsertIntoHadoopFsRelationCommand",34292,"number of output rows",96959398,96959398,96959398,96959398,"sum","547"
1,1,"Execute InsertIntoHadoopFsRelationCommand",34293,"number of dynamic part",0,0,0,0,"sum","547"
1,1,"Execute InsertIntoHadoopFsRelationCommand",34294,"task commit time",210,726,3944,979284,"timing","547"
1,1,"Execute InsertIntoHadoopFsRelationCommand",34295,"job commit time",20045,20045,20045,20045,"timing","547"
1,3,"WholeStageCodegen (140)",34296,"duration",1883,3889,8504,4141533,"timing","547"
1,4,"Sort",34297,"sort time",198,270,686,388754,"timing","547"
1,4,"Sort",34298,"peak memory",69206016,137595977,138412032,137596239872,"size","547"
1,4,"Sort",34299,"spill size",0,0,0,0,"size","547"
1,5,"Exchange",34147,"data size",2455600,78317803,254000584,77926462928,"size","493,547"
1,5,"Exchange",34148,"number of partitions",1000,1000,1000,1000,"sum","493,547"
1,5,"Exchange",34149,"remote blocks read",6,6,48,17183,"sum","493,547"
1,5,"Exchange",34150,"local blocks read",1,1,2,72,"sum","493,547"
1,5,"Exchange",34151,"remote bytes read",17279763,30691459,46261375,30691707471,"size","493,547"
1,5,"Exchange",34153,"local bytes read",31049,1692373,5373438,120159607,"size","493,547"
1,5,"Exchange",34154,"fetch wait time",0,0,144,371,"timing","493,547"
1,5,"Exchange",34155,"records read",79249,96719,121296,96959398,"sum","493,547"
1,5,"Exchange",34164,"remote reqs duration",579,2448,10263,2697212,"timing","493,547"
1,5,"Exchange",34166,"shuffle bytes written",1159366,30966452,91993077,30811867078,"size","493,547"
1,5,"Exchange",34167,"shuffle records written",2996,97196,317228,96959398,"sum","493,547"
1,5,"Exchange",34168,"shuffle write time",741549,16330300,248767207,16248899859,"nsTiming","493,547"
1,6,"WholeStageCodegen (139)",34169,"duration",214,37379,177511,152613883,"timing","387,440,493"
1,7,"HashAggregate",34170,"number of output rows",2996,97411,317228,389084700,"sum","387,440,493"
1,7,"HashAggregate",34171,"peak memory",262144,125295685,352321536,501684895744,"size","387,440,493"
1,7,"HashAggregate",34173,"time in aggregation build",192,36673,177160,149066187,"timing","387,440,493"
1,7,"HashAggregate",34174,"avg hash probes per key",11,12,16,63117,"average","387,440,493"
1,8,"HashAggregate",34176,"number of output rows",2996,97411,317228,389084700,"sum","387,440,493"
1,8,"HashAggregate",34177,"peak memory",262144,98638963,285212672,394884284416,"size","387,440,493"
1,8,"HashAggregate",34179,"time in aggregation build",160,36338,176781,147594323,"timing","387,440,493"
1,8,"HashAggregate",34180,"avg hash probes per key",10,10,18,56073,"average","387,440,493"
1,9,"Sort",34182,"sort time",0,326,2507,2470670,"timing","387,440,493"
1,9,"Sort",34183,"peak memory",65536,1564624351,6106906624,6254355021824,"size","387,440,493"
1,9,"Sort",34184,"spill size",0,855252311,8321499136,3487916097536,"size","387,440,493"
1,10,"Exchange",33579,"data size",875897600,1906024456,3741068960,1906024714368,"size","334,387,440,493"
1,10,"Exchange",33580,"number of partitions",1000,1000,1000,1000,"sum","334,387,440,493"
1,10,"Exchange",33581,"remote blocks read",140,413,909,2404697,"sum","334,387,440,493"
