stageId,accumulatorId,name,min,median,max,total
0,241,"number of output rows",2410100,2412954,3978300,2500000000
0,242,"scan time",121,4045,70347,4484021
0,2424,"data size",332570048,333006041,548999240,344994528512
0,2443,"shuffle bytes written",144873300,145085775,239021504,150309131570
0,2444,"shuffle records written",2410100,2412954,3978300,2500000000
0,2445,"shuffle write time",64241292,86708082,179422503,89829837505
0,2446,"duration",123,5588,72568,6097287
0,2447,"number of output rows",2410100,2412954,3978300,2500000000
0,2448,"number of output rows",2410100,2412954,3978300,2500000000
0,2449,"number of input batches",589,589,972,610970
0,3996,"internal.metrics.executorDeserializeTime",1,81,9141,207720
0,3997,"internal.metrics.executorDeserializeCpuTime",1400234,24385912,540412347,25459163166
0,3998,"internal.metrics.executorRunTime",124,8033,78208,8655289
0,3999,"internal.metrics.executorCpuTime",47995792,4033524472,6993090588,4210999819034
0,4000,"internal.metrics.resultSize",2928,3133,3188,3281628
0,4001,"internal.metrics.jvmGCTime",12,37,700,160692
0,4002,"internal.metrics.resultSerializationTime",1,1,7,70
0,4005,"internal.metrics.peakExecutionMemory",32768,466548020,671088640,487076397056
0,4024,"internal.metrics.shuffle.write.bytesWritten",144873300,145085775,239021504,150309131570
0,4025,"internal.metrics.shuffle.write.recordsWritten",2410100,2412954,3978300,2500000000
0,4026,"internal.metrics.shuffle.write.writeTime",64241292,86708082,179422503,89829837505
0,4027,"internal.metrics.input.bytesRead",1005925,1031105,1048729,1076805177
0,4028,"internal.metrics.input.recordsRead",2410100,2412954,3978300,2500000000
1,272,"number of output rows",80000,80000,80000,2000000
1,273,"scan time",5609,16845,29471,421280
1,2453,"data size",6400000,6400000,6400000,160000000
1,2472,"shuffle bytes written",2557140,2559944,2562118,63998744
1,2473,"shuffle records written",80000,80000,80000,2000000
1,2474,"shuffle write time",5552128,6099735,7066103,152493541
1,2475,"duration",5659,18410,30168,460415
1,2476,"number of output rows",80000,80000,80000,2000000
1,2477,"number of output rows",80000,80000,80000,2000000
1,2478,"number of input batches",32,32,32,800
1,4031,"internal.metrics.executorDeserializeTime",1,1,21,179
1,4032,"internal.metrics.executorDeserializeCpuTime",1486375,3617559,9904597,90439112
1,4033,"internal.metrics.executorRunTime",5769,18831,32946,470925
1,4034,"internal.metrics.executorCpuTime",538345121,667242361,874601722,16681059176
1,4035,"internal.metrics.resultSize",3100,3123,3145,78280
1,4036,"internal.metrics.jvmGCTime",10,13,39,303
1,4040,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
1,4059,"internal.metrics.shuffle.write.bytesWritten",2557140,2559944,2562118,63998744
1,4060,"internal.metrics.shuffle.write.recordsWritten",80000,80000,80000,2000000
1,4061,"internal.metrics.shuffle.write.writeTime",5552128,6099735,7066103,152493541
1,4062,"internal.metrics.input.bytesRead",220832,221070,221088,5526896
1,4063,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
2,811,"number of output rows",19980,19994,20012,500000
2,812,"scan time",5651,10002,26027,250231
2,2986,"duration",5675,10028,26050,250845
2,2987,"number of output rows",19980,19994,20012,500000
2,2988,"number of output rows",19980,19994,20012,500000
2,2989,"number of input batches",32,32,32,800
