sqlID,jobID,stageId,stageAttemptId,Stage Duration,SQL Nodes(IDs)
1,3,3,0,220527,"Exchange(72),Filter(74),ColumnarToRow(75),WholeStageCodegen (4)(73),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(76)"
1,2,2,0,219302,"Exchange(64),Filter(66),ColumnarToRow(67),WholeStageCodegen (3)(65),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(68)"
1,1,1,0,218159,"Exchange(57),Filter(59),ColumnarToRow(60),WholeStageCodegen (2)(58),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(61)"
1,4,4,0,216484,"Exchange(80),Filter(82),ColumnarToRow(83),WholeStageCodegen (5)(81),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(84)"
1,0,0,0,214818,"Exchange(50),Filter(52),ColumnarToRow(53),WholeStageCodegen (1)(51),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(54)"
1,5,5,0,203910,"Exchange(88),Filter(90),ColumnarToRow(91),WholeStageCodegen (6)(89),Scan parquet spark_catalog.demo_pauldefusco.calendar(92)"
1,6,8,0,171751,"Exchange(44),SortMergeJoin(47),WholeStageCodegen (9)(45),Sort(49),Exchange(50),Sort(56),WholeStageCodegen (8)(55),Exchange(57)"
1,14,92,0,56733,"Execute InsertIntoHadoopFsRelationCommand(1),Sort(4),WholeStageCodegen (24)(3),Exchange(6)"
2,15,93,0,50166,"Exchange(42),Filter(44),ColumnarToRow(45),WholeStageCodegen (1)(43),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(46)"
1,10,40,0,27005,"Exchange(15),HashAggregate(17),Expand(18),SortMergeJoin(20),WholeStageCodegen (21)(16),Sort(22),WholeStageCodegen (19)(21),Exchange(24),Sort(86),WholeStageCodegen (20)(85),Exchange(88)"
2,18,96,0,23181,"Exchange(64),Filter(66),ColumnarToRow(67),WholeStageCodegen (4)(65),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(68)"
2,17,95,0,21152,"Exchange(56),Filter(58),ColumnarToRow(59),WholeStageCodegen (3)(57),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(60)"
2,19,97,0,21090,"Exchange(72),Filter(74),ColumnarToRow(75),WholeStageCodegen (5)(73),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(76)"
2,21,101,0,20445,"Exchange(36),SortMergeJoin(39),WholeStageCodegen (9)(37),Sort(41),Exchange(42),Sort(48),WholeStageCodegen (8)(47),Exchange(49)"
2,16,94,0,19983,"Exchange(49),Filter(51),ColumnarToRow(52),WholeStageCodegen (2)(50),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(53)"
1,7,13,0,17312,"Exchange(38),SortMergeJoin(41),WholeStageCodegen (12)(39),Sort(43),WholeStageCodegen (10)(42),Exchange(44),Sort(63),Exchange(64)"
2,20,98,0,13259,"Exchange(80),Filter(82),ColumnarToRow(83),WholeStageCodegen (6)(81),Scan parquet spark_catalog.demo_pauldefusco.calendar(84)"
1,11,52,0,11743,"Exchange(10),HashAggregate(12),HashAggregate(13),WholeStageCodegen (22)(11),Exchange(15)"
1,9,29,0,10205,"Exchange(24),SortMergeJoin(27),WholeStageCodegen (18)(25),Sort(29),WholeStageCodegen (16)(28),Exchange(31),Sort(78),WholeStageCodegen (17)(77),Exchange(80)"
1,8,20,0,7280,"Exchange(31),SortMergeJoin(34),WholeStageCodegen (15)(32),Sort(36),WholeStageCodegen (13)(35),Exchange(38),Sort(70),WholeStageCodegen (14)(69),Exchange(72)"
1,12,65,0,6835,"HashAggregate(8),WholeStageCodegen (23)(7),Exchange(10)"
2,25,133,0,6163,"Exchange(8),HashAggregate(10),SortMergeJoin(12),WholeStageCodegen (21)(9),Sort(14),WholeStageCodegen (19)(13),Exchange(16),Sort(78),WholeStageCodegen (20)(77),Exchange(80)"
2,24,122,0,5433,"Exchange(16),SortMergeJoin(19),WholeStageCodegen (18)(17),Sort(21),WholeStageCodegen (16)(20),Exchange(23),Sort(70),WholeStageCodegen (17)(69),Exchange(72)"
2,22,106,0,5415,"Exchange(30),SortMergeJoin(33),WholeStageCodegen (12)(31),Sort(35),WholeStageCodegen (10)(34),Exchange(36),Sort(55),Exchange(56)"
2,23,113,0,2209,"Exchange(23),SortMergeJoin(26),WholeStageCodegen (15)(24),Sort(28),WholeStageCodegen (13)(27),Exchange(30),Sort(62),WholeStageCodegen (14)(61),Exchange(64)"
1,13,78,0,1324,"Exchange(6),HashAggregate(8),WholeStageCodegen (23)(7),Exchange(10)"
2,26,145,0,540,"Exchange(3),HashAggregate(5),HashAggregate(6),WholeStageCodegen (22)(4),Exchange(8)"
2,27,158,0,44,"HashAggregate(2),WholeStageCodegen (23)(1),Exchange(3)"
