SQL ID,Operator Type,Operator Name,Count,Supported,Stages
0,"Exec","Execute CreateDataSourceTableAsSelectCommand",1,false,""
1,"Expr","sum",108,true,"333:308:125:221:293:312:381:102:334:275:329:388:256:360:204:236:271:208:345:240:87:186:151:107:94:283:364"
1,"Expr","isnotnull",98,true,"69:138:101:347:249:0:88:217:5:247:10:384:56:42:24:288:301:320:37:25:52:14:372:196:189:20:93:284:325:289:57:261:29:216:321:106:238:84:353:61:89:1:265:74:206:233:6:60:380:85:201:302:260:28:38:297:192:21:33:92:229:252:197:361:285:9:53:328:225:339:193:13:41:371:237:2:205:311:298:32:34:264:45:64:17:22:44:286:59:118:27:71:12:54:350:86:274:81:377:230:362:7:39:98:303:213:66:198:223:299:226:3:80:35:374:355:194:48:63:295:18:282:150:95:310:50:67:199:16:338:31:336:11:72:250:231:363:319:26:258:23:8:119:58:207:272:346:214:287:36:262:30:51:190:19:273:305:326:239:4:341:79:332:47:15:62:227:322:337:354:83:309:215"
1,"Exec","Project",80,true,"365:138:101:347:333:249:234:0:352:170:217:276:247:379:269:202:384:24:301:320:37:52:372:46:93:284:325:228:289:57:316:261:29:376:211:253:106:238:348:353:280:61:89:243:265:206:60:380:85:366:334:302:70:21:137:33:92:229:252:197:65:324:224:317:188:356:328:339:193:212:96:41:371:73:244:311:298:34:264:279:64:296:375:191:44:286:59:118:281:259:71:54:313:49:335:350:86:274:377:230:362:245:318:39:98:367:323:91:198:278:223:306:226:267:241:80:35:374:209:342:295:282:150:95:327:263:310:67:331:370:338:31:336:386:314:43:250:363:218:368:319:40:304:258:55:75:290:119:58:246:207:82:214:287:151:300:315:36:51:190:273:210:239:242:126:341:358:79:195:283:332:47:200:68:62:277:369:90:111:322:354:83:215:232:100"
1,"Expr","And",57,true,"138:347:249:0:88:217:247:42:24:320:37:25:372:284:325:289:57:261:29:321:238:84:61:89:265:74:206:233:85:201:302:21:33:92:252:361:9:53:193:13:41:237:205:298:32:34:45:64:17:22:44:286:59:118:27:71:54:350:81:377:230:362:7:39:98:303:198:223:299:226:3:80:35:374:355:194:48:295:18:95:310:50:67:199:16:338:31:336:11:72:231:258:23:8:272:214:36:262:30:51:190:273:305:326:4:341:47:227:322:354:309"
1,"Exec","Sort",56,true,"365:101:333:234:352:170:276:308:379:269:202:384:301:52:125:46:93:228:316:376:211:253:106:348:353:280:221:293:243:312:60:380:381:366:102:334:70:275:137:229:197:65:329:324:224:317:188:388:356:328:256:339:212:96:371:73:244:360:311:264:279:296:375:191:281:204:259:313:49:335:236:86:274:245:318:271:208:345:367:323:91:240:278:306:267:241:209:342:282:150:327:263:331:370:386:314:43:250:363:87:218:368:319:40:304:186:55:75:290:119:58:246:207:82:287:151:300:315:210:107:239:242:126:358:79:195:94:283:332:200:68:62:277:369:90:111:83:215:364:232:100"
1,"Exec","Exchange",53,true,"0:170:24:37:25:52:157:20:46:29:1:60:117:102:28:70:21:137:33:65:97:188:388:212:32:34:22:27:49:335:91:35:112:31:43:87:40:26:55:23:75:58:246:151:36:30:107:126:79:94:283:62:83"
1,"Exec","ColumnarToRow",38,false,"69:138:347:249:0:88:217:5:247:10:56:42:24:288:320:37:25:14:372:196:189:20:284:325:289:57:261:29:216:321:238:84:61:89:1:265:74:206:233:6:85:201:302:260:28:38:297:192:21:33:92:252:361:285:9:53:225:193:13:41:237:2:205:298:32:34:45:64:17:22:44:286:59:118:27:71:12:54:350:81:377:230:362:7:39:98:303:213:66:198:223:299:226:3:80:35:374:355:194:48:63:295:18:95:310:50:67:199:16:338:31:336:11:72:231:26:258:23:8:272:346:214:36:262:30:51:190:19:273:305:326:4:341:47:15:227:322:337:354:309"
1,"Exec","Filter",38,true,"69:138:347:249:0:88:217:5:247:10:56:42:24:288:320:37:25:14:372:196:189:20:284:325:289:57:261:29:216:321:238:84:61:89:1:265:74:206:233:6:85:201:302:260:28:38:297:192:21:33:92:252:361:285:9:53:225:193:13:41:237:2:205:298:32:34:45:64:17:22:44:286:59:118:27:71:12:54:350:81:377:230:362:7:39:98:303:213:66:198:223:299:226:3:80:35:374:355:194:48:63:295:18:95:310:50:67:199:16:338:31:336:11:72:231:26:258:23:8:272:346:214:36:262:30:51:190:19:273:305:326:4:341:47:15:227:322:337:354:309"
1,"Exec","BroadcastHashJoin",35,true,"138:101:249:234:217:247:269:202:384:301:320:37:52:372:93:284:289:57:376:211:253:106:238:353:61:243:206:60:380:85:70:33:92:229:252:197:65:324:328:339:96:371:311:34:264:64:286:59:118:86:274:362:367:91:278:306:35:342:282:150:95:310:338:336:250:363:218:319:75:290:119:58:207:214:287:315:36:51:273:239:341:358:79:332:62:111:83:215"
1,"Exec","Scan parquet",33,true,"69:138:347:249:0:88:217:5:247:10:56:42:24:288:320:37:25:14:372:196:189:20:284:325:289:57:261:29:216:321:238:84:61:89:1:265:74:206:233:85:201:302:260:28:38:297:192:21:33:92:252:361:285:9:53:225:193:41:237:2:205:298:32:34:45:64:17:22:44:286:59:118:27:71:12:54:350:81:377:230:362:7:39:98:303:213:66:198:223:299:226:80:35:374:355:194:48:63:295:18:95:310:50:67:199:338:31:336:11:72:231:26:258:23:272:346:214:36:262:30:51:190:19:273:305:326:4:341:47:15:227:322:337:354:309"
1,"Exec","SortMergeJoin",24,true,"365:101:333:234:352:170:276:379:269:202:384:301:52:46:93:228:316:376:211:253:106:348:353:280:243:60:380:366:334:70:137:229:197:65:324:224:317:188:356:328:339:212:96:371:73:244:311:264:279:296:375:191:281:259:313:49:335:86:274:245:318:367:323:91:278:306:267:241:209:342:282:150:327:263:331:370:386:314:43:250:363:218:368:319:40:304:55:75:290:119:58:246:207:82:287:151:300:315:210:239:242:126:358:79:195:283:332:200:68:62:277:369:90:111:83:215:232:100"
1,"Exec","HashAggregate",20,true,"333:234:308:269:202:125:376:253:221:293:312:381:102:334:275:65:97:329:324:388:256:96:343:360:291:204:382:236:219:271:208:345:91:240:330:306:112:342:87:218:186:75:290:151:107:358:94:283:111:254:364"
1,"Expr","avg",20,true,"308:125:221:293:312:381:102:334:275:329:388:256:360:204:236:271:208:345:240:87:186:107:94:283:364"
