SQL ID,Stage ID,ExecId,Unsupported Type,Unsupported Operator,Details,Stage Duration,App Duration,Action
0,-1,0,Exec,"Execute CreateDataSourceTableAsSelectCommand","Unsupported",0,3121968,IgnorePerf
1,388,1,Exec,"AdaptiveSparkPlan","Unsupported",27785,3121968,IgnoreNoPerf
1,347,2,Exec,"ColumnarToRow","Unsupported",17069,3121968,IgnoreNoPerf
1,0,2,Exec,"ColumnarToRow","Unsupported",272348,3121968,IgnoreNoPerf
1,39,2,Exec,"ColumnarToRow","Unsupported",23311,3121968,IgnoreNoPerf
1,223,2,Exec,"ColumnarToRow","Unsupported",24442,3121968,IgnoreNoPerf
1,295,2,Exec,"ColumnarToRow","Unsupported",57285,3121968,IgnoreNoPerf
1,67,2,Exec,"ColumnarToRow","Unsupported",73519,3121968,IgnoreNoPerf
1,258,2,Exec,"ColumnarToRow","Unsupported",22573,3121968,IgnoreNoPerf
1,190,2,Exec,"ColumnarToRow","Unsupported",8534,3121968,IgnoreNoPerf
1,189,3,Exec,"ColumnarToRow","Unsupported",9309,3121968,IgnoreNoPerf
1,1,3,Exec,"ColumnarToRow","Unsupported",237338,3121968,IgnoreNoPerf
1,38,3,Exec,"ColumnarToRow","Unsupported",8871,3121968,IgnoreNoPerf
1,66,3,Exec,"ColumnarToRow","Unsupported",61492,3121968,IgnoreNoPerf
1,346,3,Exec,"ColumnarToRow","Unsupported",6149,3121968,IgnoreNoPerf
1,69,4,Exec,"ColumnarToRow","Unsupported",199574,3121968,IgnoreNoPerf
1,20,4,Exec,"ColumnarToRow","Unsupported",262317,3121968,IgnoreNoPerf
1,260,4,Exec,"ColumnarToRow","Unsupported",6824,3121968,IgnoreNoPerf
1,297,4,Exec,"ColumnarToRow","Unsupported",20394,3121968,IgnoreNoPerf
1,192,4,Exec,"ColumnarToRow","Unsupported",9367,3121968,IgnoreNoPerf
1,225,4,Exec,"ColumnarToRow","Unsupported",6671,3121968,IgnoreNoPerf
1,19,5,Exec,"ColumnarToRow","Unsupported",259211,3121968,IgnoreNoPerf
1,5,6,Exec,"ColumnarToRow","Unsupported",230015,3121968,IgnoreNoPerf
1,6,7,Exec,"ColumnarToRow","Unsupported",268826,3121968,IgnoreNoPerf
1,6,8,ReadExec,"Scan parquet","Unsupported IO format",268826,3121968,Triage
1,265,9,Exec,"ColumnarToRow","Unsupported",15444,3121968,IgnoreNoPerf
