sqlID,jobID,stageId,stageAttemptId,Stage Duration,SQL Nodes(IDs)
1,31,31,0,517539,"Exchange(467),Filter(470),ColumnarToRow(471),WholeStageCodegen (45)(468),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(472)"
1,29,29,0,511265,"Exchange(416),Filter(419),ColumnarToRow(420),WholeStageCodegen (39)(417),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(421)"
1,32,32,0,447845,"Exchange(475),Filter(477),ColumnarToRow(478),WholeStageCodegen (46)(476),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(479)"
1,28,28,0,402829,"Exchange(297),Filter(299),ColumnarToRow(300),WholeStageCodegen (25)(298),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(301)"
1,30,30,0,401564,"Exchange(424),Filter(426),ColumnarToRow(427),WholeStageCodegen (40)(425),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(428)"
1,25,25,0,399763,"Exchange(194),Filter(196),ColumnarToRow(197),WholeStageCodegen (14)(195),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(198)"
1,24,24,0,391066,"Exchange(186),Filter(189),ColumnarToRow(190),WholeStageCodegen (13)(187),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(191)"
1,27,27,0,364439,"Exchange(252),Filter(254),ColumnarToRow(255),WholeStageCodegen (20)(253),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(256)"
1,26,26,0,364217,"Exchange(201),Filter(203),ColumnarToRow(204),WholeStageCodegen (15)(202),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(205)"
1,33,33,0,343398,"Exchange(282),BroadcastHashJoin(285),Filter(287),ColumnarToRow(288),WholeStageCodegen (56)(283),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(289)"
1,21,21,0,336685,"Exchange(124),Filter(127),ColumnarToRow(128),WholeStageCodegen (7)(125),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(129)"
1,22,22,0,320416,"Exchange(132),Filter(134),ColumnarToRow(135),WholeStageCodegen (8)(133),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(136)"
