sqlID,nodeID,SQL Node,Child Node,Child NodeID
1,5,"WholeStageCodegen (139)","HashAggregate",6
1,5,"WholeStageCodegen (139)","HashAggregate",7
1,5,"WholeStageCodegen (139)","Sort",8
1,10,"WholeStageCodegen (138)","Project",11
1,10,"WholeStageCodegen (138)","SortMergeJoin",12
1,13,"WholeStageCodegen (136)","Sort",14
1,16,"WholeStageCodegen (135)","Project",17
1,16,"WholeStageCodegen (135)","SortMergeJoin",18
1,19,"WholeStageCodegen (133)","Sort",20
1,22,"WholeStageCodegen (132)","Project",23
1,22,"WholeStageCodegen (132)","SortMergeJoin",24
1,25,"WholeStageCodegen (130)","Sort",26
1,28,"WholeStageCodegen (129)","Project",29
1,28,"WholeStageCodegen (129)","SortMergeJoin",30
1,31,"WholeStageCodegen (127)","Sort",32
1,34,"WholeStageCodegen (93)","Project",35
1,34,"WholeStageCodegen (93)","Project",36
1,34,"WholeStageCodegen (93)","Project",37
1,34,"WholeStageCodegen (93)","Project",38
1,34,"WholeStageCodegen (93)","BroadcastHashJoin",39
1,34,"WholeStageCodegen (93)","Project",40
1,34,"WholeStageCodegen (93)","BroadcastHashJoin",41
1,34,"WholeStageCodegen (93)","Project",42
1,34,"WholeStageCodegen (93)","BroadcastHashJoin",43
1,34,"WholeStageCodegen (93)","Project",44
1,34,"WholeStageCodegen (93)","SortMergeJoin",45
1,46,"WholeStageCodegen (91)","Sort",47
1,49,"WholeStageCodegen (63)","Project",50
1,49,"WholeStageCodegen (63)","SortMergeJoin",51
1,52,"WholeStageCodegen (61)","Sort",53
1,55,"WholeStageCodegen (1)","Project",56
1,55,"WholeStageCodegen (1)","Filter",57
1,55,"WholeStageCodegen (1)","ColumnarToRow",58
1,60,"WholeStageCodegen (62)","Sort",61
1,63,"WholeStageCodegen (2)","Filter",64
1,63,"WholeStageCodegen (2)","ColumnarToRow",65
1,67,"WholeStageCodegen (92)","Sort",68
1,70,"WholeStageCodegen (3)","Filter",71
1,70,"WholeStageCodegen (3)","ColumnarToRow",72
1,75,"WholeStageCodegen (4)","Filter",76
1,75,"WholeStageCodegen (4)","ColumnarToRow",77
1,80,"WholeStageCodegen (5)","Filter",81
1,80,"WholeStageCodegen (5)","ColumnarToRow",82
1,85,"WholeStageCodegen (6)","Filter",86
1,85,"WholeStageCodegen (6)","ColumnarToRow",87
1,89,"WholeStageCodegen (128)","Sort",90
1,92,"WholeStageCodegen (126)","Project",93
1,92,"WholeStageCodegen (126)","SortMergeJoin",94
1,95,"WholeStageCodegen (124)","Sort",96
1,98,"WholeStageCodegen (123)","Project",99
1,98,"WholeStageCodegen (123)","SortMergeJoin",100
1,101,"WholeStageCodegen (121)","Sort",102
1,105,"WholeStageCodegen (96)","HashAggregate",106
1,105,"WholeStageCodegen (96)","HashAggregate",107
1,105,"WholeStageCodegen (96)","Project",108
1,105,"WholeStageCodegen (96)","BroadcastHashJoin",109
1,105,"WholeStageCodegen (96)","Project",110
1,105,"WholeStageCodegen (96)","BroadcastHashJoin",111
1,105,"WholeStageCodegen (96)","Project",112
1,105,"WholeStageCodegen (96)","BroadcastHashJoin",113
1,105,"WholeStageCodegen (96)","Project",114
1,105,"WholeStageCodegen (96)","SortMergeJoin",115
1,116,"WholeStageCodegen (94)","Sort",117
1,119,"WholeStageCodegen (66)","Project",120
1,119,"WholeStageCodegen (66)","SortMergeJoin",121
1,122,"WholeStageCodegen (64)","Sort",123
1,125,"WholeStageCodegen (7)","Project",126
1,125,"WholeStageCodegen (7)","Filter",127
1,125,"WholeStageCodegen (7)","ColumnarToRow",128
1,130,"WholeStageCodegen (65)","Sort",131
1,133,"WholeStageCodegen (8)","Filter",134
1,133,"WholeStageCodegen (8)","ColumnarToRow",135
1,137,"WholeStageCodegen (95)","Sort",138
1,140,"WholeStageCodegen (9)","Filter",141
1,140,"WholeStageCodegen (9)","ColumnarToRow",142
1,145,"WholeStageCodegen (10)","Filter",146
1,145,"WholeStageCodegen (10)","ColumnarToRow",147
1,150,"WholeStageCodegen (11)","Filter",151
1,150,"WholeStageCodegen (11)","ColumnarToRow",152
1,155,"WholeStageCodegen (12)","Filter",156
1,155,"WholeStageCodegen (12)","ColumnarToRow",157
1,159,"WholeStageCodegen (122)","Sort",160
1,162,"WholeStageCodegen (109)","HashAggregate",163
1,162,"WholeStageCodegen (109)","HashAggregate",164
1,162,"WholeStageCodegen (109)","Sort",165
1,167,"WholeStageCodegen (99)","Project",168
1,167,"WholeStageCodegen (99)","Project",169
1,167,"WholeStageCodegen (99)","Project",170
1,167,"WholeStageCodegen (99)","BroadcastHashJoin",171
1,167,"WholeStageCodegen (99)","Project",172
1,167,"WholeStageCodegen (99)","BroadcastHashJoin",173
1,167,"WholeStageCodegen (99)","Project",174
1,167,"WholeStageCodegen (99)","BroadcastHashJoin",175
1,167,"WholeStageCodegen (99)","Project",176
1,167,"WholeStageCodegen (99)","SortMergeJoin",177
1,178,"WholeStageCodegen (97)","Sort",179
1,181,"WholeStageCodegen (69)","Project",182
1,181,"WholeStageCodegen (69)","SortMergeJoin",183
1,184,"WholeStageCodegen (67)","Sort",185
1,187,"WholeStageCodegen (13)","Project",188
1,187,"WholeStageCodegen (13)","Filter",189
1,187,"WholeStageCodegen (13)","ColumnarToRow",190
1,192,"WholeStageCodegen (68)","Sort",193
1,195,"WholeStageCodegen (14)","Filter",196
1,195,"WholeStageCodegen (14)","ColumnarToRow",197
1,199,"WholeStageCodegen (98)","Sort",200
1,202,"WholeStageCodegen (15)","Filter",203
1,202,"WholeStageCodegen (15)","ColumnarToRow",204
1,207,"WholeStageCodegen (16)","Filter",208
1,207,"WholeStageCodegen (16)","ColumnarToRow",209
1,212,"WholeStageCodegen (18)","Filter",213
1,212,"WholeStageCodegen (18)","ColumnarToRow",214
1,216,"WholeStageCodegen (125)","Sort",217
1,219,"WholeStageCodegen (103)","HashAggregate",220
1,219,"WholeStageCodegen (103)","HashAggregate",221
1,219,"WholeStageCodegen (103)","Sort",222
1,224,"WholeStageCodegen (75)","Project",225
1,224,"WholeStageCodegen (75)","Project",226
1,224,"WholeStageCodegen (75)","Project",227
1,224,"WholeStageCodegen (75)","BroadcastHashJoin",228
1,224,"WholeStageCodegen (75)","Project",229
1,224,"WholeStageCodegen (75)","BroadcastHashJoin",230
1,224,"WholeStageCodegen (75)","Project",231
1,224,"WholeStageCodegen (75)","BroadcastHashJoin",232
1,224,"WholeStageCodegen (75)","Project",233
1,224,"WholeStageCodegen (75)","SortMergeJoin",234
1,235,"WholeStageCodegen (73)","Sort",236
1,238,"WholeStageCodegen (57)","Project",239
1,238,"WholeStageCodegen (57)","BroadcastHashJoin",240
1,238,"WholeStageCodegen (57)","Project",241
1,238,"WholeStageCodegen (57)","Filter",242
1,238,"WholeStageCodegen (57)","ColumnarToRow",243
1,246,"WholeStageCodegen (19)","Filter",247
1,246,"WholeStageCodegen (19)","ColumnarToRow",248
1,250,"WholeStageCodegen (74)","Sort",251
1,253,"WholeStageCodegen (20)","Filter",254
1,253,"WholeStageCodegen (20)","ColumnarToRow",255
1,257,"WholeStageCodegen (131)","Sort",258
1,260,"WholeStageCodegen (114)","Project",261
1,260,"WholeStageCodegen (114)","SortMergeJoin",262
1,263,"WholeStageCodegen (112)","Sort",264
1,267,"WholeStageCodegen (108)","HashAggregate",268
1,270,"WholeStageCodegen (90)","HashAggregate",271
1,270,"WholeStageCodegen (90)","Project",272
1,270,"WholeStageCodegen (90)","BroadcastHashJoin",273
1,270,"WholeStageCodegen (90)","Project",274
1,270,"WholeStageCodegen (90)","BroadcastHashJoin",275
1,270,"WholeStageCodegen (90)","Project",276
1,270,"WholeStageCodegen (90)","BroadcastHashJoin",277
1,270,"WholeStageCodegen (90)","Project",278
1,270,"WholeStageCodegen (90)","SortMergeJoin",279
1,280,"WholeStageCodegen (88)","Sort",281
1,283,"WholeStageCodegen (56)","Project",284
1,283,"WholeStageCodegen (56)","BroadcastHashJoin",285
1,283,"WholeStageCodegen (56)","Project",286
1,283,"WholeStageCodegen (56)","Filter",287
1,283,"WholeStageCodegen (56)","ColumnarToRow",288
1,291,"WholeStageCodegen (24)","Filter",292
1,291,"WholeStageCodegen (24)","ColumnarToRow",293
1,295,"WholeStageCodegen (89)","Sort",296
1,298,"WholeStageCodegen (25)","Filter",299
1,298,"WholeStageCodegen (25)","ColumnarToRow",300
1,303,"WholeStageCodegen (26)","Filter",304
1,303,"WholeStageCodegen (26)","ColumnarToRow",305
1,308,"WholeStageCodegen (28)","Filter",309
1,308,"WholeStageCodegen (28)","ColumnarToRow",310
1,312,"WholeStageCodegen (113)","Sort",313
1,315,"WholeStageCodegen (107)","HashAggregate",316
1,315,"WholeStageCodegen (107)","HashAggregate",317
1,315,"WholeStageCodegen (107)","Sort",318
1,320,"WholeStageCodegen (81)","Project",321
1,320,"WholeStageCodegen (81)","Project",322
1,320,"WholeStageCodegen (81)","BroadcastHashJoin",323
1,320,"WholeStageCodegen (81)","Project",324
1,320,"WholeStageCodegen (81)","BroadcastHashJoin",325
1,320,"WholeStageCodegen (81)","Project",326
1,320,"WholeStageCodegen (81)","BroadcastHashJoin",327
1,320,"WholeStageCodegen (81)","Project",328
1,320,"WholeStageCodegen (81)","SortMergeJoin",329
1,330,"WholeStageCodegen (79)","Sort",331
1,333,"WholeStageCodegen (58)","Project",334
1,333,"WholeStageCodegen (58)","BroadcastHashJoin",335
1,333,"WholeStageCodegen (58)","Project",336
1,333,"WholeStageCodegen (58)","Filter",337
1,333,"WholeStageCodegen (58)","ColumnarToRow",338
1,340,"WholeStageCodegen (80)","Sort",341
1,343,"WholeStageCodegen (31)","Filter",344
1,343,"WholeStageCodegen (31)","ColumnarToRow",345
1,348,"WholeStageCodegen (33)","Filter",349
1,348,"WholeStageCodegen (33)","ColumnarToRow",350
1,352,"WholeStageCodegen (134)","Sort",353
1,352,"WholeStageCodegen (134)","HashAggregate",354
1,352,"WholeStageCodegen (134)","HashAggregate",355
1,352,"WholeStageCodegen (134)","Sort",356
1,358,"WholeStageCodegen (87)","Project",359
1,358,"WholeStageCodegen (87)","Project",360
1,358,"WholeStageCodegen (87)","BroadcastHashJoin",361
1,358,"WholeStageCodegen (87)","Project",362
1,358,"WholeStageCodegen (87)","BroadcastHashJoin",363
1,358,"WholeStageCodegen (87)","Project",364
1,358,"WholeStageCodegen (87)","BroadcastHashJoin",365
1,358,"WholeStageCodegen (87)","Project",366
1,358,"WholeStageCodegen (87)","SortMergeJoin",367
1,368,"WholeStageCodegen (85)","Sort",369
1,371,"WholeStageCodegen (59)","Project",372
1,371,"WholeStageCodegen (59)","BroadcastHashJoin",373
1,371,"WholeStageCodegen (59)","Project",374
1,371,"WholeStageCodegen (59)","Filter",375
1,371,"WholeStageCodegen (59)","ColumnarToRow",376
1,378,"WholeStageCodegen (86)","Sort",379
1,380,"WholeStageCodegen (137)","Sort",381
1,383,"WholeStageCodegen (120)","Project",384
1,383,"WholeStageCodegen (120)","SortMergeJoin",385
1,386,"WholeStageCodegen (118)","Sort",387
1,389,"WholeStageCodegen (117)","Project",390
1,389,"WholeStageCodegen (117)","SortMergeJoin",391
1,392,"WholeStageCodegen (115)","Sort",393
1,395,"WholeStageCodegen (111)","HashAggregate",396
1,398,"WholeStageCodegen (106)","HashAggregate",399
1,398,"WholeStageCodegen (106)","Project",400
1,398,"WholeStageCodegen (106)","BroadcastHashJoin",401
1,398,"WholeStageCodegen (106)","Project",402
1,398,"WholeStageCodegen (106)","BroadcastHashJoin",403
1,398,"WholeStageCodegen (106)","Project",404
1,398,"WholeStageCodegen (106)","BroadcastHashJoin",405
1,398,"WholeStageCodegen (106)","Project",406
1,398,"WholeStageCodegen (106)","SortMergeJoin",407
1,408,"WholeStageCodegen (104)","Sort",409
1,411,"WholeStageCodegen (78)","Project",412
1,411,"WholeStageCodegen (78)","SortMergeJoin",413
1,414,"WholeStageCodegen (76)","Sort",415
1,417,"WholeStageCodegen (39)","Project",418
1,417,"WholeStageCodegen (39)","Filter",419
1,417,"WholeStageCodegen (39)","ColumnarToRow",420
1,422,"WholeStageCodegen (77)","Sort",423
1,425,"WholeStageCodegen (40)","Filter",426
1,425,"WholeStageCodegen (40)","ColumnarToRow",427
1,429,"WholeStageCodegen (105)","Sort",430
1,432,"WholeStageCodegen (42)","Filter",433
1,432,"WholeStageCodegen (42)","ColumnarToRow",434
1,437,"WholeStageCodegen (43)","Filter",438
1,437,"WholeStageCodegen (43)","ColumnarToRow",439
1,441,"WholeStageCodegen (116)","Sort",442
1,444,"WholeStageCodegen (110)","HashAggregate",445
1,444,"WholeStageCodegen (110)","HashAggregate",446
1,444,"WholeStageCodegen (110)","Sort",447
1,449,"WholeStageCodegen (102)","Project",450
1,449,"WholeStageCodegen (102)","Project",451
1,449,"WholeStageCodegen (102)","BroadcastHashJoin",452
1,449,"WholeStageCodegen (102)","Project",453
1,449,"WholeStageCodegen (102)","BroadcastHashJoin",454
1,449,"WholeStageCodegen (102)","Project",455
1,449,"WholeStageCodegen (102)","BroadcastHashJoin",456
1,449,"WholeStageCodegen (102)","Project",457
1,449,"WholeStageCodegen (102)","SortMergeJoin",458
1,459,"WholeStageCodegen (100)","Sort",460
1,462,"WholeStageCodegen (72)","Project",463
1,462,"WholeStageCodegen (72)","SortMergeJoin",464
1,465,"WholeStageCodegen (70)","Sort",466
1,468,"WholeStageCodegen (45)","Project",469
1,468,"WholeStageCodegen (45)","Filter",470
1,468,"WholeStageCodegen (45)","ColumnarToRow",471
1,473,"WholeStageCodegen (71)","Sort",474
1,476,"WholeStageCodegen (46)","Filter",477
1,476,"WholeStageCodegen (46)","ColumnarToRow",478
1,480,"WholeStageCodegen (101)","Sort",481
1,483,"WholeStageCodegen (49)","Filter",484
1,483,"WholeStageCodegen (49)","ColumnarToRow",485
1,487,"WholeStageCodegen (119)","Sort",488
1,487,"WholeStageCodegen (119)","HashAggregate",489
1,487,"WholeStageCodegen (119)","HashAggregate",490
1,487,"WholeStageCodegen (119)","Sort",491
1,493,"WholeStageCodegen (84)","Project",494
1,493,"WholeStageCodegen (84)","Project",495
1,493,"WholeStageCodegen (84)","BroadcastHashJoin",496
