Stage ID,Stage Task Duration,Unsupported Task Duration,Stage Estimated
152,284803,0,false
81,842254,0,false
5,390,130,false
4,16637,0,false
59,564502,0,false
50,367090,0,false
7,255521,0,false
34,855875,0,false
0,5132535,0,false
8,258123,0,false
128,772926,0,false
10,9432,0,false
6,3552616,0,false
11,278,92,false
70,3010186,0,false
27,2390639,0,false
9,250881,0,false
2,199793,0,false
177,845023,0,false
14,24024462,0,false
22,2880895,0,false
104,4415648,0,false
41,428483,0,false
3,176913,0,false
1,207181,0,false
17,6774270,0,false
187,374843,0,false
179,345521,0,false
185,387500,0,false
189,5064,1688,false
195,12253894,0,false
282,2162584,0,false
259,1345510,0,false
205,3752208,0,false
248,469845,0,false
200,4336771,0,false
212,813296,0,false
192,20387128,0,false
219,1309503,0,false
184,3354505,0,false
188,46470,0,false
228,348907,0,false
181,476126,0,false
182,76430,0,false
306,489896,0,false
183,291,97,false
237,513035,0,false
186,444341,0,false
331,213,0,false
180,376074,0,false
178,23730702,0,false
