sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,1,"Execute InsertIntoHadoopFsRelationCommand",5287,"number of written files",27,27,27,27,"sum","177"
1,1,"Execute InsertIntoHadoopFsRelationCommand",5288,"written output",4614842,4614842,4614842,4614842,"size","177"
1,1,"Execute InsertIntoHadoopFsRelationCommand",5289,"number of output rows",136673,136673,136673,136673,"sum","177"
1,1,"Execute InsertIntoHadoopFsRelationCommand",5290,"number of dynamic part",0,0,0,0,"sum","177"
1,1,"Execute InsertIntoHadoopFsRelationCommand",5291,"task commit time",443,1987,6245,53832,"timing","177"
1,1,"Execute InsertIntoHadoopFsRelationCommand",5292,"job commit time",1672,1672,1672,1672,"timing","177"
1,3,"WholeStageCodegen (48)",5293,"duration",15925,26343,39042,711419,"timing","177"
1,4,"Sort",5294,"sort time",0,0,8,41,"timing","177"
1,4,"Sort",5295,"peak memory",67371008,67371008,67371008,1819017216,"size","177"
1,4,"Sort",5296,"spill size",0,0,0,0,"size","177"
1,5,"AQEShuffleRead",5297,"number of partitions",27,27,27,27,"sum",""
1,5,"AQEShuffleRead",5298,"partition data size",1059188,1067409,1700292,29455067,"size",""
1,5,"AQEShuffleRead",5299,"number of coalesced partitions",27,27,27,27,"sum",""
1,6,"Exchange",5185,"data size",33976,73363,105912,28279672,"size","152,177"
1,6,"Exchange",5186,"number of partitions",800,800,800,800,"sum","152,177"
1,6,"Exchange",5187,"remote blocks read",3892,4035,6320,109090,"sum","152,177"
1,6,"Exchange",5188,"local blocks read",38,52,91,1398,"sum","152,177"
1,6,"Exchange",5189,"remote bytes read",993729,1030106,1609653,27813049,"size","152,177"
1,6,"Exchange",5191,"local bytes read",9250,14934,23410,358545,"size","152,177"
1,6,"Exchange",5192,"fetch wait time",0,0,0,0,"timing","152,177"
1,6,"Exchange",5193,"records read",4953,5056,7858,136673,"sum","152,177"
1,6,"Exchange",5202,"remote reqs duration",335,757,2227,20597,"timing","152,177"
1,6,"Exchange",5204,"shuffle bytes written",35366,73075,101667,28171594,"size","152,177"
1,6,"Exchange",5205,"shuffle records written",164,310,512,136673,"sum","152,177"
1,6,"Exchange",5206,"shuffle write time",841727,1949883,52026109,750743078,"nsTiming","152,177"
1,7,"WholeStageCodegen (47)",5207,"duration",52,169,997,319429,"timing","128,152"
1,8,"HashAggregate",5208,"number of output rows",164,311,512,410019,"sum","128,152"
1,8,"HashAggregate",5209,"peak memory",67371008,67371008,67371008,77813514240,"size","128,152"
1,8,"HashAggregate",5211,"time in aggregation build",47,147,748,283970,"timing","128,152"
1,8,"HashAggregate",5212,"avg hash probes per key",10,10,10,11550,"average","128,152"
1,9,"AQEShuffleRead",5214,"number of partitions",385,385,385,385,"sum",""
1,9,"AQEShuffleRead",5215,"partition data size",2161377,4529127,6166506,1777344159,"size",""
1,9,"AQEShuffleRead",5216,"number of coalesced partitions",384,384,384,384,"sum",""
1,10,"Exchange",5071,"data size",12560048,14324953,15296480,4082631256,"size","104,128,152"
1,10,"Exchange",5072,"number of partitions",800,800,800,800,"sum","104,128,152"
1,10,"Exchange",5073,"remote blocks read",281,556,855,674428,"sum","104,128,152"
1,10,"Exchange",5074,"local blocks read",4,7,24,9572,"sum","104,128,152"
1,10,"Exchange",5075,"remote bytes read",2034056,4339203,5797691,5011680988,"size","104,128,152"
1,10,"Exchange",5077,"local bytes read",28909,66319,164142,70937054,"size","104,128,152"
1,10,"Exchange",5078,"fetch wait time",0,0,113,1973,"timing","104,128,152"
1,10,"Exchange",5079,"records read",22286,47817,63896,55341069,"sum","104,128,152"
1,10,"Exchange",5088,"remote reqs duration",369,2779,11310,2849148,"timing","104,128,152"
1,10,"Exchange",5090,"shuffle bytes written",5220657,5944515,6333951,1694206014,"size","104,128,152"
1,10,"Exchange",5091,"shuffle records written",56775,64656,69109,18447023,"sum","104,128,152"
1,10,"Exchange",5092,"shuffle write time",5763571,8702002,49624454,2480091324,"nsTiming","104,128,152"
1,11,"WholeStageCodegen (46)",5093,"duration",2040,5420,8423,1563972,"timing","104"
1,12,"HashAggregate",5094,"number of output rows",56775,64656,69109,18447023,"sum","104"
1,12,"HashAggregate",5095,"peak memory",67371008,67371008,67371008,19200737280,"size","104"
1,12,"HashAggregate",5097,"time in aggregation build",1999,5290,8379,1529270,"timing","104"
1,12,"HashAggregate",5098,"avg hash probes per key",10,10,11,3128,"average","104"
1,13,"HashAggregate",5100,"number of output rows",510671,712266,794178,203016807,"sum","104"
1,13,"HashAggregate",5101,"peak memory",150994944,218692412,234881024,62327357440,"size","104"
1,13,"HashAggregate",5103,"time in aggregation build",1645,4573,7812,1323938,"timing","104"
1,13,"HashAggregate",5104,"avg hash probes per key",16,16,16,4560,"average","104"
1,14,"HashAggregate",5106,"number of output rows",510671,712266,794178,203016807,"sum","104"
1,14,"HashAggregate",5107,"peak memory",150994944,218692412,234881024,62327357440,"size","104"
1,14,"HashAggregate",5109,"time in aggregation build",1048,3385,6831,985282,"timing","104"
1,14,"HashAggregate",5110,"avg hash probes per key",16,16,16,4560,"average","104"
