stageId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
8,25,242977,0,258123,23498,5870,10324.9,17501,156,493,257491,5861590,3000000,393,0,0,0,69206016,0,2942,0,0,0,0,0,0,0,20497380,3000000,94
7,25,241290,0,255521,22059,5520,10220.8,17054,137,396,254965,5568496,2000000,394,0,0,0,69206016,0,2942,0,0,0,0,0,0,0,12642851,2000000,89
9,25,240121,0,250881,20156,5797,10035.2,15223,133,338,250380,5557007,500000,237,0,0,0,67633152,0,2942,0,0,0,0,0,0,0,4423585,500000,73
6,1044,225919,0,3552616,9271,163,3402.9,2620326,2814,3324,3537585,1073983375,2500000000,93312,0,0,0,335544320,78,2983,0,0,0,0,0,0,0,59937969030,2500000000,57449
10,2,225040,0,9432,4752,4680,4716.0,910,9,22,9399,381702,5000,10,0,0,0,67174400,0,2940,0,0,0,0,0,0,0,147387,5000,5
11,1,220536,0,278,278,278,278.0,80,4,9,264,7749,731,0,0,0,0,67141632,0,2895,0,0,0,0,0,0,0,37994,731,1
2,25,209385,0,199793,18192,7187,7991.7,25384,180,545,199061,5861590,3000000,659,0,0,0,69206016,0,2942,0,0,0,0,0,0,0,23515992,3000000,132
1,25,209053,0,207181,18354,6976,8287.2,26642,221,870,206133,5505296,2000000,1225,0,0,0,69206016,0,2942,0,0,0,0,0,0,0,19904227,2000000,112
14,800,203871,0,24024462,192505,3172,30030.6,2427042,26920,1860700,22139613,0,0,211957,0,0,0,704774144,42,8039,16518994,17431,1655798154,831369,79164945414,0,80820743568,35330433786,1150017784,26490
4,2,203531,0,16637,11005,5632,8318.5,1946,22,64,16559,381102,5000,175,0,0,0,67174400,0,2941,0,0,0,0,0,0,0,243848,5000,7
3,25,203352,0,176913,11254,6362,7076.5,24911,174,427,176307,5547407,500000,839,0,0,0,67633152,0,2942,0,0,0,0,0,0,0,12149531,500000,110
0,1044,195758,0,5132535,16883,164,4916.2,3289942,64158,140447,4970816,1074108889,2500000000,230889,0,0,0,335544320,202,2985,0,0,0,0,0,0,0,80800839341,2500000000,64169
5,1,192979,0,390,390,390,390.0,154,10,21,363,7737,731,20,0,0,0,67141632,0,2938,0,0,0,0,0,0,0,47807,731,2
17,800,159966,0,6774270,34447,3415,8467.8,2448044,3488,23231,6734132,0,0,88710,0,0,0,637665280,15,8039,3908384,17399,1227477749,831401,58723134132,0,59950611881,23946326836,1150017784,23217
