SQL ID,Operator Type,Operator Name,Count,Supported,Stages
0,"Exec","Execute CreateDataSourceTableAsSelectCommand",1,false,""
1,"Exec","Project",95,true,"69:468:0:88:170:10:52:184:125:344:179:84:61:248:21:137:65:97:109:77:13:45:191:27:144:406:113:91:240:130:35:177:16:11:72:43:104:40:23:119:58:246:151:30:79:163:62:178:222"
1,"Exec","Sort",94,true,"69:468:88:170:52:184:125:344:179:84:61:248:21:137:65:97:109:77:45:191:204:27:144:406:113:91:240:130:35:531:177:16:72:43:104:40:23:119:58:246:151:30:79:163:62:178:222"
1,"Exec","AQEShuffleRead",77,true,"69:88:170:52:184:125:179:84:61:21:137:65:97:109:77:45:191:27:144:113:91:130:35:531:177:16:72:43:104:40:23:119:58:151:30:79:163:62:178"
1,"Exec","Exchange",62,true,"69:468:0:88:170:5:10:52:184:125:344:179:84:61:1:206:6:248:21:137:65:97:9:109:77:13:2:45:191:204:27:12:144:113:7:91:240:130:3:35:199:177:16:11:72:43:104:40:23:8:119:58:246:151:30:4:79:163:62:178:222"
1,"Expr","isnotnull",48,true,"0:5:10:1:6:9:13:2:12:7:3:11:8:4"
1,"Expr","sum",48,true,"468:344:191:204:406:151"
1,"Exec","SortMergeJoin",45,true,"69:468:88:170:52:184:125:344:179:84:61:248:21:137:65:97:109:77:45:191:27:144:406:113:91:240:130:35:177:16:72:43:104:40:23:119:58:246:151:30:79:163:62:178:222"
1,"Expr","And",42,true,"0:5:10:1:9:13:2:12:3:11:4"
1,"Exec","HashAggregate",24,true,"468:170:184:344:179:206:137:191:204:144:406:199:177:151:163:178:222"
1,"Exec","ColumnarToRow",14,false,"0:5:10:1:6:9:13:2:12:7:3:11:8:4"
1,"Exec","Filter",14,true,"0:5:10:1:6:9:13:2:12:7:3:11:8:4"
1,"Expr","max",14,true,"468:344:137:406:199:163:222"
1,"Exec","Scan parquet",12,true,"0:10:1:6:13:2:12:7:3:11:8:4"
1,"Expr","avg",10,true,"406:468:344"
1,"Expr","GreaterThan",5,true,"0:10:1:13:11"
1,"Expr","LessThan",3,true,"0:10:13"
1,"Exec","Scan parquet",2,false,"5:9"
1,"Expr","count",2,true,"406:468:344"
1,"Expr","stddev",2,true,"406:468:344"
1,"Exec","AdaptiveSparkPlan",1,false,"531"
1,"Exec","Execute InsertIntoHadoopFsRelationCommand parquet",1,true,"531"
1,"Exec","WriteFiles",1,true,"531"
2,"Exec","Sort",55,true,"538:678:674:641:608:643:600:727:671:588:699:763:684:691:607:803:639"
2,"Exec","AQEShuffleRead",42,true,"538:678:674:608:643:600:588:699:684:691:607"
2,"Exec","Exchange",40,true,"533:538:678:534:537:674:641:535:608:643:613:600:727:671:588:699:763:684:536:532:691:607:803:639"
2,"Expr","isnotnull",37,true,"533:538:534:537:535:536:532"
2,"Expr","And",30,true,"533:538:534:537:535:536:532"
2,"Exec","Project",30,true,"533:538:678:674:641:608:643:600:727:671:588:699:763:684:532:691:607:803:639"
2,"Exec","SortMergeJoin",27,true,"538:678:674:641:608:643:600:727:671:588:699:763:684:691:607:803:639"
2,"Exec","HashAggregate",17,true,"608:613:600:671:844:699:763:607:803"
2,"Exec","ColumnarToRow",12,false,"533:538:534:537:535:536:532"
2,"Exec","Filter",12,true,"533:538:534:537:535:536:532"
2,"Exec","Scan parquet",10,true,"533:538:534:535:536:532"
2,"Expr","GreaterThan",3,true,"532:533:538"
2,"Expr","LessThan",2,true,"532:538"
2,"Exec","Scan parquet",2,false,"537"
2,"Expr","count",2,true,"844:803"
2,"Exec","AdaptiveSparkPlan",1,false,"844"
