sqlID,nodeID,SQL Node,Child Node,Child NodeID
1,3,"WholeStageCodegen (386)","Sort",4
1,7,"WholeStageCodegen (385)","HashAggregate",8
1,7,"WholeStageCodegen (385)","HashAggregate",9
1,7,"WholeStageCodegen (385)","Project",10
1,7,"WholeStageCodegen (385)","SortMergeJoin",11
1,12,"WholeStageCodegen (383)","Sort",13
1,15,"WholeStageCodegen (379)","Project",16
1,15,"WholeStageCodegen (379)","SortMergeJoin",17
1,18,"WholeStageCodegen (377)","Sort",19
1,21,"WholeStageCodegen (370)","Project",22
1,21,"WholeStageCodegen (370)","SortMergeJoin",23
1,24,"WholeStageCodegen (368)","Sort",25
1,27,"WholeStageCodegen (360)","Project",28
1,27,"WholeStageCodegen (360)","SortMergeJoin",29
1,30,"WholeStageCodegen (358)","Sort",31
1,34,"WholeStageCodegen (255)","Project",35
1,34,"WholeStageCodegen (255)","Project",36
1,34,"WholeStageCodegen (255)","Project",37
1,34,"WholeStageCodegen (255)","Project",38
1,34,"WholeStageCodegen (255)","Project",39
1,34,"WholeStageCodegen (255)","Project",40
1,34,"WholeStageCodegen (255)","Project",41
1,34,"WholeStageCodegen (255)","Project",42
1,34,"WholeStageCodegen (255)","Project",43
1,34,"WholeStageCodegen (255)","Project",44
1,34,"WholeStageCodegen (255)","Project",45
1,34,"WholeStageCodegen (255)","Project",46
1,34,"WholeStageCodegen (255)","Project",47
1,34,"WholeStageCodegen (255)","SortMergeJoin",48
1,49,"WholeStageCodegen (253)","Sort",50
1,53,"WholeStageCodegen (243)","Project",54
1,53,"WholeStageCodegen (243)","SortMergeJoin",55
1,56,"WholeStageCodegen (241)","Sort",57
1,60,"WholeStageCodegen (231)","Project",61
1,60,"WholeStageCodegen (231)","SortMergeJoin",62
1,63,"WholeStageCodegen (229)","Sort",64
1,67,"WholeStageCodegen (213)","Project",68
1,67,"WholeStageCodegen (213)","SortMergeJoin",69
1,70,"WholeStageCodegen (211)","Sort",71
1,74,"WholeStageCodegen (183)","Project",75
1,74,"WholeStageCodegen (183)","SortMergeJoin",76
1,77,"WholeStageCodegen (181)","Sort",78
1,81,"WholeStageCodegen (1)","Project",82
1,81,"WholeStageCodegen (1)","Filter",83
1,81,"WholeStageCodegen (1)","ColumnarToRow",84
1,86,"WholeStageCodegen (182)","Sort",87
1,90,"WholeStageCodegen (2)","Filter",91
1,90,"WholeStageCodegen (2)","ColumnarToRow",92
1,94,"WholeStageCodegen (212)","Sort",95
1,98,"WholeStageCodegen (3)","Filter",99
1,98,"WholeStageCodegen (3)","ColumnarToRow",100
1,102,"WholeStageCodegen (230)","Sort",103
1,106,"WholeStageCodegen (4)","Filter",107
1,106,"WholeStageCodegen (4)","ColumnarToRow",108
1,110,"WholeStageCodegen (242)","Sort",111
1,114,"WholeStageCodegen (5)","Filter",115
1,114,"WholeStageCodegen (5)","ColumnarToRow",116
1,118,"WholeStageCodegen (254)","Sort",119
1,122,"WholeStageCodegen (6)","Filter",123
1,122,"WholeStageCodegen (6)","ColumnarToRow",124
1,126,"WholeStageCodegen (359)","Sort",127
1,126,"WholeStageCodegen (359)","HashAggregate",128
1,131,"WholeStageCodegen (336)","HashAggregate",132
1,131,"WholeStageCodegen (336)","Project",133
1,131,"WholeStageCodegen (336)","Project",134
1,131,"WholeStageCodegen (336)","Project",135
1,131,"WholeStageCodegen (336)","Project",136
1,131,"WholeStageCodegen (336)","Project",137
1,131,"WholeStageCodegen (336)","Project",138
1,131,"WholeStageCodegen (336)","Project",139
1,131,"WholeStageCodegen (336)","Project",140
1,131,"WholeStageCodegen (336)","Project",141
1,131,"WholeStageCodegen (336)","Project",142
1,131,"WholeStageCodegen (336)","Project",143
1,131,"WholeStageCodegen (336)","Project",144
1,131,"WholeStageCodegen (336)","SortMergeJoin",145
1,146,"WholeStageCodegen (334)","Sort",147
1,150,"WholeStageCodegen (312)","Project",151
1,150,"WholeStageCodegen (312)","SortMergeJoin",152
1,153,"WholeStageCodegen (310)","Sort",154
1,157,"WholeStageCodegen (267)","Project",158
1,157,"WholeStageCodegen (267)","SortMergeJoin",159
1,160,"WholeStageCodegen (265)","Sort",161
1,164,"WholeStageCodegen (216)","Project",165
1,164,"WholeStageCodegen (216)","SortMergeJoin",166
1,167,"WholeStageCodegen (214)","Sort",168
1,170,"WholeStageCodegen (215)","Sort",171
1,174,"WholeStageCodegen (9)","Filter",175
1,174,"WholeStageCodegen (9)","ColumnarToRow",176
1,178,"WholeStageCodegen (266)","Sort",179
1,182,"WholeStageCodegen (10)","Filter",183
1,182,"WholeStageCodegen (10)","ColumnarToRow",184
1,186,"WholeStageCodegen (311)","Sort",187
1,190,"WholeStageCodegen (11)","Filter",191
1,190,"WholeStageCodegen (11)","ColumnarToRow",192
1,194,"WholeStageCodegen (335)","Sort",195
1,198,"WholeStageCodegen (12)","Filter",199
1,198,"WholeStageCodegen (12)","ColumnarToRow",200
1,202,"WholeStageCodegen (369)","Sort",203
1,205,"WholeStageCodegen (362)","HashAggregate",206
1,205,"WholeStageCodegen (362)","HashAggregate",207
1,205,"WholeStageCodegen (362)","Sort",208
1,210,"WholeStageCodegen (342)","Project",211
1,210,"WholeStageCodegen (342)","SortMergeJoin",212
1,213,"WholeStageCodegen (340)","Sort",214
1,217,"WholeStageCodegen (264)","Project",218
1,217,"WholeStageCodegen (264)","Project",219
1,217,"WholeStageCodegen (264)","Project",220
1,217,"WholeStageCodegen (264)","Project",221
1,217,"WholeStageCodegen (264)","Project",222
