SQL ID,Operator Type,Operator Name,Count,Supported,Stages
0,"Exec","Execute CreateDataSourceTableAsSelectCommand",1,false,""
1,"Exec","Sort",100,true,"249:115:379:52:189:20:46:78:29:61:74:233:160:70:197:65:97:53:212:41:128:32:444:22:144:81:76:140:91:155:108:35:150:50:199:16:127:314:43:87:104:26:55:510:36:30:19:94:47:68:111:122"
1,"Exec","Exchange",65,true,"249:0:170:115:5:10:52:189:20:46:78:29:61:1:74:233:6:160:70:197:65:97:9:53:212:13:41:128:2:32:444:22:12:144:81:76:7:140:91:155:108:3:35:162:150:50:199:16:127:11:43:87:104:26:55:8:36:30:19:4:94:47:68:111:122"
1,"Exec","Project",52,true,"249:115:379:52:189:20:46:78:29:61:74:233:160:70:197:65:97:53:212:41:128:32:444:22:12:144:81:76:7:140:91:108:35:150:50:199:16:127:314:43:87:104:26:55:36:30:19:94:47:68:111:122"
1,"Exec","AQEShuffleRead",49,true,"115:52:46:78:61:74:70:65:97:53:41:81:76:91:108:50:43:87:104:55:510:94:47:68:111"
1,"Exec","SortMergeJoin",48,true,"249:115:379:52:189:20:46:78:29:61:74:233:160:70:197:65:97:53:212:41:128:32:444:22:144:81:76:140:91:108:35:150:50:199:16:127:314:43:87:104:26:55:36:30:19:94:47:68:111:122"
1,"Expr","isnotnull",45,true,"0:5:10:1:6:9:13:2:12:7:3:11:8:4"
1,"Expr","And",36,true,"0:5:1:6:13:2:12:7:3:11:4"
1,"Expr","sum",30,true,"379:233:444:140:155:314:94"
1,"Exec","HashAggregate",24,true,"249:170:379:233:160:97:128:444:144:140:155:162:150:127:314:87:94:122"
1,"Exec","ColumnarToRow",14,false,"0:5:10:1:6:9:13:2:12:7:3:11:8:4"
1,"Exec","Filter",14,true,"0:5:10:1:6:9:13:2:12:7:3:11:8:4"
1,"Exec","Scan parquet",12,true,"0:10:1:6:9:13:2:12:7:3:8:4"
1,"Expr","max",12,true,"249:170:379:444:150:314:87"
1,"Expr","avg",8,true,"379:444:314"
1,"Expr","GreaterThan",5,true,"0:1:6:12:7"
1,"Exec","Scan parquet",2,false,"5:11"
1,"Expr","count",2,true,"379:444:314"
1,"Expr","stddev",2,true,"379:444:314"
1,"Exec","AdaptiveSparkPlan",1,false,"510"
1,"Exec","Execute InsertIntoHadoopFsRelationCommand parquet",1,true,"510"
1,"Exec","WriteFiles",1,true,"510"
2,"Exec","Sort",55,true,"645:555:597:533:538:587:542:638:634:527:529:561:566:578:650:615:593:554:642:647:569:605:633:558:573:641:540:567:616:631:552:563:531:548:617:553:525:690:585:643:544:595:556:632:536:564:635:644:560:639:592"
2,"Exec","Exchange",40,true,"518:511:597:533:542:514:527:512:522:519:578:650:610:554:647:515:569:605:633:558:513:573:540:616:631:552:520:521:531:548:617:516:525:690:585:544:517:536:564:635"
2,"Expr","isnotnull",35,true,"518:523:511:565:559:514:512:522:519:537:637:515:541:513:562:520:521:516:640:588:517:532:528"
2,"Exec","Project",29,true,"645:555:523:597:533:538:587:542:638:634:527:512:529:561:566:578:650:615:593:554:642:647:569:605:633:558:573:641:540:567:616:631:552:563:531:548:617:553:525:690:585:643:544:595:556:517:632:536:564:635:528:644:560:639:592"
2,"Exec","SortMergeJoin",27,true,"645:555:597:533:538:587:542:638:634:527:529:561:566:578:650:615:593:554:642:647:569:605:633:558:573:641:540:567:616:631:552:563:531:548:617:553:525:690:585:643:544:595:556:632:536:564:635:644:560:639:592"
2,"Expr","And",26,true,"523:511:559:514:512:522:637:515:541:513:562:521:516:640:517:532:528"
2,"Exec","AQEShuffleRead",24,true,"542:566:578:615:593:554:642:569:558:573:641:540:567:552:563:548:553:585:643:544:595:556:564:592"
2,"Exec","HashAggregate",17,true,"597:634:650:610:647:569:605:616:617:690:595:632:731:644"
2,"Exec","ColumnarToRow",12,false,"518:523:511:565:559:514:512:522:519:537:637:515:541:513:562:520:521:516:640:588:517:532:528"
2,"Exec","Filter",12,true,"518:523:511:565:559:514:512:522:519:537:637:515:541:513:562:520:521:516:640:588:517:532:528"
2,"Exec","Scan parquet",10,true,"518:523:511:565:559:514:512:522:519:537:637:515:541:513:562:520:640:588:517:532:528"
2,"Expr","GreaterThan",3,true,"523:511:559:512:637:517:528"
2,"Exec","Scan parquet",2,false,"516:521"
2,"Expr","count",2,true,"731:690"
2,"Exec","AdaptiveSparkPlan",1,false,"731"
