Stage ID,Stage Task Duration,Unsupported Task Duration,Stage Estimated
50,990510,0,false
74,745190,0,false
43,1232754,0,false
19,3575010,0,false
444,1210593,0,false
162,556218,0,false
35,3815820,0,false
108,1130546,0,false
30,4279282,0,false
76,638627,0,false
379,139473,0,false
7,172083,0,false
16,6267957,0,false
13,11738,0,false
53,979480,0,false
212,1547560,0,false
3,159982,0,false
11,264,88,false
249,1603481,0,false
9,143273,0,false
78,699528,0,false
104,1375523,0,false
189,2341005,0,false
68,715646,0,false
20,5040763,0,false
70,950177,0,false
155,1006375,0,false
0,4946605,0,false
150,1507488,0,false
2,145348,0,false
61,1080722,0,false
55,1090723,0,false
29,5012297,0,false
52,892511,0,false
22,6007750,0,false
127,1881463,0,false
111,1005892,0,false
47,1041098,0,false
4,9073,0,false
41,1591309,0,false
6,3733330,0,false
122,1960230,0,false
32,4186013,0,false
199,1648455,0,false
314,1584319,0,false
1,168280,0,false
115,947190,0,false
197,1546096,0,false
233,2870272,0,false
26,5258516,0,false
36,2357432,0,false
144,1521232,0,false
81,632120,0,false
128,1859881,0,false
8,144588,0,false
65,901937,0,false
10,8562,0,false
170,646095,0,false
12,3715445,0,false
140,2334433,0,false
94,750520,0,false
5,365,121,false
46,1104394,0,false
97,722609,0,false
160,1906258,0,false
91,906065,0,false
87,1047508,0,false
510,176077,0,false
588,275,0,false
592,3712,0,false
631,1730455,0,false
520,17763,0,false
610,549291,0,false
644,9234,0,false
567,2354,0,false
515,26473,0,false
585,874771,0,false
529,40365,0,false
553,5736,0,false
650,1435525,0,false
587,9146,0,false
544,1040675,0,false
511,6810893,0,false
521,281,93,false
595,1603,0,false
597,1419050,0,false
559,61304,0,false
593,4046,0,false
639,10262,0,false
573,804740,0,false
564,709063,0,false
533,1759732,0,false
640,238,0,false
555,9232,0,false
513,437818,0,false
516,391,130,false
605,1946584,0,false
536,1983076,0,false
523,4478,0,false
522,15707,0,false
566,3827,0,false
538,13324,0,false
634,8620,0,false
563,4832,0,false
569,656972,0,false
531,1760835,0,false
517,3611131,0,false
642,6807,0,false
632,8308,0,false
537,2479,0,false
638,11432,0,false
558,719998,0,false
641,3976,0,false
554,661318,0,false
578,775726,0,false
552,552457,0,false
514,451038,0,false
562,753,0,false
542,987313,0,false
519,270880,0,false
532,3433,0,false
617,1707552,0,false
637,42742,0,false
731,72,0,false
635,1399130,0,false
643,3440,0,false
690,929775,0,false
528,53089,0,false
615,1613,0,false
556,5807,0,false
525,4208963,0,false
565,1859,0,false
527,4827336,0,false
616,1718978,0,false
633,1488799,0,false
541,3244,0,false
548,1059719,0,false
560,22201,0,false
518,247639,0,false
645,4595,0,false
561,12406,0,false
512,320413,0,false
540,863883,0,false
647,1559295,0,false
