sqlID,jobID,stageId,stageAttemptId,Stage Duration,SQL Nodes(IDs)
1,12,12,0,337084,"Exchange(270),Filter(273),ColumnarToRow(274),WholeStageCodegen (19)(271),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(275)"
1,13,13,0,301165,"Exchange(341),Filter(343),ColumnarToRow(344),WholeStageCodegen (29)(342),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(345)"
1,6,6,0,289980,"Exchange(146),Filter(148),ColumnarToRow(149),WholeStageCodegen (7)(147),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(150)"
1,9,9,0,251886,"Exchange(169),Filter(171),ColumnarToRow(172),WholeStageCodegen (10)(170),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(173)"
1,7,7,0,251174,"Exchange(153),Filter(156),ColumnarToRow(157),WholeStageCodegen (8)(154),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(158)"
1,8,8,0,250451,"Exchange(161),Filter(163),ColumnarToRow(164),WholeStageCodegen (9)(162),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(165)"
1,10,10,0,250104,"Exchange(177),Filter(179),ColumnarToRow(180),WholeStageCodegen (11)(178),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(181)"
1,11,11,0,246056,"Exchange(185),Filter(187),ColumnarToRow(188),WholeStageCodegen (12)(186),Scan parquet spark_catalog.demo_pauldefusco.calendar(189)"
1,0,0,0,201977,"Exchange(66),Filter(68),ColumnarToRow(69),WholeStageCodegen (1)(67),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(70)"
1,4,4,0,179678,"Exchange(96),Filter(98),ColumnarToRow(99),WholeStageCodegen (5)(97),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(100)"
1,3,3,0,178854,"Exchange(88),Filter(90),ColumnarToRow(91),WholeStageCodegen (4)(89),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(92)"
1,2,2,0,176142,"Exchange(80),Filter(82),ColumnarToRow(83),WholeStageCodegen (3)(81),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(84)"
1,5,5,0,175555,"Exchange(104),Filter(106),ColumnarToRow(107),WholeStageCodegen (6)(105),Scan parquet spark_catalog.demo_pauldefusco.calendar(108)"
1,1,1,0,170994,"Exchange(73),Filter(75),ColumnarToRow(76),WholeStageCodegen (2)(74),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(77)"
1,14,16,0,168876,"Exchange(60),SortMergeJoin(63),WholeStageCodegen (99)(61),Sort(65),Exchange(66),Sort(72),WholeStageCodegen (98)(71),Exchange(73)"
1,16,20,0,158458,"Exchange(73),Exchange(146),Exchange(526),SortMergeJoin(529),WholeStageCodegen (114)(527),Sort(531),Sort(533),WholeStageCodegen (113)(532)"
1,17,22,0,119971,"Exchange(153),Exchange(264),SortMergeJoin(267),WholeStageCodegen (117)(265),Sort(269),Exchange(270),Sort(277),WholeStageCodegen (116)(276)"
1,15,19,0,113805,"Exchange(140),SortMergeJoin(143),WholeStageCodegen (102)(141),Sort(145),Exchange(146),Sort(152),WholeStageCodegen (101)(151),Exchange(153)"
1,18,26,0,95619,"Exchange(54),SortMergeJoin(57),WholeStageCodegen (147)(55),Sort(59),WholeStageCodegen (145)(58),Exchange(60),Sort(79),Exchange(80)"
1,19,29,0,73021,"Exchange(134),SortMergeJoin(137),WholeStageCodegen (150)(135),Sort(139),WholeStageCodegen (148)(138),Exchange(140),Sort(160),Exchange(161)"
1,20,30,0,72063,"Exchange(80),Exchange(140),Exchange(327),SortMergeJoin(330),WholeStageCodegen (156)(328),Sort(332),WholeStageCodegen (154)(331),Sort(334)"
1,21,32,0,32205,"Exchange(161),Exchange(520),SortMergeJoin(523),WholeStageCodegen (162)(521),Sort(525),WholeStageCodegen (160)(524),Exchange(526),Sort(535)"
1,23,36,0,28903,"Exchange(80),Exchange(264),Exchange(462),SortMergeJoin(465),WholeStageCodegen (186)(463),Sort(467),WholeStageCodegen (184)(466),Sort(469)"
1,22,35,0,26502,"Exchange(161),Exchange(258),SortMergeJoin(261),WholeStageCodegen (165)(259),Sort(263),WholeStageCodegen (163)(262),Exchange(264),Sort(279)"
1,24,41,0,21733,"Exchange(47),SortMergeJoin(50),WholeStageCodegen (195)(48),Sort(52),WholeStageCodegen (193)(51),Exchange(54),Sort(86),WholeStageCodegen (194)(85),Exchange(88)"
