stageId,accumulatorId,name,min,median,max,total
0,297,"number of output rows",2410100,2412948,3978300,2500000000
0,298,"scan time",140,2262,48892,2621697
0,6199,"data size",152706816,152927975,252128256,158433647680
0,6218,"shuffle bytes written",79914962,80036377,131829272,82917950208
0,6219,"shuffle records written",2386044,2389244,3939504,2475525745
0,6220,"shuffle write time",36831723,42473871,209776460,44003204278
0,6221,"duration",144,2835,50052,3229676
0,6222,"number of output rows",2386044,2389244,3939504,2475525745
0,6223,"number of output rows",2410100,2412948,3978300,2500000000
0,6224,"number of input batches",589,589,972,610970
0,9533,"internal.metrics.executorDeserializeTime",1,41,7811,122041
0,9534,"internal.metrics.executorDeserializeCpuTime",1293347,18144910,535709001,18943557595
0,9535,"internal.metrics.executorRunTime",148,4341,54263,4815462
0,9536,"internal.metrics.executorCpuTime",46779084,2266880668,5347124563,2366623692324
0,9537,"internal.metrics.resultSize",2723,2890,2984,3064295
0,9538,"internal.metrics.jvmGCTime",6,11,412,51514
0,9539,"internal.metrics.resultSerializationTime",1,1,2,49
0,9542,"internal.metrics.peakExecutionMemory",32768,266635583,402653184,278367830016
0,9561,"internal.metrics.shuffle.write.bytesWritten",79914962,80036377,131829272,82917950208
0,9562,"internal.metrics.shuffle.write.recordsWritten",2386044,2389244,3939504,2475525745
0,9563,"internal.metrics.shuffle.write.writeTime",36831723,42473871,209776460,44003204278
0,9564,"internal.metrics.input.bytesRead",1005925,1032759,1051391,1078559049
0,9565,"internal.metrics.input.recordsRead",2410100,2412948,3978300,2500000000
1,328,"number of output rows",80000,80000,80000,2000000
1,329,"scan time",6144,6557,7151,164081
1,6228,"data size",4470592,4471652,4473168,111791456
1,6247,"shuffle bytes written",1464242,1466902,1469933,36672659
1,6248,"shuffle records written",79832,79844,79878,1996276
1,6249,"shuffle write time",3682355,4295032,5632099,107375970
1,6250,"duration",6195,6611,7213,165414
1,6251,"number of output rows",79832,79844,79878,1996276
1,6252,"number of output rows",80000,80000,80000,2000000
1,6253,"number of input batches",32,32,32,800
1,9568,"internal.metrics.executorDeserializeTime",1,2,38,229
1,9569,"internal.metrics.executorDeserializeCpuTime",1440310,3877836,8716170,96946041
1,9570,"internal.metrics.executorRunTime",6281,6711,7324,167909
1,9571,"internal.metrics.executorCpuTime",545123474,671746117,1068594108,16793653027
1,9572,"internal.metrics.resultSize",2895,2903,2941,72751
1,9573,"internal.metrics.jvmGCTime",12,17,25,149
1,9577,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
1,9596,"internal.metrics.shuffle.write.bytesWritten",1464242,1466902,1469933,36672659
1,9597,"internal.metrics.shuffle.write.recordsWritten",79832,79844,79878,1996276
1,9598,"internal.metrics.shuffle.write.writeTime",3682355,4295032,5632099,107375970
1,9599,"internal.metrics.input.bytesRead",364124,364459,364692,9111616
1,9600,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
2,359,"number of output rows",119980,119994,120023,3000000
2,360,"scan time",5193,5639,6231,141143
2,6257,"data size",3839360,3839995,3840736,96000000
2,6276,"shuffle bytes written",939851,940634,941223,23515992
2,6277,"shuffle records written",119980,119994,120023,3000000
2,6278,"shuffle write time",3399268,4021530,5937949,100538430
2,6279,"duration",5240,5687,6289,142342
2,6280,"number of output rows",119980,119994,120023,3000000
2,6281,"number of output rows",119980,119994,120023,3000000
2,6282,"number of input batches",32,32,32,800
2,9603,"internal.metrics.executorDeserializeTime",1,2,24,250
2,9604,"internal.metrics.executorDeserializeCpuTime",1352464,4036141,12539233,100903647
