App ID,SQL ID,Operator,Count,Stage Task Exec Duration(s),Total SQL Task Duration(s),% of Total SQL Task Duration,Supported
spark-74d85928dcbb4e77a568949358c96aa9,1,AQEShuffleRead,49,23348.66,112179.36,20.81,True
spark-74d85928dcbb4e77a568949358c96aa9,1,AdaptiveSparkPlan,1,176.08,112179.36,0.16,False
spark-74d85928dcbb4e77a568949358c96aa9,1,ColumnarToRow,14,13358.94,112179.36,11.91,False
spark-74d85928dcbb4e77a568949358c96aa9,1,Exchange,65,110279.49,112179.36,98.31,True
spark-74d85928dcbb4e77a568949358c96aa9,1,Execute InsertIntoHadoopFsRelationCommand parquet,1,176.08,112179.36,0.16,True
spark-74d85928dcbb4e77a568949358c96aa9,1,Filter,14,13358.94,112179.36,11.91,True
spark-74d85928dcbb4e77a568949358c96aa9,1,HashAggregate,32,25108.45,112179.36,22.38,True
spark-74d85928dcbb4e77a568949358c96aa9,1,Project,54,100323.19,112179.36,89.43,True
spark-74d85928dcbb4e77a568949358c96aa9,1,Scan parquet,2,0.63,112179.36,0.00,False
spark-74d85928dcbb4e77a568949358c96aa9,1,Scan parquet,12,13358.31,112179.36,11.91,True
spark-74d85928dcbb4e77a568949358c96aa9,1,Sort,106,97618.11,112179.36,87.02,True
spark-74d85928dcbb4e77a568949358c96aa9,1,SortMergeJoin,50,96435.66,112179.36,85.97,True
spark-74d85928dcbb4e77a568949358c96aa9,1,WriteFiles,1,176.08,112179.36,0.16,True
spark-74d85928dcbb4e77a568949358c96aa9,2,AQEShuffleRead,48,9754.39,52722.28,18.50,True
spark-74d85928dcbb4e77a568949358c96aa9,2,AdaptiveSparkPlan,1,0.07,52722.28,0.00,False
spark-74d85928dcbb4e77a568949358c96aa9,2,ColumnarToRow,23,12384.32,52722.28,23.49,False
spark-74d85928dcbb4e77a568949358c96aa9,2,Exchange,40,52341.44,52722.28,99.28,True
spark-74d85928dcbb4e77a568949358c96aa9,2,Filter,23,12384.32,52722.28,23.49,True
spark-74d85928dcbb4e77a568949358c96aa9,2,HashAggregate,21,11950.86,52722.28,22.67,True
spark-74d85928dcbb4e77a568949358c96aa9,2,Project,55,43777.71,52722.28,83.03,True
spark-74d85928dcbb4e77a568949358c96aa9,2,Scan parquet,2,0.67,52722.28,0.00,False
spark-74d85928dcbb4e77a568949358c96aa9,2,Scan parquet,21,12383.65,52722.28,23.49,True
spark-74d85928dcbb4e77a568949358c96aa9,2,Sort,103,39788.60,52722.28,75.47,True
spark-74d85928dcbb4e77a568949358c96aa9,2,SortMergeJoin,51,39788.60,52722.28,75.47,True
