sqlID,jobID,stageId,stageAttemptId,Stage Duration,SQL Nodes(IDs)
1,6,6,0,283457,"Exchange(136),Filter(138),ColumnarToRow(139),WholeStageCodegen (7)(137),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(140)"
1,8,8,0,251657,"Exchange(156),Filter(158),ColumnarToRow(159),WholeStageCodegen (11)(157),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(160)"
1,10,10,0,249963,"Exchange(208),Filter(210),ColumnarToRow(211),WholeStageCodegen (14)(209),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(212)"
1,7,7,0,248765,"Exchange(148),Filter(150),ColumnarToRow(151),WholeStageCodegen (10)(149),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(152)"
1,12,15,0,248540,"Exchange(56),Exchange(200),SortMergeJoin(203),WholeStageCodegen (24)(201),Sort(205),Sort(207),WholeStageCodegen (23)(206),Exchange(208)"
1,9,9,0,234547,"Exchange(164),Filter(166),ColumnarToRow(167),WholeStageCodegen (12)(165),Scan parquet spark_catalog.demo_pauldefusco.calendar(168)"
1,13,17,0,213384,"Exchange(63),Exchange(130),SortMergeJoin(133),WholeStageCodegen (27)(131),Sort(135),Exchange(136),Sort(142),WholeStageCodegen (26)(141)"
1,0,0,0,193839,"Exchange(56),Filter(58),ColumnarToRow(59),WholeStageCodegen (1)(57),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(60)"
1,3,3,0,169652,"Exchange(78),Filter(80),ColumnarToRow(81),WholeStageCodegen (4)(79),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(82)"
1,4,4,0,167503,"Exchange(86),Filter(88),ColumnarToRow(89),WholeStageCodegen (5)(87),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(90)"
1,2,2,0,163923,"Exchange(70),Filter(72),ColumnarToRow(73),WholeStageCodegen (3)(71),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(74)"
1,5,5,0,163238,"Exchange(94),Filter(96),ColumnarToRow(97),WholeStageCodegen (6)(95),Scan parquet spark_catalog.demo_pauldefusco.calendar(98)"
1,1,1,0,158783,"Exchange(63),Filter(65),ColumnarToRow(66),WholeStageCodegen (2)(64),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(67)"
1,11,13,0,155874,"Exchange(50),SortMergeJoin(53),WholeStageCodegen (21)(51),Sort(55),Exchange(56),Sort(62),WholeStageCodegen (20)(61),Exchange(63)"
1,14,20,0,146874,"Exchange(44),SortMergeJoin(47),WholeStageCodegen (30)(45),Sort(49),WholeStageCodegen (28)(48),Exchange(50),Sort(69),Exchange(70)"
1,23,11,1,33749,"Exchange(56),Filter(58),ColumnarToRow(59),WholeStageCodegen (1)(57),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(60)"
1,17,11,1,33749,"Exchange(56),Filter(58),ColumnarToRow(59),WholeStageCodegen (1)(57),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(60)"
1,11,11,1,33749,"Exchange(56),Filter(58),ColumnarToRow(59),WholeStageCodegen (1)(57),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(60)"
1,20,11,1,33749,"Exchange(56),Filter(58),ColumnarToRow(59),WholeStageCodegen (1)(57),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(60)"
1,14,11,1,33749,"Exchange(56),Filter(58),ColumnarToRow(59),WholeStageCodegen (1)(57),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(60)"
1,22,11,1,33749,"Exchange(56),Filter(58),ColumnarToRow(59),WholeStageCodegen (1)(57),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(60)"
1,18,11,1,33749,"Exchange(56),Filter(58),ColumnarToRow(59),WholeStageCodegen (1)(57),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(60)"
1,12,11,1,33749,"Exchange(56),Filter(58),ColumnarToRow(59),WholeStageCodegen (1)(57),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(60)"
1,24,11,1,33749,"Exchange(56),Filter(58),ColumnarToRow(59),WholeStageCodegen (1)(57),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(60)"
1,23,18,1,31939,"Exchange(70),Filter(72),ColumnarToRow(73),WholeStageCodegen (3)(71),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(74)"
1,17,18,1,31939,"Exchange(70),Filter(72),ColumnarToRow(73),WholeStageCodegen (3)(71),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(74)"
1,20,18,1,31939,"Exchange(70),Filter(72),ColumnarToRow(73),WholeStageCodegen (3)(71),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(74)"
1,14,18,1,31939,"Exchange(70),Filter(72),ColumnarToRow(73),WholeStageCodegen (3)(71),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(74)"
1,22,18,1,31939,"Exchange(70),Filter(72),ColumnarToRow(73),WholeStageCodegen (3)(71),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(74)"
1,16,18,1,31939,"Exchange(70),Filter(72),ColumnarToRow(73),WholeStageCodegen (3)(71),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(74)"
1,19,18,1,31939,"Exchange(70),Filter(72),ColumnarToRow(73),WholeStageCodegen (3)(71),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(74)"
1,18,18,1,31939,"Exchange(70),Filter(72),ColumnarToRow(73),WholeStageCodegen (3)(71),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(74)"
1,21,18,1,31939,"Exchange(70),Filter(72),ColumnarToRow(73),WholeStageCodegen (3)(71),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(74)"
1,15,18,1,31939,"Exchange(70),Filter(72),ColumnarToRow(73),WholeStageCodegen (3)(71),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(74)"
1,24,18,1,31939,"Exchange(70),Filter(72),ColumnarToRow(73),WholeStageCodegen (3)(71),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(74)"
1,14,19,1,30798,"Exchange(50),SortMergeJoin(53),WholeStageCodegen (21)(51),Sort(55),Exchange(56),Sort(62),WholeStageCodegen (20)(61),Exchange(63)"
1,12,14,1,30582,"Exchange(208),Filter(210),ColumnarToRow(211),WholeStageCodegen (14)(209),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(212)"
1,12,15,1,29931,"Exchange(56),Exchange(200),SortMergeJoin(203),WholeStageCodegen (24)(201),Sort(205),Sort(207),WholeStageCodegen (23)(206),Exchange(208)"
1,13,16,1,29131,"Exchange(136),Filter(138),ColumnarToRow(139),WholeStageCodegen (7)(137),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(140)"
1,15,23,0,28209,"Exchange(70),Exchange(124),SortMergeJoin(127),WholeStageCodegen (33)(125),Sort(129),WholeStageCodegen (31)(128),Exchange(130),Sort(144)"
1,17,31,0,27484,"Exchange(70),Exchange(194),SortMergeJoin(197),WholeStageCodegen (39)(195),Sort(199),WholeStageCodegen (37)(198),Exchange(200),Sort(214)"
1,14,20,1,26234,"Exchange(44),SortMergeJoin(47),WholeStageCodegen (30)(45),Sort(49),WholeStageCodegen (28)(48),Exchange(50),Sort(69),Exchange(70)"
1,11,12,1,18482,"Exchange(63),Filter(65),ColumnarToRow(66),WholeStageCodegen (2)(64),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(67)"
1,14,12,1,18482,"Exchange(63),Filter(65),ColumnarToRow(66),WholeStageCodegen (2)(64),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(67)"
1,13,12,1,18482,"Exchange(63),Filter(65),ColumnarToRow(66),WholeStageCodegen (2)(64),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(67)"
1,22,12,1,18482,"Exchange(63),Filter(65),ColumnarToRow(66),WholeStageCodegen (2)(64),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(67)"
1,16,12,1,18482,"Exchange(63),Filter(65),ColumnarToRow(66),WholeStageCodegen (2)(64),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(67)"
1,19,12,1,18482,"Exchange(63),Filter(65),ColumnarToRow(66),WholeStageCodegen (2)(64),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(67)"
1,18,12,1,18482,"Exchange(63),Filter(65),ColumnarToRow(66),WholeStageCodegen (2)(64),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(67)"
1,21,12,1,18482,"Exchange(63),Filter(65),ColumnarToRow(66),WholeStageCodegen (2)(64),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(67)"
1,15,12,1,18482,"Exchange(63),Filter(65),ColumnarToRow(66),WholeStageCodegen (2)(64),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(67)"
2,37,228,0,16997,"Exchange(134),Filter(136),ColumnarToRow(137),WholeStageCodegen (7)(135),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(138)"
1,16,28,0,16501,"Exchange(117),SortMergeJoin(120),WholeStageCodegen (36)(118),Sort(122),WholeStageCodegen (34)(121),Exchange(124),Sort(146),WholeStageCodegen (35)(145),Exchange(148)"
2,44,239,0,15009,"Exchange(134),Exchange(197),SortMergeJoin(200),WholeStageCodegen (27)(198),Sort(202),Sort(204),WholeStageCodegen (26)(203),Exchange(205)"
2,41,232,0,13059,"Exchange(205),Filter(207),ColumnarToRow(208),WholeStageCodegen (14)(206),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(209)"
2,38,229,0,12690,"Exchange(146),Filter(148),ColumnarToRow(149),WholeStageCodegen (10)(147),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(150)"
2,42,235,0,12215,"Exchange(48),SortMergeJoin(51),WholeStageCodegen (21)(49),Sort(53),Exchange(54),Sort(60),WholeStageCodegen (20)(59),Exchange(61)"
2,39,230,0,11994,"Exchange(154),Filter(156),ColumnarToRow(157),WholeStageCodegen (11)(155),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(158)"
2,40,231,0,11510,"Exchange(162),Filter(164),ColumnarToRow(165),WholeStageCodegen (12)(163),Scan parquet spark_catalog.demo_pauldefusco.calendar(166)"
2,31,222,0,11197,"Exchange(54),Filter(56),ColumnarToRow(57),WholeStageCodegen (1)(55),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(58)"
2,43,237,0,11016,"Exchange(61),Exchange(128),SortMergeJoin(131),WholeStageCodegen (24)(129),Sort(133),Exchange(134),Sort(140),WholeStageCodegen (23)(139)"
1,16,27,0,11007,"Exchange(148),Filter(150),ColumnarToRow(151),WholeStageCodegen (10)(149),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(152)"
1,11,12,2,10816,"Exchange(63),Filter(65),ColumnarToRow(66),WholeStageCodegen (2)(64),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(67)"
