stageId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
6,1044,283457,0,4031358,53360,138,3861.5,2691427,7056,24279,4000326,1076033199,2500000000,40460,0,0,0,402653184,18,2983,0,0,0,0,0,0,0,83812106870,2500000000,59850
15,876,278471,0,15013884,90685,4487,19713.05,2621068,54399,512392,14489650,0,0,103175,0,0,0,637665280,78,8039,10367357,35037,3342754570,894399,85102243931,0,88444998501,33932062111,1257778445,23403
8,2,251657,0,22033,17448,4585,11016.5,957,12,56,21968,381702,5000,11,0,0,0,67174400,0,2939,0,0,0,0,0,0,0,147387,5000,5
10,25,249963,0,176773,15637,5702,7070.9,15453,85,191,176444,5568496,2000000,329,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,12642851,2000000,102
7,25,248765,0,158669,14672,5641,6346.8,14840,104,254,158268,5557007,500000,128,0,0,0,67633152,0,2941,0,0,0,0,0,0,0,4423585,500000,83
9,1,234547,0,281,281,281,281.0,89,3,10,267,7749,731,0,0,0,0,67141632,0,2897,0,0,0,0,0,0,0,37994,731,2
17,836,219827,0,34743012,97338,3288,23740.300000000003,2942758,189656,1118570,32989451,0,0,223400,0,0,0,704774144,266,8040,19216957,10520,1042461461,864805,85407269000,0,86449730461,40218538602,1185673908,24454
0,1044,193839,0,5086373,57005,153,4872.0,2427463,21684,81745,4994763,1074108889,2500000000,62062,0,0,0,335544320,37,2984,0,0,0,0,0,0,0,80800839341,2500000000,44141
20,839,173108,0,19733743,64766,26,23254.65,1095824,21399,431573,18018799,0,0,67862,0,0,0,411172864,55,11680,15798619,5752,322049924,657548,36995834231,0,37317884155,7958402986,248441406,7734
3,25,169652,0,167348,7289,6200,6693.9,13619,79,171,167043,7500963,500000,348,0,0,0,67633152,0,2941,0,0,0,0,0,0,0,12149531,500000,90
4,2,167503,0,9083,4615,4468,4541.5,871,7,20,9052,381102,5000,43,0,0,0,67174400,0,2939,0,0,0,0,0,0,0,243848,5000,6
2,25,163923,0,146949,6294,5626,5878.0,12984,73,167,146660,5861590,3000000,74,0,0,0,69206016,0,2940,0,0,0,0,0,0,0,20497380,3000000,93
5,1,163238,0,260,260,260,260.0,90,4,7,248,7737,731,0,0,0,0,67141632,0,2897,0,0,0,0,0,0,0,47807,731,1
1,25,158783,0,153270,6537,5627,6130.8,16451,99,208,152925,5358172,2000000,156,0,0,0,69206016,0,2940,0,0,0,0,0,0,0,29648300,2000000,101
13,800,155874,0,6597845,38767,3010,8247.3,2804595,11788,174890,6417121,0,0,101304,0,0,0,704774144,15,8039,2997719,48169,4589765809,800631,76240721832,0,80830487641,37107690101,1150017784,28349
11,270,42594,0,1707903,32566,2607,6273.5,946710,3103,53235,1651259,277775150,645906800,46272,0,0,0,268435456,8,2984,0,0,0,0,0,0,0,20875968507,645906800,11249
14,3,41030,0,43198,25079,7674,17069.25,6921,48,82,42830,668000,240000,335,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,1513544,240000,10
18,7,40008,0,65662,22833,6702,9140.9,9691,54,92,65467,1641246,839999,528,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,5735050,839999,25
16,151,37223,0,794878,22003,2730,5262.95,530376,1718,2951,789959,155670584,365493300,22341,0,0,0,402653184,14,2985,0,0,0,0,0,0,0,12253008562,365493300,6636
19,99,30798,0,2200913,30791,11185,22231.4,326689,1125,2131,2197332,0,0,8776,0,0,0,704774144,0,7997,1765466,592,57622554,104447,9974859103,0,10032481657,4621431236,143256743,2583
12,5,29298,0,50527,11360,6744,10314.5,15703,80,129,50331,1071680,400000,764,0,0,0,69206016,4,2984,0,0,0,0,0,0,0,5935824,400000,25
23,800,28209,0,14582941,28197,7236,18228.7,1265436,7062,161568,14401904,0,0,43286,0,0,0,411172864,99,11680,12459970,3785,222223515,656215,38806988480,0,39029211995,8822224903,247163783,7786
31,800,27484,0,8631946,20330,1058,10789.9,1005284,6266,29557,8576486,0,0,33946,0,0,0,344064000,5,11678,7259080,3792,178924375,656208,30866509873,0,31045434248,5238954602,247163783,6409
228,1044,16997,0,3684075,6634,172,3528.8,2649715,2391,3375,3671615,1072059065,2500000000,69487,0,0,0,335544320,59,2984,0,0,0,0,0,0,0,58888670214,2500000000,52255
28,798,16501,0,4677778,13092,515,5861.9,602665,7615,101162,4571893,0,0,13181,0,0,0,251723776,73,15319,3920636,3688,48663375,656312,8777985113,0,8826648488,7408858250,247163783,7484
239,800,15009,0,3472432,5693,2458,4340.5,2775188,3757,13619,3447503,0,0,141779,0,0,0,570556416,204,8040,4172,6436,329817822,1141736,58594199359,0,58924017181,21075658739,1150017784,24951
232,400,13059,0,296283,1705,455,740.7,65968,1027,1576,291366,5568496,2000000,5727,0,0,0,67239936,10,2942,0,0,0,0,0,0,0,35346967,2000000,2446
