stageId,accumulatorId,name,min,median,max,total
0,263,"number of output rows",2410100,2412952,3978300,2500000000
0,264,"scan time",140,2418,49481,2759427
0,1332,"data size",134965600,135134947,222784800,140000000000
0,1351,"shuffle bytes written",77886442,77992821,128406630,80800839341
0,1352,"shuffle records written",2410100,2412952,3978300,2500000000
0,1353,"shuffle write time",34946127,42607693,96014684,44141833840
0,1354,"duration",141,3045,53040,3428678
0,1355,"number of output rows",2410100,2412952,3978300,2500000000
0,1356,"number of output rows",2410100,2412952,3978300,2500000000
0,1357,"number of input batches",589,589,972,610970
0,1973,"internal.metrics.executorDeserializeTime",1,29,3026,81745
0,1974,"internal.metrics.executorDeserializeCpuTime",1184661,20770238,693878541,21684402007
0,1975,"internal.metrics.executorRunTime",146,4526,55384,4994763
0,1976,"internal.metrics.executorCpuTime",49972973,2325156186,5805710308,2427463334902
0,1977,"internal.metrics.resultSize",2724,2890,2984,3063476
0,1978,"internal.metrics.jvmGCTime",6,12,510,62062
0,1979,"internal.metrics.resultSerializationTime",2,2,3,37
0,1982,"internal.metrics.peakExecutionMemory",32768,266507035,335544320,278233612288
0,2001,"internal.metrics.shuffle.write.bytesWritten",77886442,77992821,128406630,80800839341
0,2002,"internal.metrics.shuffle.write.recordsWritten",2410100,2412952,3978300,2500000000
0,2003,"internal.metrics.shuffle.write.writeTime",34946127,42607693,96014684,44141833840
0,2004,"internal.metrics.input.bytesRead",1005925,1028473,1044263,1074108889
0,2005,"internal.metrics.input.recordsRead",2410100,2412952,3978300,2500000000
1,294,"number of output rows",80000,80000,80000,2000000
1,295,"scan time",5495,5968,6353,149317
1,1361,"data size",3840000,3840000,3840000,96000000
1,1380,"shuffle bytes written",1183291,1185926,1189704,29648300
1,1381,"shuffle records written",80000,80000,80000,2000000
1,1382,"shuffle write time",3499133,4078213,5057899,101955480
1,1383,"duration",5538,6014,6404,150547
1,1384,"number of output rows",80000,80000,80000,2000000
1,1385,"number of output rows",80000,80000,80000,2000000
1,1386,"number of input batches",32,32,32,800
1,2008,"internal.metrics.executorDeserializeTime",1,1,38,208
1,2009,"internal.metrics.executorDeserializeCpuTime",1464254,3977389,10707497,99434855
1,2010,"internal.metrics.executorRunTime",5621,6110,6515,152925
1,2011,"internal.metrics.executorCpuTime",514728843,658065039,1007669929,16451626166
1,2012,"internal.metrics.resultSize",2895,2904,2940,72753
1,2013,"internal.metrics.jvmGCTime",8,18,27,156
1,2017,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
1,2036,"internal.metrics.shuffle.write.bytesWritten",1183291,1185926,1189704,29648300
1,2037,"internal.metrics.shuffle.write.recordsWritten",80000,80000,80000,2000000
1,2038,"internal.metrics.shuffle.write.writeTime",3499133,4078213,5057899,101955480
1,2039,"internal.metrics.input.bytesRead",214144,214324,214336,5358172
1,2040,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
2,325,"number of output rows",119980,119993,120023,3000000
2,326,"scan time",5486,5734,6168,143522
2,1390,"data size",1919680,1919993,1920368,48000000
2,1409,"shuffle bytes written",817907,819889,822545,20497380
2,1410,"shuffle records written",119980,119993,120023,3000000
2,1411,"shuffle write time",3281774,3723373,4438949,93084490
2,1412,"duration",5527,5774,6209,144513
2,1413,"number of output rows",119980,119993,120023,3000000
2,1414,"number of output rows",119980,119993,120023,3000000
2,1415,"number of input batches",32,32,32,800
2,2043,"internal.metrics.executorDeserializeTime",1,1,30,167
2,2044,"internal.metrics.executorDeserializeCpuTime",1438378,2935668,7860835,73391902
2,2045,"internal.metrics.executorRunTime",5617,5861,6289,146660
2,2046,"internal.metrics.executorCpuTime",449067947,519393986,640616428,12984849743
2,2047,"internal.metrics.resultSize",2895,2897,2940,72587
2,2048,"internal.metrics.jvmGCTime",14,18,20,74
2,2052,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
2,2071,"internal.metrics.shuffle.write.bytesWritten",817907,819889,822545,20497380
2,2072,"internal.metrics.shuffle.write.recordsWritten",119980,119993,120023,3000000
2,2073,"internal.metrics.shuffle.write.writeTime",3281774,3723373,4438949,93084490
2,2074,"internal.metrics.input.bytesRead",234462,234462,234464,5861590
2,2075,"internal.metrics.input.recordsRead",119980,119993,120023,3000000
3,356,"number of output rows",19980,19993,20012,500000
3,357,"scan time",6076,6571,7160,164425
3,1419,"data size",1099176,1101489,1102864,27537360
3,1438,"shuffle bytes written",484235,485976,487175,12149531
3,1439,"shuffle records written",19980,19993,20012,500000
3,1440,"shuffle write time",3009730,3629775,4580239,90744527
3,1441,"duration",6101,6597,7188,165084
