sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,1,"Execute InsertIntoHadoopFsRelationCommand",71511,"number of written files",1,1,1,1,"sum","595"
1,1,"Execute InsertIntoHadoopFsRelationCommand",71512,"written output",449253,449253,449253,449253,"size","595"
1,1,"Execute InsertIntoHadoopFsRelationCommand",71513,"number of output rows",3121,3121,3121,3121,"sum","595"
1,1,"Execute InsertIntoHadoopFsRelationCommand",71514,"number of dynamic part",0,0,0,0,"sum","595"
1,1,"Execute InsertIntoHadoopFsRelationCommand",71515,"task commit time",514,514,514,514,"timing","595"
1,1,"Execute InsertIntoHadoopFsRelationCommand",71516,"job commit time",641,641,641,641,"timing","595"
1,3,"WholeStageCodegen (304)",71517,"duration",705,705,705,705,"timing","595"
1,4,"Sort",71518,"sort time",9,9,9,9,"timing","595"
1,4,"Sort",71519,"peak memory",67239936,67239936,67239936,67239936,"size","595"
1,4,"Sort",71520,"spill size",0,0,0,0,"size","595"
1,5,"AQEShuffleRead",71521,"number of partitions",1,1,1,1,"sum",""
1,5,"AQEShuffleRead",71522,"partition data size",941752,941752,941752,941752,"size",""
1,5,"AQEShuffleRead",71523,"number of coalesced partitions",1,1,1,1,"sum",""
1,6,"Exchange",71380,"data size",968,2119,6816,777552,"size","525,595"
1,6,"Exchange",71381,"number of partitions",800,800,800,800,"sum","525,595"
1,6,"Exchange",71382,"remote blocks read",2903,2903,2903,2903,"sum","525,595"
1,6,"Exchange",71383,"local blocks read",207,207,207,207,"sum","525,595"
1,6,"Exchange",71384,"remote bytes read",840473,840473,840473,840473,"size","525,595"
1,6,"Exchange",71386,"local bytes read",59857,59857,59857,59857,"size","525,595"
1,6,"Exchange",71387,"fetch wait time",0,0,0,0,"timing","525,595"
1,6,"Exchange",71388,"records read",3121,3121,3121,3121,"sum","525,595"
1,6,"Exchange",71397,"remote reqs duration",205,205,205,205,"timing","525,595"
1,6,"Exchange",71399,"shuffle bytes written",1116,2463,7880,900330,"size","525,595"
1,6,"Exchange",71400,"shuffle records written",4,4,27,3121,"sum","525,595"
1,6,"Exchange",71401,"shuffle write time",36456,66369,279066,23393171,"nsTiming","525,595"
1,7,"WholeStageCodegen (303)",71402,"duration",5,5,648,162247,"timing","525,456"
1,8,"HashAggregate",71403,"number of output rows",4,4,27,9363,"sum","525,456"
1,8,"HashAggregate",71404,"peak memory",262144,29789844,67371008,71496105984,"size","525,456"
1,8,"HashAggregate",71406,"time in aggregation build",3,3,624,149911,"timing","525,456"
1,8,"HashAggregate",71407,"avg hash probes per key",10,10,10,10560,"average","525,456"
1,9,"HashAggregate",71409,"number of output rows",4,4,27,9363,"sum","525,456"
1,9,"HashAggregate",71410,"peak memory",262144,262144,262144,629145600,"size","525,456"
1,9,"HashAggregate",71412,"time in aggregation build",0,0,616,135258,"timing","525,456"
1,11,"SortMergeJoin",71415,"number of output rows",418,36068,154603,38180661,"sum","525,456"
1,11,"SortMergeJoin",71416,"spill size",0,0,0,0,"size","525,456"
1,12,"WholeStageCodegen (301)",71418,"duration",7,7,767,184995,"timing","525,456"
1,13,"Sort",71419,"sort time",0,0,109,8469,"timing","525,456"
1,13,"Sort",71420,"peak memory",65536,30096544,71303168,72232206336,"size","525,456"
1,13,"Sort",71421,"spill size",0,0,0,0,"size","525,456"
1,14,"Exchange",71278,"data size",6597624,45440625,46841184,2635557016,"size","387,525,456"
1,14,"Exchange",71279,"number of partitions",800,800,800,800,"sum","387,525,456"
1,14,"Exchange",71280,"remote blocks read",50,50,55,56916,"sum","387,525,456"
1,14,"Exchange",71281,"local blocks read",3,3,8,4302,"sum","387,525,456"
1,14,"Exchange",71282,"remote bytes read",41122,2823363,12839603,2981951387,"size","387,525,456"
1,14,"Exchange",71284,"local bytes read",1843,218271,1586969,230199493,"size","387,525,456"
1,14,"Exchange",71285,"fetch wait time",0,0,121,3335,"timing","387,525,456"
1,14,"Exchange",71286,"records read",418,36068,154603,38180661,"sum","387,525,456"
1,14,"Exchange",71295,"remote reqs duration",13,26,564,99800,"timing","387,525,456"
1,14,"Exchange",71297,"shuffle bytes written",2731375,18460624,19025886,1070716960,"size","387,525,456"
1,14,"Exchange",71298,"shuffle records written",31861,219416,226189,12726887,"sum","387,525,456"
1,14,"Exchange",71299,"shuffle write time",2894177,9996296,13894863,579785941,"nsTiming","387,525,456"
1,15,"WholeStageCodegen (300)",71300,"duration",1271,2952,5260,172103,"timing","387"
1,17,"SortMergeJoin",71301,"number of output rows",31861,219416,226189,12726887,"sum","387"
1,17,"SortMergeJoin",71302,"spill size",0,0,0,0,"size","387"
1,18,"WholeStageCodegen (298)",71304,"duration",1299,3024,5307,176169,"timing","387"
1,19,"Sort",71305,"sort time",28,168,274,10722,"timing","387"
1,19,"Sort",71306,"peak memory",68157440,75370913,75497472,4371513344,"size","387"
1,19,"Sort",71307,"spill size",0,0,0,0,"size","387"
1,20,"AQEShuffleRead",71308,"number of partitions",58,58,58,58,"sum",""
1,20,"AQEShuffleRead",71309,"partition data size",3075450,21465590,21789061,1226800912,"size",""
1,20,"AQEShuffleRead",71310,"number of coalesced partitions",58,58,58,58,"sum",""
1,21,"Exchange",70189,"data size",41561736,43685192,45288104,2533741920,"size","282,387"
1,21,"Exchange",70190,"number of partitions",800,800,800,800,"sum","282,387"
1,21,"Exchange",70191,"remote blocks read",110,712,784,41984,"sum","282,387"
1,21,"Exchange",70192,"local blocks read",6,63,322,4416,"sum","282,387"
1,21,"Exchange",70193,"remote bytes read",2779661,18237536,19996173,1057777927,"size","282,387"
1,21,"Exchange",70195,"local bytes read",147293,1924810,8274341,111639847,"size","282,387"
1,21,"Exchange",70196,"fetch wait time",0,661,3071,39079,"timing","282,387"
1,21,"Exchange",70197,"records read",31861,219416,226189,12726887,"sum","282,387"
1,21,"Exchange",70206,"remote reqs duration",212,1866,4840,109104,"timing","282,387"
1,21,"Exchange",70208,"shuffle bytes written",19196920,20162361,20907757,1169417774,"size","282,387"
1,21,"Exchange",70209,"shuffle records written",208712,219414,227557,12726887,"sum","282,387"
1,21,"Exchange",70210,"shuffle write time",12394412,14267242,18748989,827500752,"nsTiming","282,387"
1,22,"WholeStageCodegen (283)",70211,"duration",165,449,1126,26879,"timing","282"
1,24,"SortMergeJoin",70212,"number of output rows",208712,219414,227557,12726887,"sum","282"
1,24,"SortMergeJoin",70213,"spill size",0,0,0,0,"size","282"
1,25,"WholeStageCodegen (281)",70215,"duration",166,471,1157,28094,"timing","282"
1,26,"Sort",70216,"sort time",0,0,27,55,"timing","282"
1,26,"Sort",70217,"peak memory",68157440,68157440,68157440,3953131520,"size","282"
1,26,"Sort",70218,"spill size",0,0,0,0,"size","282"
1,27,"AQEShuffleRead",70219,"number of partitions",58,58,58,58,"sum",""
1,27,"AQEShuffleRead",70220,"partition data size",2080312,2155003,2229643,124846245,"size",""
1,27,"AQEShuffleRead",70221,"number of coalesced partitions",58,58,58,58,"sum",""
1,28,"Exchange",65913,"remote blocks read",520,653,798,38760,"sum","282"
1,28,"Exchange",65914,"local blocks read",39,109,238,6840,"sum","282"
1,28,"Exchange",65915,"remote bytes read",1400914,1744369,2077555,101174232,"size","282"
1,28,"Exchange",65917,"local bytes read",101980,324722,640940,17860611,"size","282"
1,28,"Exchange",65918,"fetch wait time",0,17,220,1666,"timing","282"
1,28,"Exchange",65919,"records read",20347,21055,21839,1222018,"sum","282"
1,28,"Exchange",65928,"remote reqs duration",51,309,1021,18763,"timing","282"
1,42,"Exchange",59101,"number of partitions",800,800,800,800,"sum",""
1,47,"Exchange",52430,"data size",2693624,2947914,4094528,165083976,"size","98"
1,47,"Exchange",52431,"number of partitions",800,800,800,800,"sum","98"
1,47,"Exchange",52449,"shuffle bytes written",1370386,1493282,2025839,83624578,"size","98"
1,47,"Exchange",52450,"shuffle records written",19955,21809,30316,1222040,"sum","98"
1,47,"Exchange",52451,"shuffle write time",3486934,3862330,4775031,216291337,"nsTiming","98"
1,48,"WholeStageCodegen (209)",52452,"duration",42,59,167,4168,"timing","98"
1,50,"SortMergeJoin",52453,"number of output rows",19955,21809,30316,1222040,"sum","98"
1,50,"SortMergeJoin",52454,"spill size",0,0,0,0,"size","98"
1,51,"WholeStageCodegen (207)",52456,"duration",43,65,182,4475,"timing","98"
1,52,"Sort",52457,"sort time",0,0,0,0,"timing","98"
1,52,"Sort",52458,"peak memory",68157440,68157440,68157440,3816816640,"size","98"
1,52,"Sort",52459,"spill size",0,0,0,0,"size","98"
1,53,"AQEShuffleRead",52460,"number of partitions",56,56,56,56,"sum",""
1,53,"AQEShuffleRead",52461,"partition data size",1052952,1124831,1543774,63692278,"size",""
1,53,"AQEShuffleRead",52462,"number of coalesced partitions",56,56,56,56,"sum",""
1,54,"Exchange",46450,"data size",1732208,2561402,3903112,135755016,"size","86,98"
1,54,"Exchange",46451,"number of partitions",800,800,800,800,"sum","86,98"
1,54,"Exchange",46452,"remote blocks read",10,61,530,4122,"sum","86,98"
1,54,"Exchange",46453,"local blocks read",255,423,612,21318,"sum","86,98"
1,54,"Exchange",46454,"remote bytes read",38519,168071,1095354,9412783,"size","86,98"
1,54,"Exchange",46456,"local bytes read",961651,1046587,1410014,51283400,"size","86,98"
1,54,"Exchange",46457,"fetch wait time",0,0,7,7,"timing","86,98"
1,54,"Exchange",46458,"records read",19955,21809,30316,1222040,"sum","86,98"
1,54,"Exchange",46467,"remote reqs duration",1,1,70,416,"timing","86,98"
1,54,"Exchange",46469,"shuffle bytes written",805764,1145199,1692408,60696183,"size","86,98"
1,54,"Exchange",46470,"shuffle records written",15599,23046,35131,1222040,"sum","86,98"
1,54,"Exchange",46471,"shuffle write time",2316971,2778101,3660842,147240075,"nsTiming","86,98"
1,55,"WholeStageCodegen (203)",46472,"duration",45,74,160,4759,"timing","86"
1,57,"SortMergeJoin",46473,"number of output rows",15599,23046,35131,1222040,"sum","86"
1,57,"SortMergeJoin",46474,"spill size",0,0,0,0,"size","86"
1,58,"WholeStageCodegen (201)",46476,"duration",47,82,193,5057,"timing","86"
1,59,"Sort",46477,"sort time",0,0,0,0,"timing","86"
1,59,"Sort",46478,"peak memory",67633152,68157429,69206016,3612344320,"size","86"
1,59,"Sort",46479,"spill size",0,0,0,0,"size","86"
1,60,"AQEShuffleRead",46480,"number of partitions",53,53,53,53,"sum",""
1,60,"AQEShuffleRead",46481,"partition data size",1045016,1271042,1723900,66779957,"size",""
1,60,"AQEShuffleRead",46482,"number of coalesced partitions",53,53,53,53,"sum",""
1,61,"Exchange",39658,"data size",2766552,2970016,4441232,145531336,"size","70,86"
1,61,"Exchange",39659,"number of partitions",800,800,800,800,"sum","70,86"
1,61,"Exchange",39660,"remote blocks read",240,703,1392,37861,"sum","70,86"
1,61,"Exchange",39661,"local blocks read",5,7,150,1041,"sum","70,86"
1,61,"Exchange",39662,"remote bytes read",978109,1171088,1611801,62068412,"size","70,86"
1,61,"Exchange",39664,"local bytes read",18450,30378,223055,1610728,"size","70,86"
1,61,"Exchange",39665,"fetch wait time",0,1,68,239,"timing","70,86"
1,61,"Exchange",39666,"records read",15599,23046,35131,1222040,"sum","70,86"
1,61,"Exchange",39675,"remote reqs duration",34,89,383,5416,"timing","70,86"
1,61,"Exchange",39677,"shuffle bytes written",1228701,1299563,1887162,63679140,"size","70,86"
1,61,"Exchange",39678,"shuffle records written",23231,24929,37356,1222040,"sum","70,86"
1,61,"Exchange",39679,"shuffle write time",3391939,3847064,5212312,188506600,"nsTiming","70,86"
1,62,"WholeStageCodegen (185)",39680,"duration",107,185,299,9664,"timing","70"
1,64,"SortMergeJoin",39681,"number of output rows",23231,24929,37356,1222040,"sum","70"
1,64,"SortMergeJoin",39682,"spill size",0,0,0,0,"size","70"
1,65,"WholeStageCodegen (183)",39684,"duration",112,213,364,11037,"timing","70"
1,66,"Sort",39685,"sort time",0,0,0,0,"timing","70"
1,66,"Sort",39686,"peak memory",68157440,68178839,69206016,3340763136,"size","70"
1,66,"Sort",39687,"spill size",0,0,0,0,"size","70"
1,67,"AQEShuffleRead",39688,"number of partitions",49,49,49,49,"sum",""
1,67,"AQEShuffleRead",39689,"partition data size",1019011,1066568,1614218,52656661,"size",""
1,67,"AQEShuffleRead",39690,"number of coalesced partitions",49,49,49,49,"sum",""
1,68,"Exchange",28328,"data size",1870320,1955251,2147360,97763200,"size","56,70"
1,68,"Exchange",28329,"number of partitions",800,800,800,800,"sum","56,70"
1,68,"Exchange",28330,"remote blocks read",630,737,1150,36808,"sum","56,70"
1,68,"Exchange",28331,"local blocks read",60,64,136,3192,"sum","56,70"
1,68,"Exchange",28332,"remote bytes read",824672,942810,1416623,46198288,"size","56,70"
1,68,"Exchange",28334,"local bytes read",75425,88777,166459,3995440,"size","56,70"
1,68,"Exchange",28335,"fetch wait time",0,0,33,96,"timing","56,70"
1,68,"Exchange",28336,"records read",23231,24929,37356,1222040,"sum","56,70"
1,68,"Exchange",28345,"remote reqs duration",64,203,455,10612,"timing","56,70"
1,68,"Exchange",28347,"shuffle bytes written",964705,1003862,1090204,50193728,"size","56,70"
1,68,"Exchange",28348,"shuffle records written",23379,24428,26842,1222040,"sum","56,70"
1,68,"Exchange",28349,"shuffle write time",3220762,3580991,5172971,179050026,"nsTiming","56,70"
1,69,"WholeStageCodegen (165)",28350,"duration",181,257,333,13364,"timing","56"
1,71,"SortMergeJoin",28351,"number of output rows",23379,24428,26842,1222040,"sum","56"
1,71,"SortMergeJoin",28352,"spill size",0,0,0,0,"size","56"
1,72,"WholeStageCodegen (163)",28354,"duration",199,288,395,14822,"timing","56"
1,73,"Sort",28355,"sort time",2,2,5,158,"timing","56"
1,73,"Sort",28356,"peak memory",71303168,71303168,71303168,3565158400,"size","56"
1,73,"Sort",28357,"spill size",0,0,0,0,"size","56"
1,74,"AQEShuffleRead",28358,"number of partitions",50,50,50,50,"sum",""
1,74,"AQEShuffleRead",28359,"partition data size",4960876,5031461,5150817,251916804,"size",""
1,74,"AQEShuffleRead",28360,"number of coalesced partitions",50,50,50,50,"sum",""
1,75,"Exchange",9213,"data size",7886120,13518279,14103144,500176688,"size","19,56"
1,75,"Exchange",9214,"number of partitions",800,800,800,800,"sum","19,56"
1,75,"Exchange",9215,"remote blocks read",464,520,592,26464,"sum","19,56"
1,75,"Exchange",9216,"local blocks read",32,61,128,3136,"sum","19,56"
1,75,"Exchange",9217,"remote bytes read",3696822,4295295,4836458,214765404,"size","19,56"
1,75,"Exchange",9219,"local bytes read",203946,550261,1076946,25312461,"size","19,56"
1,75,"Exchange",9220,"fetch wait time",0,0,6,7,"timing","19,56"
1,75,"Exchange",9221,"records read",111847,113664,116360,5683826,"sum","19,56"
1,75,"Exchange",9230,"remote reqs duration",84,238,658,12443,"timing","19,56"
1,75,"Exchange",9232,"shuffle bytes written",3915103,6488582,6746017,240077865,"size","19,56"
1,75,"Exchange",9233,"shuffle records written",89615,153606,160263,5683826,"sum","19,56"
1,75,"Exchange",9234,"shuffle write time",5554259,7624127,12250961,282093057,"nsTiming","19,56"
1,76,"WholeStageCodegen (75)",9235,"duration",276,676,891,25423,"timing","19"
1,78,"SortMergeJoin",9236,"number of output rows",89615,153606,160263,5683826,"sum","19"
1,78,"SortMergeJoin",9237,"spill size",0,0,0,0,"size","19"
1,80,"Sort",9240,"sort time",9,80,213,3288,"timing","19"
1,80,"Sort",9241,"peak memory",75497472,83659353,83886080,3095396352,"size","19"
1,80,"Sort",9242,"spill size",0,0,0,0,"size","19"
1,81,"AQEShuffleRead",9243,"number of partitions",37,37,37,37,"sum",""
1,81,"AQEShuffleRead",9244,"partition data size",6998566,11920886,12082425,435006856,"size",""
1,81,"AQEShuffleRead",9245,"number of coalesced partitions",37,37,37,37,"sum",""
1,82,"Exchange",5392,"data size",28488448,132034164,152756288,792204992,"size","0,19"
1,82,"Exchange",5393,"number of partitions",800,800,800,800,"sum","0,19"
1,82,"Exchange",5394,"remote blocks read",44,105,132,4272,"sum","0,19"
1,82,"Exchange",5395,"local blocks read",44,65,88,528,"sum","0,19"
1,82,"Exchange",5396,"remote bytes read",2583535,9981877,11525290,369329766,"size","0,19"
1,82,"Exchange",5398,"local bytes read",2561651,5680735,8818491,45445898,"size","0,19"
1,82,"Exchange",5399,"fetch wait time",0,0,20,45,"timing","0,19"
1,82,"Exchange",5400,"records read",198470,334538,344058,12378203,"sum","0,19"
1,82,"Exchange",5409,"remote reqs duration",38,541,5165,20354,"timing","0,19"
1,82,"Exchange",5411,"shuffle bytes written",15077581,69129277,79950110,414775664,"size","0,19"
1,82,"Exchange",5412,"shuffle records written",445132,2063033,2386817,12378203,"sum","0,19"
1,82,"Exchange",5413,"shuffle write time",15619563,39849077,46954200,239094468,"nsTiming","0,19"
1,83,"WholeStageCodegen (1)",5414,"duration",118,439,39773,783406,"timing","0"
1,85,"Filter",5415,"number of output rows",445132,2063033,2386817,12378203,"sum","0"
1,86,"ColumnarToRow",5416,"number of output rows",460000,2085083,2410100,12510500,"sum","0"
1,86,"ColumnarToRow",5417,"number of input batches",113,509,589,3058,"sum","0"
1,87,"Scan parquet spark_catalog.demo_pauldefusco.trs_v25",362,"number of output rows",460000,2085083,2410100,12510500,"sum","0"
1,87,"Scan parquet spark_catalog.demo_pauldefusco.trs_v25",363,"scan time",117,434,39629,769245,"timing","0"
1,87,"Scan parquet spark_catalog.demo_pauldefusco.trs_v25",364,"number of files read",2,2,2,2,"sum","0"
1,87,"Scan parquet spark_catalog.demo_pauldefusco.trs_v25",365,"metadata time",8,8,8,8,"timing","0"
1,87,"Scan parquet spark_catalog.demo_pauldefusco.trs_v25",366,"size of files read",139988262866,139988262866,139988262866,139988262866,"size","0"
1,88,"WholeStageCodegen (74)",9246,"duration",278,944,1774,35227,"timing","19"
1,89,"Sort",9247,"sort time",0,0,7,53,"timing","19"
1,89,"Sort",9248,"peak memory",68157440,69177669,69206016,2559574016,"size","19"
1,89,"Sort",9249,"spill size",0,0,0,0,"size","19"
1,90,"AQEShuffleRead",9250,"number of partitions",37,37,37,37,"sum",""
1,90,"AQEShuffleRead",9251,"partition data size",476073,801949,807333,29196036,"size",""
1,90,"AQEShuffleRead",9252,"number of coalesced partitions",37,37,37,37,"sum",""
1,91,"Exchange",5421,"data size",3193280,3194035,3195120,79851040,"size","1,19,21"
1,91,"Exchange",5422,"number of partitions",800,800,800,800,"sum","1,19,21"
1,91,"Exchange",5423,"remote blocks read",273,467,550,68430,"sum","1,19,21"
1,91,"Exchange",5424,"local blocks read",12,73,88,7532,"sum","1,19,21"
1,91,"Exchange",5425,"remote bytes read",381493,663972,770750,95202077,"size","1,19,21"
1,91,"Exchange",5427,"local bytes read",16264,108837,124833,10505637,"size","1,19,21"
1,91,"Exchange",5428,"fetch wait time",0,0,0,0,"timing","1,19,21"
1,91,"Exchange",5429,"records read",30024,53944,55313,7765165,"sum","1,19,21"
1,91,"Exchange",5438,"remote reqs duration",83,360,797,53713,"timing","1,19,21"
1,91,"Exchange",5440,"shuffle bytes written",1112074,1113300,1114356,27832668,"size","1,19,21"
1,91,"Exchange",5441,"shuffle records written",79832,79845,79878,1996276,"sum","1,19,21"
1,91,"Exchange",5442,"shuffle write time",4725409,6200112,8617530,155002927,"nsTiming","1,19,21"
1,92,"WholeStageCodegen (2)",5443,"duration",6528,6961,7433,174205,"timing","1"
1,93,"Filter",5444,"number of output rows",79832,79845,79878,1996276,"sum","1"
1,94,"ColumnarToRow",5445,"number of output rows",80000,80000,80000,2000000,"sum","1"
1,94,"ColumnarToRow",5446,"number of input batches",32,32,32,800,"sum","1"
1,95,"Scan parquet spark_catalog.demo_pauldefusco.customers_skewed",393,"number of output rows",80000,80000,80000,2000000,"sum","1"
1,95,"Scan parquet spark_catalog.demo_pauldefusco.customers_skewed",394,"scan time",6446,6855,7306,171522,"timing","1"
1,95,"Scan parquet spark_catalog.demo_pauldefusco.customers_skewed",395,"number of files read",800,800,800,800,"sum","1"
1,95,"Scan parquet spark_catalog.demo_pauldefusco.customers_skewed",396,"metadata time",2,2,2,2,"timing","1"
1,95,"Scan parquet spark_catalog.demo_pauldefusco.customers_skewed",397,"size of files read",42431919,42431919,42431919,42431919,"size","1"
1,97,"Sort",28362,"sort time",1,1,3,61,"timing","56"
1,97,"Sort",28363,"peak memory",69206016,69206016,69206016,3460300800,"size","56"
1,97,"Sort",28364,"spill size",0,0,0,0,"size","56"
1,98,"AQEShuffleRead",28365,"number of partitions",50,50,50,50,"sum",""
1,98,"AQEShuffleRead",28366,"partition data size",426641,429925,432752,21495044,"size",""
1,98,"AQEShuffleRead",28367,"number of coalesced partitions",50,50,50,50,"sum",""
1,99,"Exchange",5450,"data size",1919680,1919993,1920368,48000000,"size","2,32,56,29"
1,99,"Exchange",5451,"number of partitions",800,800,800,800,"sum","2,32,56,29"
1,99,"Exchange",5452,"remote blocks read",210,368,450,106078,"sum","2,32,56,29"
1,99,"Exchange",5453,"local blocks read",20,51,72,13922,"sum","2,32,56,29"
1,99,"Exchange",5454,"remote bytes read",214328,389844,462413,108733334,"size","2,32,56,29"
1,99,"Exchange",5456,"local bytes read",19997,61708,74785,14250946,"size","2,32,56,29"
1,99,"Exchange",5457,"fetch wait time",0,0,0,0,"timing","2,32,56,29"
1,99,"Exchange",5458,"records read",37313,64274,67953,18000000,"sum","2,32,56,29"
1,99,"Exchange",5467,"remote reqs duration",30,237,481,72508,"timing","2,32,56,29"
1,99,"Exchange",5469,"shuffle bytes written",817907,819891,822545,20497380,"size","2,32,56,29"
1,99,"Exchange",5470,"shuffle records written",119980,119993,120023,3000000,"sum","2,32,56,29"
1,99,"Exchange",5471,"shuffle write time",3837592,5053439,6516017,126336134,"nsTiming","2,32,56,29"
1,100,"WholeStageCodegen (3)",5472,"duration",5579,12620,48546,315629,"timing","2"
1,101,"Filter",5473,"number of output rows",119980,119993,120023,3000000,"sum","2"
1,102,"ColumnarToRow",5474,"number of output rows",119980,119993,120023,3000000,"sum","2"
1,102,"ColumnarToRow",5475,"number of input batches",32,32,32,800,"sum","2"
1,103,"Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed",424,"number of output rows",119980,119993,120023,3000000,"sum","2"
1,103,"Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed",425,"scan time",5540,12535,48322,313536,"timing","2"
1,103,"Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed",426,"number of files read",800,800,800,800,"sum","2"
1,103,"Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed",427,"metadata time",2,2,2,2,"timing","2"
1,103,"Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed",428,"size of files read",83622504,83622504,83622504,83622504,"size","2"
1,104,"WholeStageCodegen (184)",39691,"duration",108,196,326,5663,"timing","70"
1,105,"Sort",39692,"sort time",0,0,0,0,"timing","70"
1,105,"Sort",39693,"peak memory",67633152,67633152,67633152,3314024448,"size","70"
1,105,"Sort",39694,"spill size",0,0,0,0,"size","70"
1,106,"AQEShuffleRead",39695,"number of partitions",49,49,49,49,"sum",""
1,106,"AQEShuffleRead",39696,"partition data size",234449,256305,396968,12738592,"size",""
1,106,"AQEShuffleRead",39697,"number of coalesced partitions",49,49,49,49,"sum",""
1,107,"Exchange",5479,"data size",1099176,1101488,1102864,27537360,"size","3,47,70,37"
1,107,"Exchange",5480,"number of partitions",800,800,800,800,"sum","3,47,70,37"
