sqlID,nodeID,SQL Node,Child Node,Child NodeID
1,3,"WholeStageCodegen (304)","Sort",4
1,7,"WholeStageCodegen (303)","HashAggregate",8
1,7,"WholeStageCodegen (303)","HashAggregate",9
1,7,"WholeStageCodegen (303)","Project",10
1,7,"WholeStageCodegen (303)","SortMergeJoin",11
1,12,"WholeStageCodegen (301)","Sort",13
1,15,"WholeStageCodegen (300)","Project",16
1,15,"WholeStageCodegen (300)","SortMergeJoin",17
1,18,"WholeStageCodegen (298)","Sort",19
1,22,"WholeStageCodegen (283)","Project",23
1,22,"WholeStageCodegen (283)","SortMergeJoin",24
1,25,"WholeStageCodegen (281)","Sort",26
1,29,"WholeStageCodegen (228)","Project",30
1,29,"WholeStageCodegen (228)","SortMergeJoin",31
1,32,"WholeStageCodegen (226)","Sort",33
1,36,"WholeStageCodegen (222)","Project",37
1,36,"WholeStageCodegen (222)","SortMergeJoin",38
1,39,"WholeStageCodegen (220)","Sort",40
1,43,"WholeStageCodegen (214)","HashAggregate",44
1,43,"WholeStageCodegen (214)","HashAggregate",45
1,43,"WholeStageCodegen (214)","Sort",46
1,48,"WholeStageCodegen (209)","Project",49
1,48,"WholeStageCodegen (209)","SortMergeJoin",50
1,51,"WholeStageCodegen (207)","Sort",52
1,55,"WholeStageCodegen (203)","Project",56
1,55,"WholeStageCodegen (203)","SortMergeJoin",57
1,58,"WholeStageCodegen (201)","Sort",59
1,62,"WholeStageCodegen (185)","Project",63
1,62,"WholeStageCodegen (185)","SortMergeJoin",64
1,65,"WholeStageCodegen (183)","Sort",66
1,69,"WholeStageCodegen (165)","Project",70
1,69,"WholeStageCodegen (165)","SortMergeJoin",71
1,72,"WholeStageCodegen (163)","Sort",73
1,76,"WholeStageCodegen (75)","Project",77
1,76,"WholeStageCodegen (75)","SortMergeJoin",78
1,79,"WholeStageCodegen (73)","Sort",80
1,83,"WholeStageCodegen (1)","Project",84
1,83,"WholeStageCodegen (1)","Filter",85
1,83,"WholeStageCodegen (1)","ColumnarToRow",86
1,88,"WholeStageCodegen (74)","Sort",89
1,92,"WholeStageCodegen (2)","Filter",93
1,92,"WholeStageCodegen (2)","ColumnarToRow",94
1,96,"WholeStageCodegen (164)","Sort",97
1,100,"WholeStageCodegen (3)","Filter",101
1,100,"WholeStageCodegen (3)","ColumnarToRow",102
1,104,"WholeStageCodegen (184)","Sort",105
1,108,"WholeStageCodegen (4)","Filter",109
1,108,"WholeStageCodegen (4)","ColumnarToRow",110
1,112,"WholeStageCodegen (202)","Sort",113
1,116,"WholeStageCodegen (5)","Filter",117
1,116,"WholeStageCodegen (5)","ColumnarToRow",118
1,120,"WholeStageCodegen (208)","Sort",121
1,124,"WholeStageCodegen (6)","Filter",125
1,124,"WholeStageCodegen (6)","ColumnarToRow",126
1,128,"WholeStageCodegen (221)","Sort",129
1,132,"WholeStageCodegen (212)","HashAggregate",133
1,132,"WholeStageCodegen (212)","HashAggregate",134
1,132,"WholeStageCodegen (212)","Sort",135
1,137,"WholeStageCodegen (204)","HashAggregate",138
1,137,"WholeStageCodegen (204)","HashAggregate",139
1,137,"WholeStageCodegen (204)","Sort",140
1,142,"WholeStageCodegen (188)","Project",143
1,142,"WholeStageCodegen (188)","Project",144
1,142,"WholeStageCodegen (188)","Project",145
1,142,"WholeStageCodegen (188)","SortMergeJoin",146
1,147,"WholeStageCodegen (186)","Sort",148
1,151,"WholeStageCodegen (169)","Project",152
1,151,"WholeStageCodegen (169)","SortMergeJoin",153
1,154,"WholeStageCodegen (167)","Sort",155
1,158,"WholeStageCodegen (150)","Project",159
1,158,"WholeStageCodegen (150)","SortMergeJoin",160
1,161,"WholeStageCodegen (148)","Sort",162
1,165,"WholeStageCodegen (111)","Project",166
1,165,"WholeStageCodegen (111)","SortMergeJoin",167
1,168,"WholeStageCodegen (109)","Sort",169
1,172,"WholeStageCodegen (78)","Project",173
1,172,"WholeStageCodegen (78)","SortMergeJoin",174
1,175,"WholeStageCodegen (76)","Sort",176
1,179,"WholeStageCodegen (7)","Project",180
1,179,"WholeStageCodegen (7)","Filter",181
1,179,"WholeStageCodegen (7)","ColumnarToRow",182
1,184,"WholeStageCodegen (77)","Sort",185
1,187,"WholeStageCodegen (110)","Sort",188
1,190,"WholeStageCodegen (149)","Sort",191
1,194,"WholeStageCodegen (10)","Filter",195
1,194,"WholeStageCodegen (10)","ColumnarToRow",196
1,198,"WholeStageCodegen (168)","Sort",199
1,201,"WholeStageCodegen (187)","Sort",202
1,204,"WholeStageCodegen (227)","Sort",205
1,208,"WholeStageCodegen (216)","HashAggregate",209
1,208,"WholeStageCodegen (216)","HashAggregate",210
1,208,"WholeStageCodegen (216)","Sort",211
1,213,"WholeStageCodegen (206)","HashAggregate",214
1,213,"WholeStageCodegen (206)","HashAggregate",215
1,213,"WholeStageCodegen (206)","Sort",216
1,218,"WholeStageCodegen (197)","Project",219
1,218,"WholeStageCodegen (197)","Project",220
1,218,"WholeStageCodegen (197)","Project",221
1,218,"WholeStageCodegen (197)","SortMergeJoin",222
1,223,"WholeStageCodegen (195)","Sort",224
1,227,"WholeStageCodegen (179)","Project",228
1,227,"WholeStageCodegen (179)","SortMergeJoin",229
1,230,"WholeStageCodegen (177)","Sort",231
1,234,"WholeStageCodegen (132)","Project",235
1,234,"WholeStageCodegen (132)","SortMergeJoin",236
1,237,"WholeStageCodegen (130)","Sort",238
1,241,"WholeStageCodegen (120)","Project",242
1,241,"WholeStageCodegen (120)","SortMergeJoin",243
1,244,"WholeStageCodegen (118)","Sort",245
1,248,"WholeStageCodegen (81)","Project",249
1,248,"WholeStageCodegen (81)","SortMergeJoin",250
1,251,"WholeStageCodegen (79)","Sort",252
1,254,"WholeStageCodegen (80)","Sort",255
1,258,"WholeStageCodegen (14)","Filter",259
1,258,"WholeStageCodegen (14)","ColumnarToRow",260
1,262,"WholeStageCodegen (119)","Sort",263
1,265,"WholeStageCodegen (131)","Sort",266
1,268,"WholeStageCodegen (178)","Sort",269
1,271,"WholeStageCodegen (196)","Sort",272
1,274,"WholeStageCodegen (282)","Sort",275
1,278,"WholeStageCodegen (277)","HashAggregate",279
1,282,"WholeStageCodegen (267)","HashAggregate",283
1,282,"WholeStageCodegen (267)","Project",284
1,282,"WholeStageCodegen (267)","SortMergeJoin",285
1,286,"WholeStageCodegen (265)","Sort",287
1,290,"WholeStageCodegen (255)","Project",291
1,290,"WholeStageCodegen (255)","SortMergeJoin",292
1,293,"WholeStageCodegen (253)","Sort",294
1,297,"WholeStageCodegen (243)","Project",298
1,297,"WholeStageCodegen (243)","SortMergeJoin",299
1,300,"WholeStageCodegen (241)","Sort",301
1,304,"WholeStageCodegen (231)","Project",305
1,304,"WholeStageCodegen (231)","SortMergeJoin",306
1,307,"WholeStageCodegen (229)","Sort",308
1,311,"WholeStageCodegen (99)","Project",312
1,311,"WholeStageCodegen (99)","SortMergeJoin",313
1,314,"WholeStageCodegen (97)","Sort",315
1,318,"WholeStageCodegen (19)","Project",319
1,318,"WholeStageCodegen (19)","Filter",320
1,318,"WholeStageCodegen (19)","ColumnarToRow",321
1,328,"WholeStageCodegen (1)","Project",329
1,328,"WholeStageCodegen (1)","Filter",330
1,328,"WholeStageCodegen (1)","ColumnarToRow",331
1,333,"WholeStageCodegen (98)","Sort",334
1,337,"WholeStageCodegen (20)","Project",338
1,337,"WholeStageCodegen (20)","Filter",339
1,337,"WholeStageCodegen (20)","ColumnarToRow",340
1,342,"WholeStageCodegen (230)","Sort",343
1,346,"WholeStageCodegen (21)","Filter",347
1,346,"WholeStageCodegen (21)","ColumnarToRow",348
1,350,"WholeStageCodegen (242)","Sort",351
1,354,"WholeStageCodegen (22)","Filter",355
1,354,"WholeStageCodegen (22)","ColumnarToRow",356
1,358,"WholeStageCodegen (254)","Sort",359
1,361,"WholeStageCodegen (266)","Sort",362
1,365,"WholeStageCodegen (24)","Filter",366
1,365,"WholeStageCodegen (24)","ColumnarToRow",367
1,369,"WholeStageCodegen (299)","Sort",370
1,373,"WholeStageCodegen (294)","HashAggregate",374
1,373,"WholeStageCodegen (294)","HashAggregate",375
1,373,"WholeStageCodegen (294)","Sort",376
1,378,"WholeStageCodegen (286)","Project",379
1,378,"WholeStageCodegen (286)","SortMergeJoin",380
1,381,"WholeStageCodegen (284)","Sort",382
1,385,"WholeStageCodegen (166)","HashAggregate",386
1,385,"WholeStageCodegen (166)","HashAggregate",387
1,385,"WholeStageCodegen (166)","Sort",388
1,390,"WholeStageCodegen (159)","Project",391
1,390,"WholeStageCodegen (159)","Project",392
1,390,"WholeStageCodegen (159)","Project",393
1,390,"WholeStageCodegen (159)","SortMergeJoin",394
1,395,"WholeStageCodegen (157)","Sort",396
1,399,"WholeStageCodegen (144)","Project",400
1,399,"WholeStageCodegen (144)","SortMergeJoin",401
1,402,"WholeStageCodegen (142)","Sort",403
1,406,"WholeStageCodegen (135)","Project",407
1,406,"WholeStageCodegen (135)","SortMergeJoin",408
1,409,"WholeStageCodegen (133)","Sort",410
1,412,"WholeStageCodegen (134)","Sort",413
1,415,"WholeStageCodegen (143)","Sort",416
1,418,"WholeStageCodegen (158)","Sort",419
1,421,"WholeStageCodegen (285)","Sort",422
1,424,"WholeStageCodegen (302)","Sort",425
1,424,"WholeStageCodegen (302)","HashAggregate",426
1,424,"WholeStageCodegen (302)","HashAggregate",427
1,424,"WholeStageCodegen (302)","Sort",428
1,430,"WholeStageCodegen (297)","Project",431
1,430,"WholeStageCodegen (297)","SortMergeJoin",432
1,433,"WholeStageCodegen (295)","Sort",434
1,437,"WholeStageCodegen (289)","Project",438
1,437,"WholeStageCodegen (289)","SortMergeJoin",439
1,440,"WholeStageCodegen (287)","Sort",441
1,444,"WholeStageCodegen (225)","Project",445
1,444,"WholeStageCodegen (225)","SortMergeJoin",446
1,447,"WholeStageCodegen (223)","Sort",448
1,451,"WholeStageCodegen (219)","Project",452
1,451,"WholeStageCodegen (219)","SortMergeJoin",453
1,454,"WholeStageCodegen (217)","Sort",455
1,458,"WholeStageCodegen (210)","HashAggregate",459
1,458,"WholeStageCodegen (210)","HashAggregate",460
1,458,"WholeStageCodegen (210)","Sort",461
1,463,"WholeStageCodegen (194)","Project",464
1,463,"WholeStageCodegen (194)","SortMergeJoin",465
1,466,"WholeStageCodegen (192)","Sort",467
1,470,"WholeStageCodegen (176)","Project",471
1,470,"WholeStageCodegen (176)","SortMergeJoin",472
1,473,"WholeStageCodegen (174)","Sort",474
1,477,"WholeStageCodegen (153)","Project",478
1,477,"WholeStageCodegen (153)","SortMergeJoin",479
1,480,"WholeStageCodegen (151)","Sort",481
1,483,"WholeStageCodegen (152)","Sort",484
1,486,"WholeStageCodegen (175)","Sort",487
1,489,"WholeStageCodegen (193)","Sort",490
1,492,"WholeStageCodegen (218)","Sort",493
1,496,"WholeStageCodegen (213)","HashAggregate",497
1,496,"WholeStageCodegen (213)","HashAggregate",498
1,496,"WholeStageCodegen (213)","Sort",499
1,501,"WholeStageCodegen (205)","HashAggregate",502
1,501,"WholeStageCodegen (205)","HashAggregate",503
1,501,"WholeStageCodegen (205)","Sort",504
1,506,"WholeStageCodegen (191)","Project",507
1,506,"WholeStageCodegen (191)","Project",508
1,506,"WholeStageCodegen (191)","Project",509
1,506,"WholeStageCodegen (191)","SortMergeJoin",510
1,511,"WholeStageCodegen (189)","Sort",512
1,514,"WholeStageCodegen (190)","Sort",515
1,517,"WholeStageCodegen (224)","Sort",518
1,521,"WholeStageCodegen (215)","HashAggregate",522
1,521,"WholeStageCodegen (215)","HashAggregate",523
1,521,"WholeStageCodegen (215)","Sort",524
1,526,"WholeStageCodegen (211)","HashAggregate",527
1,526,"WholeStageCodegen (211)","HashAggregate",528
1,526,"WholeStageCodegen (211)","Sort",529
1,531,"WholeStageCodegen (200)","Project",532
1,531,"WholeStageCodegen (200)","Project",533
1,531,"WholeStageCodegen (200)","Project",534
1,531,"WholeStageCodegen (200)","SortMergeJoin",535
1,536,"WholeStageCodegen (198)","Sort",537
1,539,"WholeStageCodegen (199)","Sort",540
1,542,"WholeStageCodegen (288)","Sort",543
1,545,"WholeStageCodegen (296)","Sort",546
1,549,"WholeStageCodegen (293)","HashAggregate",550
1,549,"WholeStageCodegen (293)","HashAggregate",551
1,549,"WholeStageCodegen (293)","Sort",552
1,554,"WholeStageCodegen (292)","Project",555
1,554,"WholeStageCodegen (292)","SortMergeJoin",556
1,557,"WholeStageCodegen (290)","Sort",558
1,561,"WholeStageCodegen (173)","HashAggregate",562
1,561,"WholeStageCodegen (173)","HashAggregate",563
1,561,"WholeStageCodegen (173)","Sort",564
1,566,"WholeStageCodegen (162)","Project",567
1,566,"WholeStageCodegen (162)","Project",568
1,566,"WholeStageCodegen (162)","Project",569
1,566,"WholeStageCodegen (162)","SortMergeJoin",570
1,571,"WholeStageCodegen (160)","Sort",572
1,574,"WholeStageCodegen (161)","Sort",575
1,577,"WholeStageCodegen (291)","Sort",578
2,1,"WholeStageCodegen (304)","HashAggregate",2
2,4,"WholeStageCodegen (303)","HashAggregate",5
2,4,"WholeStageCodegen (303)","HashAggregate",6
2,4,"WholeStageCodegen (303)","HashAggregate",7
2,4,"WholeStageCodegen (303)","Project",8
2,4,"WholeStageCodegen (303)","SortMergeJoin",9
2,10,"WholeStageCodegen (301)","Sort",11
2,13,"WholeStageCodegen (297)","Project",14
2,13,"WholeStageCodegen (297)","SortMergeJoin",15
2,16,"WholeStageCodegen (295)","Sort",17
2,20,"WholeStageCodegen (283)","Project",21
2,20,"WholeStageCodegen (283)","SortMergeJoin",22
2,23,"WholeStageCodegen (281)","Sort",24
2,27,"WholeStageCodegen (213)","Project",28
2,27,"WholeStageCodegen (213)","SortMergeJoin",29
2,30,"WholeStageCodegen (211)","Sort",31
2,34,"WholeStageCodegen (207)","Project",35
2,34,"WholeStageCodegen (207)","SortMergeJoin",36
2,37,"WholeStageCodegen (205)","Sort",38
2,41,"WholeStageCodegen (193)","HashAggregate",42
2,41,"WholeStageCodegen (193)","HashAggregate",43
2,41,"WholeStageCodegen (193)","Sort",44
2,46,"WholeStageCodegen (171)","Project",47
2,46,"WholeStageCodegen (171)","SortMergeJoin",48
2,49,"WholeStageCodegen (169)","Sort",50
2,53,"WholeStageCodegen (147)","Project",54
2,53,"WholeStageCodegen (147)","SortMergeJoin",55
2,56,"WholeStageCodegen (145)","Sort",57
2,60,"WholeStageCodegen (123)","Project",61
2,60,"WholeStageCodegen (123)","SortMergeJoin",62
