SQL ID,Exec Name,Expression Name,Exec Duration,SQL Node Id,Exec Is Supported,Exec Stages,Exec Children,Exec Children Node Ids,Exec Should Remove,Exec Should Ignore,Action
0,"Execute CreateDataSourceTableAsSelectCommand","",0,0,false,"","","",false,true,"IgnorePerf"
1,"AdaptiveSparkPlan","",0,0,false,"819","","",true,false,"IgnoreNoPerf"
1,"Execute InsertIntoHadoopFsRelationCommand parquet","Format: parquet",0,1,true,"819","","",false,false,"NONE"
1,"WriteFiles","",0,2,true,"819","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (383)",81504,3,true,"819","Sort","4",false,false,"NONE"
1,"Sort","",0,4,true,"819","","",false,false,"NONE"
1,"AQEShuffleRead","",0,5,true,"819","","",false,false,"NONE"
1,"Exchange","",279,6,true,"726","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (382)",66719,7,true,"726:634","Project:SortMergeJoin","8:9",false,false,"NONE"
1,"Project","",0,8,true,"726:634","","",false,false,"NONE"
1,"SortMergeJoin","",0,9,true,"726:634","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (380)",80722,10,true,"726:634","Sort","11",false,false,"NONE"
1,"Sort","",0,11,true,"726:634","","",false,false,"NONE"
1,"AQEShuffleRead","",0,12,true,"726:634","","",false,false,"NONE"
1,"Exchange","",653,13,true,"542","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (379)",300524,14,true,"542","HashAggregate","15",false,false,"NONE"
1,"HashAggregate","",264453,15,true,"542","","",false,false,"NONE"
1,"Exchange","",7753,16,true,"475","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (378)",2068408,17,true,"475","HashAggregate:Project:SortMergeJoin","18:19:20",false,false,"NONE"
1,"HashAggregate","",1825202,18,true,"475","","",false,false,"NONE"
1,"Project","",0,19,true,"475","","",false,false,"NONE"
1,"SortMergeJoin","",0,20,true,"475","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (376)",2138427,21,true,"475","Sort","22",false,false,"NONE"
1,"Sort","",0,22,true,"475","","",false,false,"NONE"
1,"Exchange","",84638,23,true,"409","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (375)",1737702,24,true,"409","Project:SortMergeJoin","25:26",false,false,"NONE"
1,"Project","",0,25,true,"409","","",false,false,"NONE"
