jobId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
27,938,407915,0,40166838,110205,2684,42821.8,2646652,4554,6469,40155170,141989739,334162000,99589,0,0,0,637665280,0,7997,37014893,15849,1538471717,832951,79285570508,0,80824042225,44733593875,1484179784,26828
29,1416,405155,0,71676290,147916,2077,50618.8,2292404,3867,15800,5882280,37404573,86923600,84950,0,0,0,570556416,71,8039,3376180,4800,331733229,871586,60472734243,0,60804467472,26281959563,1273488587,19490
28,964,395863,0,22918420,177337,10,23774.3,2202667,4439,223948,19402552,37419053,86923600,74025,0,0,0,570556416,0,7997,16973196,6850,468771122,897122,62237348701,0,62706119823,24468901901,1310488974,16828
26,940,381296,0,53488394,137929,2684,56902.5,2732249,6062,240872,53240954,142420715,334322000,134651,0,0,0,637665280,0,7997,49918869,6266,601520941,842534,80219222627,0,80820743568,43726061464,1484339784,26104
30,1040,344339,0,8048439,129216,11,7738.9,1715885,4418,133448,2187688,142438763,334361991,58662,0,0,0,637665280,33,11679,45129,3062,190494846,701264,41709969360,0,41900464206,22928686416,641225194,16262
25,849,313143,0,12589784,85660,2811,14829.0,2798752,59084,231795,12344338,48893089,113434700,158596,0,0,0,637665280,86,8040,8173418,6514,641113142,842286,83183636579,0,83824749721,39240982749,1263452484,25512
31,1015,310199,0,2389140,10719,11,2353.8,1756633,4452,5185,2376044,142652875,334441991,49859,0,0,0,704774144,1,11678,195648,3545,221637488,726481,43580494945,0,43802132433,22651388546,676627109,16318
17,25,289257,0,488879,49018,5709,19555.2,32956,3245,15285,472877,5501807,500000,2518,0,0,0,67633152,16,2983,0,0,0,0,0,0,0,8037970,500000,127
14,1044,282369,0,4235155,49563,146,4056.7,2255043,13993,70902,4157068,1072059065,2500000000,38668,0,0,0,335544320,26,2984,0,0,0,0,0,0,0,58888670214,2500000000,40734
32,999,277433,0,2116402,10904,13,2118.5,1584623,4389,5672,2102748,142669659,334442017,46764,0,0,0,570556416,13,11678,85192,2797,153571843,708131,39147928804,0,39301500647,19304692030,650614701,14280
33,900,255726,0,1563487,9963,12,1737.2,1315863,3451,4990,1553640,49110769,113554717,18894,0,0,0,704774144,0,11637,160032,2903,180934079,698476,42962075193,0,43143009272,14548873531,417507195,11658
19,25,249400,0,159729,8513,5641,6389.2,16507,104,240,159262,5558096,2000000,772,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,23202884,2000000,162
16,25,247901,0,159282,8059,5715,6371.3,17006,124,289,158825,5386972,2000000,429,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,19904227,2000000,152
24,849,246929,0,13739996,36085,2811,16183.7,2760313,101326,361021,13360775,48893089,113434700,160874,0,0,0,637665280,165,8040,7804527,7370,726025960,841430,83098723761,0,83824749721,36218088814,1263452484,23763
6,1044,245929,0,4212848,48730,149,4035.3,2575601,13677,29995,4175311,1076033199,2500000000,48638,0,0,0,402653184,20,2984,0,0,0,0,0,0,0,83812106870,2500000000,48801
18,1,241045,0,284,284,284,284.0,93,4,7,272,7680,731,0,0,0,0,67141632,0,2897,0,0,0,0,0,0,0,45136,731,1
35,883,240517,0,1248320,10904,12,1413.7,1139705,3514,4034,1239161,49127553,113554691,13267,0,0,0,637665280,41,11680,25232,2747,139645457,680595,34622623830,0,34762269287,10952344833,392733008,9717
15,1,240014,0,340,340,340,340.0,117,4,7,328,7714,731,38,0,0,0,67141632,0,2940,0,0,0,0,0,0,0,44970,731,2
34,887,234587,0,1467606,10904,13,1654.6,1121620,5425,7657,1454156,49127553,113554717,25352,0,0,0,637665280,5,11680,224034,2886,142993005,680456,34616257670,0,34759250675,10190997154,392733034,9527
22,940,226162,0,17777509,57486,2684,18912.2,2737276,4456,208797,17564037,142435195,334322000,116490,0,0,0,637665280,0,7996,14329817,13452,1285890847,835348,79527591345,0,80813482192,45228609951,1484339784,27434
23,849,223912,0,13324393,39760,2811,15694.2,2663234,6813,75520,13243956,48876305,113434700,112669,0,0,0,704774144,5,8040,10318831,10291,1014391335,838509,82827363835,0,83841755170,42808590133,1263452484,26983
13,25,215472,0,147226,6352,5607,5889.0,13983,89,182,146919,5532207,500000,408,0,0,0,67633152,0,2941,0,0,0,0,0,0,0,7932249,500000,90
12,25,214649,0,148731,6277,5569,5949.2,15968,116,266,148312,5568496,2000000,219,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,12642851,2000000,98
9,25,211202,0,149549,6331,5431,5982.0,14133,113,247,149159,5557007,500000,93,0,0,0,67633152,0,2941,0,0,0,0,0,0,0,4423585,500000,80
8,25,210511,0,146553,6480,5571,5862.1,15351,113,225,146170,5861590,3000000,194,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,20497380,3000000,100
10,2,209919,0,9649,4934,4715,4824.5,1456,15,30,9607,381702,5000,0,0,0,0,67174400,0,2898,0,0,0,0,0,0,0,147387,5000,6
7,25,209776,0,153745,6391,5777,6149.8,14746,112,269,153353,5358172,2000000,257,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,29648300,2000000,107
11,1,205284,0,314,314,314,314.0,131,6,14,293,7749,731,0,0,0,0,67141632,0,2898,0,0,0,0,0,0,0,37994,731,2
20,938,196831,0,19990713,89801,2684,21312.1,3310990,94839,640495,19332369,141989739,334162000,212865,0,0,0,704774144,119,8039,12213536,21348,2040346468,827452,78797216370,0,80837562838,48475855702,1484179784,31333
21,940,192655,0,17990721,52508,2684,19139.1,2904676,5673,307574,17678157,142418411,334322000,153830,0,0,0,704774144,1,8037,14249826,18661,1785311808,830139,79045175833,0,80830487641,47910148272,1484339784,29708
36,883,180941,0,1267985,10904,15,1436.0,1158658,3421,3978,1259139,49127553,113554717,12980,0,0,0,637665280,0,11637,15965,3563,197616095,674474,37067203961,0,37264820056,11283600907,385793718,9939
3,25,167224,0,178850,7401,6683,7154.0,20113,125,302,178410,7500963,500000,648,0,0,0,67633152,0,2941,0,0,0,0,0,0,0,12149531,500000,92
4,2,166509,0,10750,5382,5368,5375.0,1846,16,28,10695,379320,5000,119,0,0,0,67174400,0,2940,0,0,0,0,0,0,0,243848,5000,6
2,25,165422,0,158611,6713,5949,6344.4,19712,134,269,158205,5861590,3000000,272,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,23515992,3000000,106
1,25,164628,0,161138,6955,5970,6445.5,20487,153,346,160648,5368572,2000000,248,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,36723497,2000000,108
0,1044,161944,0,5444355,35553,145,5214.9,2560598,32622,109951,5323096,1074108889,2500000000,71454,0,0,0,335544320,71,2984,0,0,0,0,0,0,0,80800839341,2500000000,44798
5,1,161516,0,356,356,356,356.0,144,7,14,335,7714,731,0,0,0,0,67141632,0,2897,0,0,0,0,0,0,0,47807,731,2
37,967,129654,0,1940427,12763,17,2006.6,1468780,4034,4593,1930833,142655179,334442017,36806,0,0,0,637665280,0,11637,50007,3443,172873988,668228,33907956580,0,34080830568,16877283077,598185906,12994
38,1035,107715,0,2536869,12690,10,2451.1,1686547,4245,24155,2507617,142224203,334282017,39216,0,0,0,570556416,0,11637,412302,5409,316068031,747959,42512299742,0,42828367773,20716500624,707505562,15286
40,839,83114,0,1170713,10969,882,1395.4,1014802,3326,3705,1162707,37639037,87043617,15370,0,0,0,344064000,0,11637,290,11402,414851769,648598,23094638022,0,23509489791,5965469292,334207400,6974
41,939,76955,0,1486924,9813,379,1583.5,1075384,4599,4941,1477531,142824518,334321996,34278,0,0,0,385941504,0,15277,59,13787,217496720,646213,9963721341,0,10181218061,22157991026,581485779,15474
39,839,74527,0,1592515,10904,805,1898.1,928418,3274,3555,1585092,37653517,87043617,15284,0,0,0,344064000,0,11637,509611,4561,147985018,655439,20948183927,0,21096168945,5192059877,334207400,6485
42,941,74007,0,1467877,9813,362,1559.9,1046010,4664,5007,1457872,143253190,334481996,33225,0,0,0,335544320,0,15277,215,13745,187647403,646255,8607363063,0,8795010466,20850796819,581645779,14934
45,872,62275,0,1564000,10904,392,1793.6,818282,8278,28977,1526758,49727868,113594722,15740,0,0,0,637665280,104,15319,352663,5221,45625415,678121,7775274782,0,7820900197,10353057451,392773039,11440
46,871,58737,0,1549209,11445,484,1778.7,785768,5678,35610,1507394,49349088,113574699,16081,0,0,0,637665280,5,15277,612499,4165,41531383,679177,8536377856,0,8577909239,10448811739,392753016,10322
43,939,54741,0,1292880,10904,267,1376.9,880249,5135,5744,1282544,142669659,334442017,33121,0,0,0,335544320,0,15277,13,13689,137001442,646311,6304018888,0,6441020330,15642546208,581605800,11840
44,848,50968,0,671489,6629,323,791.9,604888,3881,3937,661780,49110769,113554717,6122,0,0,0,268435456,0,15277,66,13713,188630998,646287,8637972942,0,8826603940,11209451119,360718500,9324
47,848,50434,0,781458,10904,276,921.5,544984,4370,12824,763461,49127553,113554717,7228,0,0,0,268435456,5,15317,141118,12725,132627931,647275,6583432828,0,6716060759,8930671927,360718500,8423
48,839,40318,0,1497446,10904,402,1784.8,530519,4897,7934,1483928,37653517,87043617,17399,0,0,0,268435456,4,15318,786511,4603,22021131,655397,3128883360,0,3150904491,3532905498,334207400,5794
49,939,37464,0,2361330,10969,513,2514.7,1007330,5650,18913,2336283,142655179,334442017,37466,0,0,0,335544320,21,15319,901697,4139,36011760,655861,5572231672,0,5608243432,15566099153,581605800,12541
52,554,33085,0,1881942,10904,431,3397.0,834857,3861,10315,1868475,142669659,334442017,37037,0,0,0,671154176,1,18917,620265,4348,30639254,633195,4810161968,0,4840801222,14597786194,581605800,9451
50,940,31916,0,2332891,9813,656,2481.8,1020706,5530,12542,2315042,142824518,334322022,37218,0,0,0,335544320,68,15318,880123,3876,36891678,656124,6171443794,0,6208335472,16872184132,581485805,13138
82,298,30707,0,1769420,30617,1207,5937.7,1294386,3915,8216,1758547,191935287,447876713,44877,0,0,0,6174343168,0,86491,0,533,140680755,93304,24820277341,0,24960958096,38395125727,695040496,18326
54,560,29788,0,2285534,9991,526,4081.3,1159491,3919,5754,2264327,142824518,334321996,43300,0,0,0,1476460544,5,18959,679346,3179,60675649,634364,11295588917,0,11356264566,25050287822,581485779,16891
51,839,29204,0,1598223,10969,494,1904.9,640845,4438,15518,1577409,37639037,87043617,20100,0,0,0,268435456,24,15320,772485,4200,24778580,655800,3902572086,0,3927350666,5035574629,334207400,7457
53,463,28169,0,1325800,6740,634,2863.5,577323,3338,15272,1307288,49110769,113554717,8995,0,0,0,939589632,1,18917,653648,3444,35955365,634099,7372911435,0,7408866800,9935680763,360718500,6887
115,800,26850,0,3432558,5573,2585,4290.7,2878634,3458,9553,3413736,0,0,97760,0,0,0,570556416,13,8040,4184,6450,329927803,1141722,58594089378,0,58924017181,23544427254,1150017784,26290
83,298,24905,0,1623281,24799,904,5447.3,1152025,4052,9696,1611092,191935287,447876713,41240,0,0,0,5167710208,0,84755,0,516,100916449,93321,18372103400,0,18473019849,30493358254,695040496,14728
56,531,24245,0,1142360,10904,467,2151.3,730610,3985,7008,1074603,49727868,113594722,19047,0,0,0,939589632,2,18958,159733,3580,33889749,657305,7936095191,0,7969984940,11924193800,392773039,10452
114,800,22554,0,3595017,5951,2771,4493.8,2939764,3517,18197,3566452,0,0,111717,0,0,0,570556416,43,8040,4315,6416,329183835,1141756,58611167369,0,58940351204,23489003394,1150017784,27495
59,481,21802,0,836496,10904,362,1739.1,531593,3854,8489,766551,37653517,87043617,18863,0,0,0,671154176,19,18917,4806,3664,8598372,635473,1478972003,0,1487570375,2487994783,334207400,3628
58,489,21471,0,1127602,10904,524,2305.9,695345,3544,10678,1089765,49127553,113554691,17499,0,0,0,939589632,2,18958,222378,3559,33800858,657326,8032473442,0,8066274300,9996693097,392733008,8501
55,570,20514,0,2366134,9813,410,4151.1,1111079,3901,29788,2333111,143253190,334481996,41648,0,0,0,1476460544,0,18917,794520,4125,67460395,633418,9979236465,0,10046696860,23705266235,581645779,14687
65,623,20038,0,1967963,9813,911,3158.8,1355034,5804,11917,1947580,143253190,334481996,49160,0,0,0,1040252928,20,22599,2627,1136,67380779,204304,12833589456,0,12900970235,26003407438,581645779,22623
154,107,19934,0,488386,19847,850,4564.4,471645,2373,4434,482520,0,0,5290,0,0,0,4630839296,0,79211,0,515,67515145,93296,11862057757,0,11929572902,8367168851,247163783,3580
118,800,19270,0,1749295,2783,1374,2186.6,1461795,4205,8921,1732770,0,0,31231,0,0,0,344064000,15,11680,4854,5352,152031849,954631,26902821878,0,27054853727,7322833898,247163783,12516
57,463,19079,0,1188018,10904,721,2565.9,500291,3128,4243,1164769,49127553,113554717,11319,0,0,0,671154176,4,18960,573312,3417,24816170,634126,5106628107,0,5131444277,7878899817,360718500,6534
116,800,19015,0,1898905,3236,1284,2373.6,1565429,4145,10496,1879855,0,0,41075,0,0,0,411172864,20,11680,6911,5514,207060583,954469,36960456089,0,37167516672,8782906558,247163783,13788
120,800,18582,0,1483135,2419,1137,1853.9,1233444,4140,9413,1465633,0,0,19440,0,0,0,344064000,55,11680,3415,5387,118424873,954596,21016962236,0,21135387109,3815690597,247163783,9624
61,587,18151,0,1736815,9813,588,2958.8,1060200,4732,23190,1707181,142824518,334322022,42018,0,0,0,939589632,21,18959,131430,3569,33725603,634771,6036756963,0,6070482566,18350491777,581485805,14385
113,800,18142,0,3460705,6311,2433,4325.9,2768788,3545,14556,3435054,0,0,108999,0,0,0,570556416,29,8040,5153,6446,331127271,1141726,58592889910,0,58924017181,21075628352,1150017784,23947
60,577,18038,0,1565347,10969,408,2712.9,958541,4649,16977,1514535,142655179,334442017,42077,0,0,0,805371904,25,18960,22591,3600,26768678,633943,4737007864,0,4763776542,15262702627,581605800,11508
100,1044,17844,0,3574701,5396,191,3424.0,2572415,2225,2766,3446331,1072059065,2500000000,36481,0,0,0,335544320,1,2983,0,0,0,0,0,0,0,58888670214,2500000000,44271
155,107,17769,0,426390,17683,760,3985.0,411892,2316,4588,420498,0,0,5081,0,0,0,4093968384,0,75571,0,526,60692895,93285,10264233045,0,10324925940,6860573223,247163783,2961
117,800,17213,0,1736762,2743,1307,2171.0,1429547,4146,8679,1719799,0,0,34481,0,0,0,344064000,20,11680,4954,5329,152175029,954654,26889154470,0,27041329499,6405528925,247163783,12306
119,800,17153,0,1442080,2304,1027,1802.6,1191224,4076,8489,1425890,0,0,22557,0,0,0,344064000,6,11678,3358,5364,118532215,954619,21003330666,0,21121862881,3146478646,247163783,8774
121,800,17027,0,1553950,2496,1072,1942.4,1285002,4153,9555,1536733,0,0,22509,0,0,0,344064000,2,11680,5203,5334,132565415,954649,23402672508,0,23535237923,3919289146,247163783,9761
109,400,16980,0,411316,1631,479,1028.3,61319,857,1263,405457,5501807,500000,3472,0,0,0,67141632,138,2985,0,0,0,0,0,0,0,28753112,500000,3350
62,504,16870,0,828074,10969,325,1643.0,557370,3874,13748,810045,37639037,87043617,16754,0,0,0,738263040,2,18957,43447,3600,17008106,635537,2972557314,0,2989565420,4906039813,334207400,5212
108,400,16819,0,422758,1902,480,1056.9,58269,883,1286,418755,5386972,2000000,2154,0,0,0,67239936,123,2983,0,0,0,0,0,0,0,51680990,2000000,2168
110,1,16448,0,847,847,847,847.0,132,3,4,834,7680,731,84,0,0,0,67141632,0,2941,0,0,0,0,0,0,0,45136,731,3
106,400,16287,0,310726,1733,427,776.8,46931,902,1261,307922,5532207,500000,838,0,0,0,67141632,1,2942,0,0,0,0,0,0,0,28836609,500000,1079
