stageId,stageAttemptId,taskId,attempt,taskDurationSec,avgDurationSec,taskShuffleReadMB,avgShuffleReadMB,taskPeakMemoryMB,successful,reason
114,0,31692,0,8.81,3.4,137.82,25.85,1408.06,true,"Success"
114,0,31741,0,7.74,3.4,136.49,25.85,1408.06,true,"Success"
114,0,31852,0,8.38,3.4,140.24,25.85,1408.06,true,"Success"
114,0,31986,0,9.99,3.4,136.41,25.85,1408.06,true,"Success"
118,0,31079,0,8.32,3.5,121.05,22.44,1408.06,true,"Success"
118,0,31130,0,8.06,3.5,119.92,22.44,1344.06,true,"Success"
118,0,31244,0,8.60,3.5,123.14,22.44,1408.06,true,"Success"
118,0,31379,0,7.44,3.5,119.82,22.44,1408.06,true,"Success"
174,0,36226,0,9.53,2.9,108.02,28.31,1056.06,true,"Success"
289,0,45893,0,29.12,6.9,986.10,222.47,5760.31,true,"Success"
289,0,45909,0,29.70,6.9,995.29,222.47,5824.31,true,"Success"
289,0,45933,0,29.18,6.9,995.70,222.47,5824.31,true,"Success"
289,0,45939,0,30.37,6.9,1010.80,222.47,5888.31,true,"Success"
289,0,45945,0,29.01,6.9,1005.13,222.47,5888.31,true,"Success"
289,0,45967,0,30.62,6.9,998.26,222.47,5888.31,true,"Success"
289,0,45971,0,29.58,6.9,1006.96,222.47,5888.31,true,"Success"
289,0,45978,0,29.21,6.9,1004.98,222.47,5888.31,true,"Success"
299,0,46000,0,23.08,5.5,734.65,164.65,4800.31,true,"Success"
299,0,46016,0,22.77,5.5,744.18,164.65,4800.31,true,"Success"
299,0,46040,0,22.74,5.5,741.91,164.65,4800.31,true,"Success"
299,0,46046,0,24.02,5.5,756.75,164.65,4928.31,true,"Success"
299,0,46052,0,24.38,5.5,755.83,164.65,4864.31,true,"Success"
299,0,46074,0,24.78,5.5,750.47,164.65,4864.31,true,"Success"
299,0,46078,0,24.80,5.5,752.82,164.65,4928.31,true,"Success"
299,0,46085,0,22.81,5.5,752.03,164.65,4928.31,true,"Success"
318,0,46147,0,8.00,2.2,210.15,50.35,1664.31,true,"Success"
318,0,46148,0,6.22,2.2,176.49,50.35,1408.31,true,"Success"
318,0,46151,0,5.62,2.2,158.82,50.35,1216.31,true,"Success"
318,0,46152,0,5.95,2.2,173.28,50.35,1408.31,true,"Success"
318,0,46153,0,5.97,2.2,164.02,50.35,1216.31,true,"Success"
318,0,46154,0,8.97,2.2,220.43,50.35,1792.31,true,"Success"
318,0,46299,0,6.77,2.2,166.30,50.35,1216.31,true,"Success"
318,0,46361,0,6.84,2.2,182.51,50.35,1536.31,true,"Success"
335,0,46437,0,10.93,3.1,314.92,74.16,2176.31,true,"Success"
335,0,46438,0,9.72,3.1,264.11,74.16,1856.31,true,"Success"
335,0,46441,0,8.22,3.1,237.33,74.16,1600.31,true,"Success"
335,0,46442,0,8.92,3.1,259.13,74.16,1792.31,true,"Success"
335,0,46443,0,8.47,3.1,245.17,74.16,1664.31,true,"Success"
335,0,46444,0,11.24,3.1,330.41,74.16,2240.31,true,"Success"
335,0,46603,0,11.00,3.1,242.47,74.16,1600.31,true,"Success"
335,0,46667,0,10.21,3.1,273.35,74.16,1920.31,true,"Success"
892,0,72800,0,9.28,2.2,121.05,22.44,1408.06,true,"Success"
892,0,72821,0,9.42,2.2,119.92,22.44,1344.06,true,"Success"
892,0,72863,0,8.85,2.2,123.13,22.44,1408.06,true,"Success"
892,0,72924,0,8.59,2.2,119.82,22.44,1408.06,true,"Success"
899,0,73185,0,8.29,1.9,100.50,18.60,1280.06,true,"Success"
899,0,73260,0,8.54,1.9,102.23,18.60,1344.06,true,"Success"
1031,0,85190,0,18.98,4.6,473.74,106.33,4352.31,true,"Success"
1031,0,85206,0,19.26,4.6,474.27,106.33,4352.31,true,"Success"
1031,0,85230,0,19.81,4.6,478.64,106.33,4352.31,true,"Success"
1031,0,85236,0,19.04,4.6,486.77,106.33,4416.31,true,"Success"
1031,0,85242,0,19.71,4.6,485.97,106.33,4352.31,true,"Success"
1031,0,85264,0,19.85,4.6,479.68,106.33,4352.31,true,"Success"
1031,0,85268,0,19.45,4.6,480.11,106.33,4416.31,true,"Success"
1031,0,85275,0,19.38,4.6,481.14,106.33,4416.31,true,"Success"
1039,0,85297,0,16.42,4.0,409.49,92.02,3840.31,true,"Success"
1039,0,85313,0,17.06,4.0,414.01,92.02,3904.31,true,"Success"
1039,0,85337,0,17.17,4.0,413.34,92.02,3904.31,true,"Success"
1039,0,85343,0,17.57,4.0,421.81,92.02,3904.31,true,"Success"
1039,0,85349,0,17.30,4.0,423.80,92.02,3904.31,true,"Success"
1039,0,85371,0,16.99,4.0,418.55,92.02,3904.31,true,"Success"
1039,0,85375,0,17.49,4.0,419.02,92.02,3904.31,true,"Success"
1039,0,85382,0,17.68,4.0,416.49,92.02,3904.31,true,"Success"
1067,0,85517,0,6.18,1.8,110.14,26.97,1536.31,true,"Success"
1067,0,85524,0,6.30,1.8,115.52,26.97,1664.31,true,"Success"
