sqlID,nodeID,SQL Node,Child Node,Child NodeID
1,3,"WholeStageCodegen (383)","Sort",4
1,7,"WholeStageCodegen (382)","Project",8
1,7,"WholeStageCodegen (382)","SortMergeJoin",9
1,10,"WholeStageCodegen (380)","Sort",11
1,14,"WholeStageCodegen (379)","HashAggregate",15
1,17,"WholeStageCodegen (378)","HashAggregate",18
1,17,"WholeStageCodegen (378)","Project",19
1,17,"WholeStageCodegen (378)","SortMergeJoin",20
1,21,"WholeStageCodegen (376)","Sort",22
1,24,"WholeStageCodegen (375)","Project",25
1,24,"WholeStageCodegen (375)","SortMergeJoin",26
1,27,"WholeStageCodegen (373)","Sort",28
1,30,"WholeStageCodegen (366)","Project",31
1,30,"WholeStageCodegen (366)","SortMergeJoin",32
1,33,"WholeStageCodegen (364)","Sort",34
1,37,"WholeStageCodegen (357)","Project",38
1,37,"WholeStageCodegen (357)","SortMergeJoin",39
1,40,"WholeStageCodegen (355)","Sort",41
1,44,"WholeStageCodegen (351)","Project",45
1,44,"WholeStageCodegen (351)","SortMergeJoin",46
1,47,"WholeStageCodegen (349)","Sort",48
1,50,"WholeStageCodegen (345)","Project",51
1,50,"WholeStageCodegen (345)","SortMergeJoin",52
1,53,"WholeStageCodegen (343)","Sort",54
1,56,"WholeStageCodegen (339)","Project",57
1,56,"WholeStageCodegen (339)","SortMergeJoin",58
1,59,"WholeStageCodegen (337)","Sort",60
1,62,"WholeStageCodegen (306)","Project",63
1,62,"WholeStageCodegen (306)","SortMergeJoin",64
1,65,"WholeStageCodegen (304)","Sort",66
1,69,"WholeStageCodegen (252)","Project",70
1,69,"WholeStageCodegen (252)","SortMergeJoin",71
1,72,"WholeStageCodegen (250)","Sort",73
1,76,"WholeStageCodegen (195)","Project",77
1,76,"WholeStageCodegen (195)","SortMergeJoin",78
1,79,"WholeStageCodegen (193)","Sort",80
1,83,"WholeStageCodegen (147)","Project",84
1,83,"WholeStageCodegen (147)","SortMergeJoin",85
