Stage ID,Stage Task Duration,Unsupported Task Duration,Stage Estimated
146,447985,0,false
55,431303,0,false
1,154832,0,false
5,268,89,false
0,3209478,0,false
13,2048461,0,false
20,564178,0,false
3,148942,0,false
2,148600,0,false
93,20342,0,false
76,833904,0,false
52,2500176,0,false
110,14082,0,false
40,1278326,239685,false
29,568786,0,false
57,266997,0,false
56,123414,0,false
128,20043,0,false
4,9887,0,false
8,4201080,0,false
60,863169,0,false
5,268,89,false
1,154832,0,false
0,3209478,0,false
13,2048461,0,false
20,564178,0,false
184,204462,0,false
3,148942,0,false
2,148600,0,false
40,1278326,239685,false
52,2500176,0,false
158,103823,0,false
29,568786,0,false
171,11580,0,false
4,9887,0,false
8,4201080,0,false
221,74,0,false
202,14181,0,false
55,431303,0,false
1,154832,0,false
0,3209478,0,false
13,2048461,0,false
20,564178,0,false
40,1278326,239685,false
5,268,89,false
3,148942,0,false
2,148600,0,false
93,20342,0,false
76,833904,0,false
52,2500176,0,false
110,14082,0,false
29,568786,0,false
57,266997,0,false
56,123414,0,false
128,20043,0,false
4,9887,0,false
8,4201080,0,false
60,863169,0,false
1,154832,0,false
0,3209478,0,false
13,2048461,0,false
20,564178,0,false
248,67,0,false
3,148942,0,false
5,268,89,false
2,148600,0,false
52,2500176,0,false
158,103823,0,false
29,568786,0,false
234,10217,0,false
171,11580,0,false
40,1278326,239685,false
4,9887,0,false
8,4201080,0,false
