sqlID,jobID,stageId,stageAttemptId,Stage Duration,SQL Nodes(IDs)
1,6,8,0,102648,"Exchange(62),SortMergeJoin(65),WholeStageCodegen (9)(63),Sort(67),Exchange(69),Sort(75),WholeStageCodegen (8)(74),Exchange(77)"
1,7,13,0,81478,"Exchange(55),SortMergeJoin(58),WholeStageCodegen (12)(56),Sort(60),WholeStageCodegen (10)(59),Exchange(62),Sort(83),Exchange(85)"
1,3,3,0,77817,"Exchange(93),Filter(95),ColumnarToRow(96),WholeStageCodegen (4)(94),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(97)"
1,4,4,0,75957,"Exchange(101),Filter(103),ColumnarToRow(104),WholeStageCodegen (5)(102),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(105)"
1,5,5,0,75791,"Exchange(109),Filter(111),ColumnarToRow(112),WholeStageCodegen (6)(110),Scan parquet spark_catalog.demo_pauldefusco.calendar(113)"
1,2,2,0,74684,"Exchange(85),Filter(87),ColumnarToRow(88),WholeStageCodegen (3)(86),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(89)"
1,1,1,0,71664,"Exchange(77),Filter(79),ColumnarToRow(80),WholeStageCodegen (2)(78),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(81)"
1,0,0,0,69961,"Exchange(69),Filter(71),ColumnarToRow(72),WholeStageCodegen (1)(70),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(73)"
1,13,54,0,58883,""
1,12,53,0,55667,""
1,11,52,0,54057,"Window(30),Sort(32),WholeStageCodegen (22)(31),Exchange(33),Window(124),Sort(126),WholeStageCodegen (22)(125),Window(137),Sort(139),WholeStageCodegen (22)(138)"
1,10,40,0,45858,"Exchange(33),SortMergeJoin(37),WholeStageCodegen (21)(35),Sort(39),WholeStageCodegen (19)(38),Exchange(41),Sort(107),WholeStageCodegen (20)(106),Exchange(109)"
1,17,60,0,30890,"Exchange(18),SortMergeJoin(21),WholeStageCodegen (6)(19),Sort(23),WholeStageCodegen (4)(22),Exchange(25),Sort(115),WholeStageCodegen (5)(114),Exchange(117)"
1,18,76,0,28813,"Exchange(10),HashAggregate(11),SortMergeJoin(14),WholeStageCodegen (9)(12),Sort(16),WholeStageCodegen (7)(15),Exchange(18),Sort(128),HashAggregate(129),WholeStageCodegen (8)(127),Exchange(131)"
1,8,20,0,20621,"Exchange(48),SortMergeJoin(51),WholeStageCodegen (15)(49),Sort(53),WholeStageCodegen (13)(52),Exchange(55),Sort(91),WholeStageCodegen (14)(90),Exchange(93)"
1,9,29,0,20571,"Exchange(41),SortMergeJoin(44),WholeStageCodegen (18)(42),Sort(46),WholeStageCodegen (16)(45),Exchange(48),Sort(99),WholeStageCodegen (17)(98),Exchange(101)"
1,16,57,0,18018,"Exchange(131),HashAggregate(133),Filter(134),WholeStageCodegen (3)(132),InMemoryTableScan(135)"
1,15,56,0,15102,"Exchange(117),HashAggregate(119),HashAggregate(120),Filter(121),WholeStageCodegen (2)(118),InMemoryTableScan(122)"
1,14,55,0,14444,"Exchange(25),Filter(27),WholeStageCodegen (1)(26),InMemoryTableScan(28)"
1,22,146,0,10976,"Execute InsertIntoHadoopFsRelationCommand(1),InMemoryTableScan(3)"
3,25,184,0,4575,"Execute InsertIntoHadoopFsRelationCommand(1),InMemoryTableScan(3)"
3,23,158,0,2410,"Exchange(6),HashAggregate(7),Generate(9),Filter(10),WholeStageCodegen (1)(8),InMemoryTableScan(11)"
1,19,93,0,568,"HashAggregate(8),Exchange(10)"
1,20,110,0,477,"Exchange(7),HashAggregate(8),Exchange(10)"
1,21,128,0,428,"Sort(6),WholeStageCodegen (10)(5),Exchange(7)"
4,26,202,0,405,"Exchange(3),HashAggregate(5),WholeStageCodegen (1)(4),InMemoryTableScan(6)"
3,24,171,0,312,"HashAggregate(5),Exchange(6)"
5,28,234,0,304,"Exchange(3),HashAggregate(5),WholeStageCodegen (1)(4),InMemoryTableScan(6)"
4,27,221,0,76,"HashAggregate(2),WholeStageCodegen (2)(1),Exchange(3)"
5,29,248,0,70,"HashAggregate(2),WholeStageCodegen (2)(1),Exchange(3)"
