stageId,accumulatorId,name,min,median,max,total
0,301,"number of output rows",2410100,4789145,4820200,2500000000
0,302,"scan time",796,1862,11177,1037141
0,539,"data size",154246400,306513276,308492800,160000000000
0,558,"shuffle bytes written",80789367,160367251,161419015,83711771961
0,559,"shuffle records written",2410100,4789145,4820200,2500000000
0,560,"shuffle write time",38006745,74661706,148729180,38973478477
0,561,"duration",1381,3042,12650,1654245
0,562,"number of output rows",2410100,4789145,4820200,2500000000
0,563,"number of output rows",2410100,4789145,4820200,2500000000
0,564,"number of input batches",589,1150,1178,610970
0,695,"internal.metrics.executorDeserializeTime",1,1,965,38574
0,696,"internal.metrics.executorDeserializeCpuTime",1593292,36410188,584139351,19006183364
0,697,"internal.metrics.executorRunTime",2807,5922,16318,3158690
0,698,"internal.metrics.executorCpuTime",2117928757,4416022486,7583278525,2305163805066
0,699,"internal.metrics.resultSize",2896,2938,2984,1535064
0,700,"internal.metrics.jvmGCTime",20,31,720,71157
0,701,"internal.metrics.resultSerializationTime",2,2,2,30
0,704,"internal.metrics.peakExecutionMemory",268435456,533271079,536870912,278367567872
0,723,"internal.metrics.shuffle.write.bytesWritten",80789367,160367251,161419015,83711771961
0,724,"internal.metrics.shuffle.write.recordsWritten",2410100,4789145,4820200,2500000000
0,725,"internal.metrics.shuffle.write.writeTime",38006745,74661706,148729180,38973478477
0,726,"internal.metrics.input.bytesRead",1030206,1055297,1056181,550940349
0,727,"internal.metrics.input.recordsRead",2410100,4789145,4820200,2500000000
1,332,"number of output rows",2500,41654,42500,2000000
1,333,"scan time",188,3085,3386,148633
1,565,"data size",180000,2999988,3060000,144000000
1,584,"shuffle bytes written",152577,1125450,1149168,54022238
1,585,"shuffle records written",2500,41654,42500,2000000
1,586,"shuffle write time",2743685,3762054,5079614,180579194
1,587,"duration",192,3116,3427,150156
1,588,"number of output rows",2500,41654,42500,2000000
1,589,"number of output rows",2500,41654,42500,2000000
1,590,"number of input batches",1,15,17,800
1,730,"internal.metrics.executorDeserializeTime",1,1,42,285
1,731,"internal.metrics.executorDeserializeCpuTime",1580889,3326026,8775785,159649779
1,732,"internal.metrics.executorRunTime",243,3203,3535,154270
1,733,"internal.metrics.executorCpuTime",78401747,398337630,568187128,19120206767
1,734,"internal.metrics.resultSize",2896,2896,2940,139508
1,735,"internal.metrics.jvmGCTime",9,24,62,287
1,739,"internal.metrics.peakExecutionMemory",67174400,68136949,68157440,3270574080
1,758,"internal.metrics.shuffle.write.bytesWritten",152577,1125450,1149168,54022238
1,759,"internal.metrics.shuffle.write.recordsWritten",2500,41654,42500,2000000
1,760,"internal.metrics.shuffle.write.writeTime",2743685,3762054,5079614,180579194
1,761,"internal.metrics.input.bytesRead",6887,114898,117215,5515696
1,762,"internal.metrics.input.recordsRead",2500,41654,42500,2000000
2,363,"number of output rows",3750,62487,63769,3000000
2,364,"scan time",188,2974,3348,143219
2,591,"data size",120000,1999988,2040608,96000000
2,610,"shuffle bytes written",111969,561883,572029,26971032
2,611,"shuffle records written",3750,62487,63769,3000000
2,612,"shuffle write time",2792740,3404445,5597430,163413901
2,613,"duration",190,2999,3375,144468
2,614,"number of output rows",3750,62487,63769,3000000
2,615,"number of output rows",3750,62487,63769,3000000
2,616,"number of input batches",1,14,17,800
2,765,"internal.metrics.executorDeserializeTime",1,1,23,250
